schema_version,task_id,pair_sequence,start_sample_sequence,end_sample_sequence,actual_horizon_us,start_mid_price,end_mid_price,abs_mid_move_bps
skhynix_c6in_latency_v2,0822T002,1,1,3,721814,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,2,2,3,527524,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,3,3,4,523735,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,4,4,5,556089,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,5,5,6,516537,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,6,6,7,557153,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,7,7,8,565219,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,8,8,9,520463,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,9,9,10,529382,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,10,10,11,527152,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,11,11,12,515976,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,12,12,13,601390,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,13,13,14,535069,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,14,14,15,681868,1251.05,1251.05,0.0
skhynix_c6in_latency_v2,0822T002,15,15,16,419429,1251.05,1251.15,0.7993285640073252
skhynix_c6in_latency_v2,0822T002,16,16,17,469582,1251.15,1251.25,0.7992646764968951
skhynix_c6in_latency_v2,0822T002,17,17,18,540848,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,18,18,19,563073,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,19,19,20,551349,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,20,20,21,632826,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,21,21,22,447849,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,22,22,23,544592,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,23,23,24,548758,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,24,24,25,473401,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,25,25,26,540019,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,26,26,27,582351,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,27,27,28,522649,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,28,28,29,570394,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,29,29,30,459284,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,30,30,31,580475,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,31,31,32,643913,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,32,32,33,502756,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,33,33,34,553525,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,34,34,35,504804,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,35,35,36,603639,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,36,36,37,544639,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,37,37,38,470464,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,38,38,39,582536,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,39,39,40,550400,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,40,40,41,523734,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,41,41,42,514143,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,42,42,43,644529,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,43,43,44,453479,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,44,44,45,526562,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,45,45,46,550078,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,46,46,47,537376,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,47,47,48,485022,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,48,48,49,648940,1251.25,1251.25,0.0
skhynix_c6in_latency_v2,0822T002,49,49,50,495899,1251.25,1251.2,0.3996003996000362
skhynix_c6in_latency_v2,0822T002,50,50,51,528402,1251.2,1251.15,0.39961636828608155
skhynix_c6in_latency_v2,0822T002,51,51,52,472392,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,52,52,53,616125,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,53,53,54,555376,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,54,54,55,510602,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,55,55,56,602854,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,56,56,57,486065,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,57,57,58,516084,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,58,58,59,612845,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,59,59,60,502272,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,60,60,61,537768,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,61,61,62,531825,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,62,62,63,531545,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,63,63,64,500101,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,64,64,65,572045,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,65,65,66,547031,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,66,66,67,532567,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,67,67,68,541461,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,68,68,69,627581,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,69,69,70,469916,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,70,70,71,681156,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,71,71,72,533119,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,72,72,73,538499,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,73,73,74,562361,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,74,74,75,498385,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,75,75,76,569665,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,76,76,77,550552,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,77,77,78,606048,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,78,78,79,489705,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,79,79,80,583795,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,80,80,81,466863,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,81,81,82,541368,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,82,82,83,557554,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,83,83,84,515038,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,84,84,85,631787,1251.15,1251.15,0.0
skhynix_c6in_latency_v2,0822T002,85,85,86,487408,1251.15,1251.15,0.0
