schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1,590491215763614,1787450214903076132,1787450214303,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,2,590491410053178,1787450215097363551,1787450214842,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,3,590491937577910,1787450215624889889,1787450215364,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,4,590492461313199,1787450216148624166,1787450215914,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,5,590493017402741,1787450216704714119,1787450216449,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,6,590493533939934,1787450217221251107,1787450216979,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,7,590494091093110,1787450217778403993,1787450217524,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,8,590494656312920,1787450218343624250,1787450218062,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,9,590495176776110,1787450218864086649,1787450218585,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,10,590495706158353,1787450219393469184,1787450219132,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,11,590496233311214,1787450219920621769,1787450219669,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,12,590496749288200,1787450220436598461,1787450220200,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,13,590497350678821,1787450221037989828,1787450220768,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,14,590497885748180,1787450221573058913,1787450221306,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,15,590498567617033,1787450222254927778,1787450221848,1251.0,1251.1,1251.05
skhynix_c6in_latency_v2,0822T002,16,590498987046876,1787450222674357386,1787450222371,1251.1,1251.2,1251.15
skhynix_c6in_latency_v2,0822T002,17,590499456629547,1787450223143940301,1787450222916,1251.2,1251.3,1251.25
