schema_version,task_id,sample_sequence,event_sequence,event_type,monotonic_ns,audit_utc_ns,order_reference_token,source,classification,detail_code
skhynix_c6in_latency_v2,0822T002,1,1,submit_call_start,593436320333557,1787453160007640543,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,1,2,submit_response_end,593436826008865,1787453160513315812,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,1,3,resting_confirm,593436868837884,1787453160556143596,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,1,4,risk_decision_ready,593437118904503,1787453160806210987,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,1,5,cancel_enqueue,593437118906778,1787453160806212077,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,1,6,cancel_call_start,593437118908556,1787453160806213862,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,1,7,terminal_observation_start,593437118909069,1787453160806214442,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,1,8,cancel_response_end,593437843652626,1787453161530958745,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,1,9,terminal_confirm,593443308938037,1787453166996244057,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,1,10,final_open_orders_confirm,593443343101440,1787453167030407174,order_ref_sha256_34af18ae0fb0f8c69a54f5bec8ddc7aca1ae5d9ccef5ff83c9da8eb21d99a824,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,2,1,submit_call_start,593456317420362,1787453180004726068,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,2,2,submit_response_end,593456729612665,1787453180416918312,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,2,3,resting_confirm,593456736524361,1787453180423830203,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,2,4,risk_decision_ready,593456986593471,1787453180673899845,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,2,5,cancel_enqueue,593456986595984,1787453180673901282,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,2,6,cancel_call_start,593456986597159,1787453180673902441,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,2,7,terminal_observation_start,593456986597535,1787453180673902906,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,2,8,cancel_response_end,593457666951252,1787453181354257020,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,2,9,terminal_confirm,593457756665038,1787453181443971084,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,2,10,final_open_orders_confirm,593457785390025,1787453181472695749,order_ref_sha256_029f16db915585597628a9b69ad4e99b0357e091a2792766f70318d3c2cc23e4,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,3,1,submit_call_start,593476317740128,1787453200005045874,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,3,2,submit_response_end,593476657852038,1787453200345157678,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,3,3,resting_confirm,593476663579429,1787453200350885006,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,3,4,risk_decision_ready,593476913640745,1787453200600946731,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,3,5,cancel_enqueue,593476913642337,1787453200600947656,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,3,6,cancel_call_start,593476913643115,1787453200600948424,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,3,7,terminal_observation_start,593476913643788,1787453200600949171,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,3,8,cancel_response_end,593477591826640,1787453201279132369,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,3,9,terminal_confirm,593477675498616,1787453201362804639,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,3,10,final_open_orders_confirm,593477706041676,1787453201393347431,order_ref_sha256_89c62ba5c5ee86d30d0eb4870be897258957055768eb12aa14612fdaa4be988b,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,4,1,submit_call_start,593496317458039,1787453220004763661,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,4,2,submit_response_end,593496740615494,1787453220427921233,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,4,3,resting_confirm,593496745290530,1787453220432596149,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,4,4,risk_decision_ready,593496995359797,1787453220682665884,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,4,5,cancel_enqueue,593496995361381,1787453220682666688,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,4,6,cancel_call_start,593496995362316,1787453220682667612,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,4,7,terminal_observation_start,593496995362675,1787453220682667978,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,4,8,cancel_response_end,593497910483237,1787453221597789037,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,4,9,terminal_confirm,593497929475415,1787453221616780973,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,4,10,final_open_orders_confirm,593497960712578,1787453221648018287,order_ref_sha256_c46063522ecb222caab633128fa72b611745b3e661d1dc335c03b3df7b3971c6,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,5,1,submit_call_start,593516317652599,1787453240004958230,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,5,2,submit_response_end,593516736718685,1787453240424024340,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,5,3,resting_confirm,593516740935620,1787453240428241184,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,5,4,risk_decision_ready,593516991000266,1787453240678306916,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,5,5,cancel_enqueue,593516991002958,1787453240678308266,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,5,6,cancel_call_start,593516991004354,1787453240678309642,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,5,7,terminal_observation_start,593516991005183,1787453240678310571,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,5,8,terminal_confirm,593517697368802,1787453241384674412,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,5,9,cancel_response_end,593517718156039,1787453241405461779,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,5,10,final_open_orders_confirm,593517749112512,1787453241436418085,order_ref_sha256_afa5a109916428f4a5158b9283e1b1f23359c319f828d63cfdf8b4c3730cd870,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,6,1,submit_call_start,593536317681487,1787453260004987219,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,6,2,submit_response_end,593536738992787,1787453260426298581,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,6,3,resting_confirm,593536759722600,1787453260447028341,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,6,4,risk_decision_ready,593537009781878,1787453260697087927,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,6,5,cancel_enqueue,593537009784219,1787453260697089523,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,6,6,cancel_call_start,593537009786017,1787453260697091301,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,6,7,terminal_observation_start,593537009786519,1787453260697091806,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,6,8,cancel_response_end,593537759928124,1787453261447234213,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,6,9,terminal_confirm,593537817415698,1787453261504721218,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,6,10,final_open_orders_confirm,593537846977834,1787453261534283474,order_ref_sha256_a4b3f3b194e934d6dee357bedb3ed33c2dfa072d460a4b9d5b58ca6642b503cf,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,7,1,submit_call_start,593556319007382,1787453280006313092,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,7,2,submit_response_end,593556714919446,1787453280402225207,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,7,3,resting_confirm,593556739485164,1787453280426800519,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,7,4,risk_decision_ready,593556989549004,1787453280676855674,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,7,5,cancel_enqueue,593556989552292,1787453280676857598,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,7,6,cancel_call_start,593556989554369,1787453280676859663,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,7,7,terminal_observation_start,593556989554869,1787453280676860243,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,7,8,cancel_response_end,593557690586390,1787453281377892236,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,7,9,terminal_confirm,593562722321318,1787453286409627404,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,7,10,final_open_orders_confirm,593562840305935,1787453286527611721,order_ref_sha256_31a6c651f12b36fd9a814f60fe4420bc12762de214566f88296a4c06fdc0ca1b,c6in_official_sdk,private_safety_reconciled,
