schema_version,task_id,pair_sequence,start_sample_sequence,end_sample_sequence,actual_horizon_us,start_mid_price,end_mid_price,abs_mid_move_bps
skhynix_c6in_latency_v2,0822T002,1,1,2,454003,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,2,2,3,569120,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,3,3,4,514551,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,4,4,5,625589,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,5,5,6,508572,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,6,6,7,516338,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,7,7,8,562799,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,8,8,9,526757,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,9,9,10,576783,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,10,10,11,502494,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,11,11,12,602741,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,12,12,13,536818,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,13,13,14,537842,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,14,14,15,477897,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,15,15,16,551468,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,16,16,17,522086,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,17,17,18,595023,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,18,18,19,734508,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,19,19,20,390286,1253.85,1253.85,0.0
skhynix_c6in_latency_v2,0822T002,20,20,21,580502,1253.85,1253.75,0.7975435658165575
skhynix_c6in_latency_v2,0822T002,21,21,22,540805,1253.75,1253.85,0.7976071784638809
skhynix_c6in_latency_v2,0822T002,22,22,23,562012,1253.85,1253.8,0.39877178290827875
skhynix_c6in_latency_v2,0822T002,23,23,24,487674,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,24,24,25,611278,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,25,25,26,466045,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,26,26,27,575703,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,27,27,28,541282,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,28,28,29,535723,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,29,29,30,524047,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,30,30,31,515893,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,31,31,32,564506,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,32,32,33,624636,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,33,33,34,631191,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,34,34,35,560691,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,35,35,36,607217,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,36,36,37,553781,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,37,37,38,563398,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,38,38,39,476584,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,39,39,40,483592,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,40,40,41,530813,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,41,41,42,494246,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,42,42,43,558301,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,43,43,44,543589,1253.8,1253.8,0.0
skhynix_c6in_latency_v2,0822T002,44,44,45,508228,1253.8,1253.7,0.7975753708718222
skhynix_c6in_latency_v2,0822T002,45,45,46,541946,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,46,46,47,590159,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,47,47,48,506819,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,48,48,49,540006,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,49,49,50,579928,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,50,50,51,543035,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,51,51,52,550711,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,52,52,53,545907,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,53,53,54,537411,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,54,54,55,540106,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,55,55,56,638749,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,56,56,57,471918,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,57,57,58,544314,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,58,58,59,456641,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,59,59,60,558911,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,60,60,61,517532,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,61,61,62,540175,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,62,62,63,572558,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,63,63,64,503360,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,64,64,65,546192,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,65,65,66,537796,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,66,66,67,505901,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,67,67,68,524525,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,68,68,69,540622,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,69,69,70,531370,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,70,70,71,539635,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,71,71,72,531049,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,72,72,73,647220,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,73,73,74,451918,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,74,74,75,678548,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,75,75,76,356958,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,76,76,77,569174,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,77,77,78,527860,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,78,78,79,525829,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,79,79,80,575428,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,80,80,81,552806,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,81,81,82,511716,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,82,82,83,533294,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,83,83,84,503297,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,84,84,85,546618,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,85,85,86,601117,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,86,86,87,461196,1253.7,1253.7,0.0
skhynix_c6in_latency_v2,0822T002,87,87,88,572522,1253.7,1253.65,0.3988194942965185
skhynix_c6in_latency_v2,0822T002,88,88,89,548527,1253.65,1253.65,0.0
skhynix_c6in_latency_v2,0822T002,89,89,90,538045,1253.65,1253.65,0.0
skhynix_c6in_latency_v2,0822T002,90,90,91,495507,1253.65,1253.65,0.0
skhynix_c6in_latency_v2,0822T002,91,91,92,609969,1253.65,1253.65,0.0
skhynix_c6in_latency_v2,0822T002,92,92,93,459075,1253.65,1253.65,0.0
skhynix_c6in_latency_v2,0822T002,93,93,94,572646,1253.65,1253.3,2.7918478044122073
skhynix_c6in_latency_v2,0822T002,94,94,95,492571,1253.3,1253.05,1.9947339024974071
skhynix_c6in_latency_v2,0822T002,95,95,96,543964,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,96,96,97,548193,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,97,97,98,513265,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,98,98,99,708885,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,99,99,100,401748,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,100,100,101,551202,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,101,101,102,510612,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,102,102,103,675813,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,103,103,104,400117,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,104,104,105,554959,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,105,105,106,555033,1253.05,1253.05,0.0
skhynix_c6in_latency_v2,0822T002,106,106,107,511190,1253.05,1253.35,2.3941582538602173
skhynix_c6in_latency_v2,0822T002,107,107,108,523405,1253.35,1253.35,0.0
skhynix_c6in_latency_v2,0822T002,108,108,109,593211,1253.35,1253.35,0.0
skhynix_c6in_latency_v2,0822T002,109,109,110,517327,1253.35,1253.35,0.0
skhynix_c6in_latency_v2,0822T002,110,110,111,529044,1253.35,1253.35,0.0
skhynix_c6in_latency_v2,0822T002,111,111,112,591965,1253.35,1253.35,0.0
skhynix_c6in_latency_v2,0822T002,112,112,113,523538,1253.35,1253.3,0.398930865280684
skhynix_c6in_latency_v2,0822T002,113,113,114,510721,1253.3,1253.25,0.3989467804991185
skhynix_c6in_latency_v2,0822T002,114,114,115,545911,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,115,115,116,531478,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,116,116,117,526779,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,117,117,118,549719,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,118,118,119,556688,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,119,119,120,517458,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,120,120,121,548129,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,121,121,122,553040,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,122,122,123,576106,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,123,123,124,527268,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,124,124,125,536333,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,125,125,126,494033,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,126,126,127,565750,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,127,127,128,530383,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,128,128,129,538416,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,129,129,130,543882,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,130,130,131,685449,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,131,131,132,395085,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,132,132,133,539356,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,133,133,134,542067,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,134,134,135,526851,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,135,135,136,536529,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,136,136,137,543743,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,137,137,138,577850,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,138,138,139,481182,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,139,139,140,568446,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,140,140,141,492889,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,141,141,142,561037,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,142,142,143,544659,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,143,143,144,537340,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,144,144,145,545604,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,145,145,146,513448,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,146,146,147,546711,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,147,147,148,529940,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,148,148,149,552728,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,149,149,150,585535,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,150,150,151,530114,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,151,151,152,536364,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,152,152,153,493710,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,153,153,154,565259,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,154,154,155,506075,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,155,155,156,539885,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,156,156,157,546547,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,157,157,158,532931,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,158,158,159,527974,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,159,159,160,522070,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,160,160,161,561021,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,161,161,162,543152,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,162,162,163,517117,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,163,163,164,590951,1253.25,1253.3,0.3989626969874687
skhynix_c6in_latency_v2,0822T002,164,164,165,511925,1253.3,1253.3,0.0
skhynix_c6in_latency_v2,0822T002,165,165,166,496468,1253.3,1253.25,0.3989467804991185
skhynix_c6in_latency_v2,0822T002,166,166,167,551197,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,167,167,168,529867,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,168,168,169,537693,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,169,169,170,546544,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,170,170,171,552556,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,171,171,172,517776,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,172,172,173,551595,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,173,173,174,528439,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,174,174,175,556737,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,175,175,176,538760,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,176,176,177,532729,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,177,177,178,637498,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,178,178,179,428778,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,179,179,180,575824,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,180,180,181,512929,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,181,181,182,532565,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,182,182,183,614476,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,183,183,184,471652,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,184,184,185,590739,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,185,185,186,558351,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,186,186,187,490569,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,187,187,188,578437,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,188,188,189,479122,1253.25,1253.25,0.0
skhynix_c6in_latency_v2,0822T002,189,189,190,514729,1253.25,1253.35,0.7979253939749374
skhynix_c6in_latency_v2,0822T002,190,190,191,589323,1253.35,1253.55,1.59572346112455
skhynix_c6in_latency_v2,0822T002,191,191,192,501238,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,192,192,193,559321,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,193,193,194,525471,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,194,194,195,562274,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,195,195,196,534382,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,196,196,197,538558,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,197,197,198,579246,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,198,198,199,510690,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,199,199,200,505613,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,200,200,201,605786,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,201,201,202,489313,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,202,202,203,598974,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,203,203,204,482428,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,204,204,205,606835,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,205,205,206,594906,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,206,206,207,430461,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,207,207,208,534651,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,208,208,209,568420,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,209,209,210,507123,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,210,210,211,554328,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,211,211,212,515850,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,212,212,213,560721,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,213,213,214,518186,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,214,214,215,511376,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,215,215,216,607431,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,216,216,217,476897,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,217,217,218,548861,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,218,218,219,473843,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,219,219,220,528184,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,220,220,221,573030,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,221,221,222,542164,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,222,222,223,567100,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,223,223,224,502301,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,224,224,225,602565,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,225,225,226,568081,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,226,226,227,472417,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,227,227,228,559831,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,228,228,229,596523,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,229,229,230,566340,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,230,230,231,609332,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,231,231,232,542048,1253.55,1253.55,0.0
skhynix_c6in_latency_v2,0822T002,232,232,233,543014,1253.55,1253.55,0.0
