schema_version,task_id,pair_sequence,start_sample_sequence,end_sample_sequence,actual_horizon_us,start_mid_price,end_mid_price,abs_mid_move_bps
skhynix_c6in_latency_v2,0822T002,1,1,3,841398,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,2,2,3,595532,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,3,3,4,502404,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,4,4,5,517652,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,5,5,6,584028,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,6,6,7,499764,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,7,7,8,531980,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,8,8,9,516382,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,9,9,10,551792,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,10,10,11,537425,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,11,11,12,633227,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,12,12,13,565519,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,13,13,14,627913,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,14,14,15,621785,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,15,15,16,600489,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,16,16,17,535513,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,17,17,18,540781,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,18,18,19,547485,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,19,19,20,566167,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,20,20,21,603235,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,21,21,22,609540,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,22,22,23,735860,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,23,23,24,565972,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,24,24,25,551802,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,25,25,26,584559,1245.25,1245.2,0.4015257980321584
skhynix_c6in_latency_v2,0822T002,26,26,27,625970,1245.2,1245.25,0.40154192097618474
skhynix_c6in_latency_v2,0822T002,27,27,28,486079,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,28,28,29,553290,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,29,29,30,525163,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,30,30,31,534909,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,31,31,32,703466,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,32,32,33,559566,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,33,33,34,391985,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,34,34,35,631720,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,35,35,36,502340,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,36,36,37,536149,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,37,37,38,573552,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,38,38,39,552861,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,39,39,40,520268,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,40,40,41,668385,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,41,41,42,498774,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,42,42,43,570902,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,43,43,44,508117,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,44,44,45,547071,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,45,45,46,548636,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,46,46,47,502703,1245.25,1245.25,0.0
skhynix_c6in_latency_v2,0822T002,47,47,48,543272,1245.25,1245.25,0.0
