schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1,562723821937781,1787422447509249961,1787422446997,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,2,562724067803413,1787422447755114685,1787422447501,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,3,562724663335816,1787422448350647404,1787422448109,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,4,562725165740713,1787422448853052555,1787422448593,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,5,562725683393226,1787422449370704431,1787422449122,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,6,562726267421838,1787422449954732568,1787422449664,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,7,562726767186379,1787422450454496596,1787422450199,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,8,562727299166543,1787422450986477768,1787422450735,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,9,562727815548773,1787422451502859226,1787422451270,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,10,562728367340807,1787422452054651315,1787422451806,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,11,562728904766452,1787422452592076830,1787422452349,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,12,562729537994161,1787422453225305804,1787422452951,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,13,562730103513610,1787422453790824570,1787422453555,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,14,562730731427501,1787422454418738143,1787422454156,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,15,562731353213121,1787422455040524063,1787422454759,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,16,562731953702902,1787422455641013615,1787422455381,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,17,562732489216671,1787422456176528246,1787422455926,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,18,562733029998226,1787422456717309286,1787422456461,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,19,562733577483395,1787422457264794597,1787422456996,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,20,562734143651101,1787422457830962160,1787422457598,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,21,562734746886343,1787422458434198210,1787422458200,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,22,562735356426385,1787422459043736982,1787422458804,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,23,562736092287309,1787422459779597875,1787422459408,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,24,562736658259591,1787422460345570830,1787422460012,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,25,562737210062162,1787422460897372945,1787422460615,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,26,562737794621268,1787422461481932650,1787422461218,1245.1,1245.3,1245.2
skhynix_c6in_latency_v2,0822T002,27,562738420591838,1787422462107902801,1787422461844,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,28,562738906670925,1787422462593983065,1787422462362,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,29,562739459961019,1787422463147272408,1787422462887,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,30,562739985124252,1787422463672435418,1787422463431,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,31,562740520034227,1787422464207345444,1787422463982,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,32,562741223500997,1787422464910812405,1787422464489,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,33,562741783067110,1787422465470377544,1787422465112,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,34,562742175052164,1787422465862363045,1787422465603,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,35,562742806772748,1787422466494083659,1787422466208,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,36,562743309112756,1787422466996423404,1787422466720,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,37,562743845262173,1787422467532572742,1787422467286,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,38,562744418814523,1787422468106125950,1787422467822,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,39,562744971676163,1787422468658987654,1787422468415,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,40,562745491944544,1787422469179256001,1787422468957,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,41,562746160329621,1787422469847640636,1787422469485,1245.2,1245.3,1245.25
skhynix_c6in_latency_v2,0822T002,42,562746659104192,1787422470346415358,1787422470037,1245.2,1245.3,1245.25
