schema_version,task_id,sample_sequence,collection_window_id,batch_id,attempt_id,host_identity_token,boot_id,process_identity_token,runtime_identity_sha256,market_role,dex,asset,side,order_reference_token,post_only,quote_distance_ticks,tick_size,quote_distance_price,quote_distance_one_way_bps,order_size,order_notional_usdc,submit_status,resting_status,cancel_response_class,terminal_class,fill_race_class,filled_quantity,fill_vwap,flatten_status,flattened_quantity,flatten_vwap,realized_flatten_slippage_loss_usdc,flatten_fee_usdc,final_open_orders_count,position_delta,safety_status,primary_latency_eligible,primary_exclusion_reason
skhynix_c6in_latency_v2,0822T002,1,w1,batch-01,0822T002-attempt-001,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,buy,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,true,10,0.1,1.0,7.969715082685794,0.008,10.0296,accepted,confirmed,normal_retry_error,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,2,w1,batch-01,0822T002-attempt-002,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,sell,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,true,10,0.1,1.0,7.968127490039841,0.008,10.0488,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,3,w1,batch-01,0822T002-attempt-003,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,buy,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,true,10,0.1,1.0,7.968127490039841,0.008,10.0312,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,4,w1,batch-01,0822T002-attempt-004,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,sell,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,true,10,0.1,1.0,7.968127490039841,0.008,10.0488,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,5,w1,batch-01,0822T002-attempt-005,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,buy,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,true,10,0.1,1.0,7.96781004740847,0.008,10.0320,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,6,w1,batch-01,0822T002-attempt-006,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,sell,order_ref_sha256_02602a61c466fd5facd8d3bb891daafdf65d69b66ee1970ed07bf16dbb897109,true,10,0.1,1.0,7.968127490039841,0.008,10.0488,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,7,w1,batch-01,0822T002-attempt-007,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,buy,order_ref_sha256_cd857227c55dbf5314a923969ffd862af212e702c7b037ba60547615fb0db5e6,true,10,0.1,1.0,7.969079969717496,0.008,10.0304,accepted,confirmed,normal_retry_error,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,8,w1,batch-01,0822T002-attempt-008,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,sell,order_ref_sha256_cea93162da0773ee1c224873c1aacb8107d0d2475047e2324e17961ab0a19ce8,true,10,0.1,1.0,7.968444957966453,0.008,10.0480,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,9,w1,batch-01,0822T002-attempt-009,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,buy,order_ref_sha256_8cac23383da56a75df8206ba7215a675d90ae20a422e8f848e0afd5d86610a79,true,10,0.1,1.0,7.968444957966453,0.008,10.0312,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
skhynix_c6in_latency_v2,0822T002,10,w1,batch-01,0822T002-attempt-010,03134bf1de24f5ee48aaa914532a81e3b381399184376ba58664719bd50438f1,7b6bfcb3-5979-4c77-80d2-de3890fc78f2,59e5f506d6504040c6c0f8833fef5f7fb00f2af42c5cff0d52a4e5e225f09de3,7240a8bb3fbd77bd0832f2cb1240ddd0480fb56efd03f43620af0ba429c50363,target,xyz,xyz:SKHX,sell,order_ref_sha256_2ca2f67f52866d61b7ae485f4f7ae062b659b2c4a2c95389c7fe8eae1107a2cf,true,10,0.1,1.0,7.968444957966453,0.008,10.0480,accepted,confirmed,normal,cancel_confirmed,no_fill,,,not_required,,,,,0,0,reconciled,true,
