schema_version,task_id,sample_sequence,event_sequence,event_type,monotonic_ns,audit_utc_ns,order_reference_token,source,classification,detail_code
skhynix_c6in_latency_v2,0822T002,1,1,submit_call_start,595236333434383,1787454960020740469,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,1,2,submit_response_end,595236753052104,1787454960440358744,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,1,3,resting_confirm,595236774981081,1787454960462286755,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,1,4,risk_decision_ready,595237025051151,1787454960712357457,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,1,5,cancel_enqueue,595237025053793,1787454960712359096,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,1,6,cancel_call_start,595237025055345,1787454960712360644,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,1,7,terminal_observation_start,595237025055725,1787454960712361355,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,1,8,cancel_response_end,595237753794940,1787454961441100906,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,1,9,terminal_confirm,595243455111295,1787454967142417399,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,1,10,final_open_orders_confirm,595243490632909,1787454967177938666,order_ref_sha256_bcdd536739e7073374633d5b3dcc4ccfed2a174dabb939a8dd4ebf283afc9ab7,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,2,1,submit_call_start,595256317419113,1787454980004724721,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,2,2,submit_response_end,595256683339505,1787454980370645259,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,2,3,resting_confirm,595256705339579,1787454980392645458,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,2,4,risk_decision_ready,595256955407410,1787454980642713549,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,2,5,cancel_enqueue,595256955409743,1787454980642715042,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,2,6,cancel_call_start,595256955411101,1787454980642716412,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,2,7,terminal_observation_start,595256955411509,1787454980642716793,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,2,8,cancel_response_end,595257628938239,1787454981316244230,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,2,9,terminal_confirm,595257680095494,1787454981367401200,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,2,10,final_open_orders_confirm,595257711300535,1787454981398606259,order_ref_sha256_5eecc6cad431b6bb7b9a648d03bd15ae403fdee20376ae9a5ff59c985f8cfaf1,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,3,1,submit_call_start,595276316660069,1787455000003966068,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,3,2,submit_response_end,595276735797675,1787455000423103814,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,3,3,resting_confirm,595276757519232,1787455000444824925,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,3,4,risk_decision_ready,595277007581734,1787455000694887828,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,3,5,cancel_enqueue,595277007583723,1787455000694889037,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,3,6,cancel_call_start,595277007584698,1787455000694889999,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,3,7,terminal_observation_start,595277007585064,1787455000694890399,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,3,8,cancel_response_end,595278043788941,1787455001731094657,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,3,9,terminal_confirm,595278078449073,1787455001765754878,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,3,10,final_open_orders_confirm,595278108336530,1787455001795642201,order_ref_sha256_acb372a52e2384e93f660898158a306c371dc7de4d73da12e6f75852dd8602a8,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,4,1,submit_call_start,595296317553194,1787455020004858818,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,4,2,submit_response_end,595296698026152,1787455020385332220,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,4,3,resting_confirm,595296710321613,1787455020397627344,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,4,4,risk_decision_ready,595296960386055,1787455020647692455,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,4,5,cancel_enqueue,595296960388897,1787455020647694210,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,4,6,cancel_call_start,595296960390011,1787455020647695313,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,4,7,terminal_observation_start,595296960390435,1787455020647695835,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,4,8,cancel_response_end,595297671000228,1787455021358305980,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,response_received,normal
skhynix_c6in_latency_v2,0822T002,4,9,terminal_confirm,595297678355777,1787455021365661300,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,exact_reference_cancel_confirmed,
skhynix_c6in_latency_v2,0822T002,4,10,final_open_orders_confirm,595297706688835,1787455021393994577,order_ref_sha256_abba93923131dc9bfafe0bb3eb5c892d737e92e460aee3783c9a49dc0ff17402,c6in_official_sdk,private_safety_reconciled,
skhynix_c6in_latency_v2,0822T002,5,1,submit_call_start,595316317958570,1787455040005264260,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,5,2,submit_response_end,595316691825574,1787455040379131320,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,response_received,
skhynix_c6in_latency_v2,0822T002,5,3,resting_confirm,595316696540411,1787455040383846216,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,exact_reference_resting,
skhynix_c6in_latency_v2,0822T002,5,4,risk_decision_ready,595316946603396,1787455040633909839,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,frozen_settle_complete,
skhynix_c6in_latency_v2,0822T002,5,5,cancel_enqueue,595316946606260,1787455040633911565,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,cancel_enqueued,
skhynix_c6in_latency_v2,0822T002,5,6,cancel_call_start,595316946607600,1787455040633912898,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,request_started,
skhynix_c6in_latency_v2,0822T002,5,7,terminal_observation_start,595316946608130,1787455040633913545,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,exact_reference_poll_started,
skhynix_c6in_latency_v2,0822T002,5,8,cancel_response_end,595317628525180,1787455041315830891,order_ref_sha256_9abab3edb931f656dc3f7b43831ae3369d0c0b309c42be3c8197c4ee0700d1dd,c6in_official_sdk,response_received,normal
