schema_version,task_id,pair_sequence,start_sample_sequence,end_sample_sequence,actual_horizon_us,start_mid_price,end_mid_price,abs_mid_move_bps
skhynix_c6in_latency_v2,0822T002,1,1,2,413392,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,2,2,3,551005,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,3,3,4,515562,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,4,4,5,576792,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,5,5,6,543707,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,6,6,7,508447,1255.3,1255.3,0.0
skhynix_c6in_latency_v2,0822T002,7,7,8,556778,1255.3,1255.35,0.39831116067836
skhynix_c6in_latency_v2,0822T002,8,8,9,522814,1255.35,1255.45,0.7965905922661922
skhynix_c6in_latency_v2,0822T002,9,9,10,579510,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,10,10,11,712385,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,11,11,12,334531,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,12,12,13,540379,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,13,13,14,555998,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,14,14,15,552016,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,15,15,16,513367,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,16,16,17,544769,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,17,17,18,521561,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,18,18,19,552625,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,19,19,20,536644,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,20,20,21,575115,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,21,21,22,520258,1255.45,1255.45,0.0
skhynix_c6in_latency_v2,0822T002,22,22,23,540473,1255.45,1255.45,0.0
