schema_version,task_id,sample_sequence,monotonic_ns,audit_utc_ns,server_time_ms,best_bid,best_ask,mid_price
skhynix_c6in_latency_v2,0822T002,1,594167335478713,1787453891022791312,1787453890509,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,2,594167748871522,1787453891436183996,1787453891182,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,3,594168299876561,1787453891987187866,1787453891719,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,4,594168815439372,1787453892502750878,1787453892256,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,5,594169392232355,1787453893079544485,1787453892816,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,6,594169935940124,1787453893623251253,1787453893366,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,7,594170444387709,1787453894131700014,1787453893901,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,8,594171001166093,1787453894688477676,1787453894445,1255.3,1255.4,1255.35
skhynix_c6in_latency_v2,0822T002,9,594171523980868,1787453895211292436,1787453894981,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,10,594172103491649,1787453895790802313,1787453895542,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,11,594172815877110,1787453896503189299,1787453896075,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,12,594173150409043,1787453896837721070,1787453896605,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,13,594173690788156,1787453897378100169,1787453897147,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,14,594174246787014,1787453897934099252,1787453897692,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,15,594174798803910,1787453898486115359,1787453898224,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,16,594175312170934,1787453898999482808,1787453898763,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,17,594175856940119,1787453899544252197,1787453899303,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,18,594176378501383,1787453900065812859,1787453899844,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,19,594176931127249,1787453900618439123,1787453900387,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,20,594177467771596,1787453901155082898,1787453900924,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,21,594178042887246,1787453901730199218,1787453901494,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,22,594178563145463,1787453902250455766,1787453902024,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,23,594179103618547,1787453902790927998,1787453902548,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,24,594179686878901,1787453903374189706,1787453903082,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,25,594180220914836,1787453903908226258,1787453903632,1255.4,1255.5,1255.45
skhynix_c6in_latency_v2,0822T002,26,594180709016996,1787453904396328849,1787453904178,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,27,594181251165109,1787453904938477124,1787453904702,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,28,594181796687463,1787453905483996170,1787453905241,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,29,594182329093233,1787453906016404255,1787453905789,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,30,594182908725387,1787453906596037198,1787453906320,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,31,594183440972629,1787453907128283640,1787453906891,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,32,594183977269714,1787453907664577079,1787453907432,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,33,594184527609997,1787453908214920285,1787453907971,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,34,594185096882530,1787453908784192612,1787453908521,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,35,594185689322976,1787453909376633518,1787453909052,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,36,594186146773744,1787453909834085131,1787453909611,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,37,594186687173166,1787453910374483956,1787453910153,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,38,594187240980187,1787453910928291238,1787453910718,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,39,594187912364581,1787453911599674375,1787453911249,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,40,594188316250119,1787453912003559998,1787453911754,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,41,594188849407969,1787453912536719322,1787453912284,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,42,594189387684326,1787453913074995749,1787453912836,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,43,594189912867086,1787453913600178319,1787453913376,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,44,594190459890056,1787453914147202406,1787453913893,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,45,594190977182273,1787453914664492589,1787453914436,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,46,594191547821124,1787453915235133013,1787453914989,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,47,594192142092369,1787453915829403891,1787453915519,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,48,594192793934766,1787453916481246767,1787453916068,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,49,594193196114235,1787453916883426364,1787453916631,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,50,594193720646477,1787453917407957888,1787453917173,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,51,594194266080799,1787453917953392833,1787453917693,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,52,594194792723818,1787453918480036456,1787453918247,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,53,594195343275435,1787453919030587583,1787453918788,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,54,594195889467205,1787453919576779266,1787453919327,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,55,594196419790922,1787453920107102052,1787453919862,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,56,594196942530418,1787453920629843378,1787453920374,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,57,594197470242496,1787453921157554752,1787453920935,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,58,594198016103527,1787453921703415683,1787453921483,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,59,594198552621327,1787453922239933377,1787453921997,1255.3,1255.5,1255.4
skhynix_c6in_latency_v2,0822T002,60,594199140588371,1787453922827899762,1787453922545,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,61,594199635010173,1787453923322321370,1787453923078,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,62,594200170283717,1787453923857596376,1787453923618,1255.2,1255.4,1255.3
skhynix_c6in_latency_v2,0822T002,63,594200699204478,1787453924386516132,1787453924152,1255.2,1255.4,1255.3
