schema_version,task_id,sample_sequence,collection_window_id,market_role,side,connection_mode,retry_path,submit_response_rtt_us,resting_confirmation_lag_us,decision_to_enqueue_us,enqueue_to_call_us,cancel_response_rtt_us,terminal_minus_cancel_response_us,cancel_effective_latency_us,final_safety_confirmation_us,primary_latency_eligible,failure_or_censor_class
skhynix_c6in_latency_v2,0822T002,1,w1,target,buy,production_equivalent_reused,normal_retry_error,419617,21928,2,1,728739,5701316,6430060,6465581,true,
skhynix_c6in_latency_v2,0822T002,2,w1,target,sell,production_equivalent_reused,normal,365920,22000,2,1,673527,51157,724688,755893,true,
skhynix_c6in_latency_v2,0822T002,3,w1,target,buy,production_equivalent_reused,normal,419137,21721,1,0,1036204,34660,1070867,1100754,true,
skhynix_c6in_latency_v2,0822T002,4,w1,target,sell,production_equivalent_reused,normal,380472,12295,2,1,710610,7355,717969,746302,true,
skhynix_c6in_latency_v2,0822T002,5,w1,target,buy,production_equivalent_reused,normal,373867,4714,2,1,681917,38008,719929,762404,true,
skhynix_c6in_latency_v2,0822T002,6,w1,target,sell,production_equivalent_reused,normal,366543,5246,2,1,790891,-128512,662384,850037,true,
skhynix_c6in_latency_v2,0822T002,7,w1,target,buy,production_equivalent_reused,normal_retry_error,469059,20048,2,1,681223,5227169,5908397,5935426,true,
skhynix_c6in_latency_v2,0822T002,8,w1,target,sell,production_equivalent_reused,normal,407558,5516,2,1,747015,17742,764762,799292,true,
skhynix_c6in_latency_v2,0822T002,9,w1,target,buy,production_equivalent_reused,normal,451832,20957,2,1,645664,37727,683396,767407,true,
skhynix_c6in_latency_v2,0822T002,10,w1,target,sell,production_equivalent_reused,normal,409608,48075,2,1,740000,15182,755187,785280,true,
skhynix_c6in_latency_v2,0822T002,11,w1,target,buy,production_equivalent_reused,normal,413081,7924,2,1,679719,28382,708106,738651,true,
skhynix_c6in_latency_v2,0822T002,12,w1,target,sell,production_equivalent_reused,normal,335034,4598,1,1,712879,53324,766206,806834,true,
skhynix_c6in_latency_v2,0822T002,13,w1,target,buy,production_equivalent_reused,normal_retry_error,414066,78447,3,1,643255,5411757,6055017,6107773,true,
skhynix_c6in_latency_v2,0822T002,14,w1,target,sell,production_equivalent_reused,normal,420595,5550,2,1,634281,35341,669627,704126,true,
skhynix_c6in_latency_v2,0822T002,15,w1,target,buy,production_equivalent_reused,normal,428772,4340,2,1,689894,62668,752566,789713,true,
skhynix_c6in_latency_v2,0822T002,16,w1,target,sell,production_equivalent_reused,normal,350526,5146,2,1,679498,62444,741945,787261,true,
skhynix_c6in_latency_v2,0822T002,17,w1,target,buy,production_equivalent_reused,normal,353544,5242,2,1,672556,-10921,661638,702683,true,
skhynix_c6in_latency_v2,0822T002,18,w1,target,sell,production_equivalent_reused,normal,536927,23675,2,1,754012,59752,813769,844000,true,
skhynix_c6in_latency_v2,0822T002,19,w1,target,buy,production_equivalent_reused,normal_retry_error,413093,19667,1,0,745491,5252585,5998080,6034191,true,
skhynix_c6in_latency_v2,0822T002,20,w1,target,sell,production_equivalent_reused,normal,445592,62991,2,1,679933,25172,705109,741282,true,
skhynix_c6in_latency_v2,0822T002,21,w1,target,buy,production_equivalent_reused,normal,415261,5650,2,1,726410,26398,752813,781985,true,
skhynix_c6in_latency_v2,0822T002,22,w1,target,sell,production_equivalent_reused,normal,477198,8794,2,1,722190,7095,729289,762664,true,
skhynix_c6in_latency_v2,0822T002,23,w1,target,buy,production_equivalent_reused,normal,485160,4150,2,1,666433,47014,713451,747845,true,
skhynix_c6in_latency_v2,0822T002,24,w1,target,sell,production_equivalent_reused,normal,432223,5039,2,2,642522,10987,653515,685178,true,
skhynix_c6in_latency_v2,0822T002,25,w1,target,buy,production_equivalent_reused,normal_retry_error,425039,22822,1,1,741726,5179625,5921354,5953493,true,
skhynix_c6in_latency_v2,0822T002,26,w1,target,sell,production_equivalent_reused,normal,369865,22297,1,1,709718,28839,738561,772533,true,
skhynix_c6in_latency_v2,0822T002,27,w1,target,buy,production_equivalent_reused,normal,454173,20277,2,1,732429,45385,777818,818386,true,
skhynix_c6in_latency_v2,0822T002,28,w1,target,sell,production_equivalent_reused,normal,380170,35731,2,2,728427,14572,743005,781714,true,
skhynix_c6in_latency_v2,0822T002,29,w1,target,buy,production_equivalent_reused,normal,330949,4519,2,1,672850,57915,730770,761608,true,
skhynix_c6in_latency_v2,0822T002,30,w1,target,sell,production_equivalent_reused,normal,472484,8311,1,0,663444,57543,720990,764075,true,
skhynix_c6in_latency_v2,0822T002,31,w1,target,buy,production_equivalent_reused,normal_retry_error,332505,20087,1,1,724951,5043353,5768307,5800690,true,
skhynix_c6in_latency_v2,0822T002,32,w1,target,sell,production_equivalent_reused,normal,671029,7660,1,1,673488,16856,690347,721811,true,
skhynix_c6in_latency_v2,0822T002,33,w1,target,buy,production_equivalent_reused,normal,429101,17690,2,1,639398,47365,686767,717065,true,
skhynix_c6in_latency_v2,0822T002,34,w1,target,sell,production_equivalent_reused,normal,512857,5205,2,1,679650,46389,726043,757332,true,
skhynix_c6in_latency_v2,0822T002,35,w1,target,buy,production_equivalent_reused,normal,426128,9027,2,1,747396,31391,778791,808366,true,
skhynix_c6in_latency_v2,0822T002,36,w1,target,sell,production_equivalent_reused,normal,407746,4735,2,1,678819,4668,683491,713280,true,
skhynix_c6in_latency_v2,0822T002,37,w1,target,buy,production_equivalent_reused,normal_retry_error,390240,25224,2,1,784901,5273060,6057965,6088240,true,
skhynix_c6in_latency_v2,0822T002,38,w1,target,sell,production_equivalent_reused,normal,484042,4452,2,1,629327,49686,679018,708131,true,
skhynix_c6in_latency_v2,0822T002,39,w1,target,buy,production_equivalent_reused,normal,512364,4110,1,0,690987,37442,728431,759222,true,
skhynix_c6in_latency_v2,0822T002,40,w1,target,sell,production_equivalent_reused,normal,373784,5601,2,1,777652,47405,825061,855609,true,
skhynix_c6in_latency_v2,0822T002,41,w2,target,buy,production_equivalent_reused,normal_retry_error,426999,73796,2,1,745473,5183522,5928999,5960647,true,
skhynix_c6in_latency_v2,0822T002,42,w2,target,sell,production_equivalent_reused,normal_retry_error,433829,39405,2,1,743569,5877808,6621382,6652697,true,
skhynix_c6in_latency_v2,0822T002,43,w2,target,buy,production_equivalent_reused,normal,465139,4310,2,1,748380,28557,776941,809714,true,
