schema_version,session_id,horizon_ms,block_seconds,absolute_block_anchor,nominal_block_count,complete_block_count,clipped_segment_block_count,epoch_censored_block_count,quality_censored_block_count,source_gap_censored_block_count,complete_block_gate_pass,stage2_overlap_block_count_2000ms,stage2_overlap_block_interpretation,formal_eligible,primary_selection_eligible
skhynix_stage_h0a_support_v1,jul30,50,60,unix_epoch_receive_time,241,232,9,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,jul30,100,60,unix_epoch_receive_time,241,232,9,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,jul30,250,60,unix_epoch_receive_time,241,232,9,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,jul30,500,60,unix_epoch_receive_time,241,232,9,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,jul30,1000,60,unix_epoch_receive_time,241,232,9,0,0,0,true,,not_applicable_non_2000ms_row,true,false
skhynix_stage_h0a_support_v1,jul30,2000,60,unix_epoch_receive_time,241,232,9,0,0,0,true,9,diagnostic_stage2_structural_overlap_count,true,false
skhynix_stage_h0a_support_v1,aug03,50,60,unix_epoch_receive_time,301,290,11,0,0,0,true,,not_applicable_non_2000ms_row,false,true
skhynix_stage_h0a_support_v1,aug03,100,60,unix_epoch_receive_time,301,290,11,0,0,0,true,,not_applicable_non_2000ms_row,false,true
skhynix_stage_h0a_support_v1,aug03,250,60,unix_epoch_receive_time,301,290,11,0,0,0,true,,not_applicable_non_2000ms_row,false,true
skhynix_stage_h0a_support_v1,aug03,500,60,unix_epoch_receive_time,301,290,11,0,0,0,true,,not_applicable_non_2000ms_row,false,true
skhynix_stage_h0a_support_v1,aug03,1000,60,unix_epoch_receive_time,301,290,11,0,0,0,true,,not_applicable_non_2000ms_row,false,false
skhynix_stage_h0a_support_v1,aug03,2000,60,unix_epoch_receive_time,301,290,11,0,0,0,true,232,diagnostic_stage2_structural_overlap_count,false,false
skhynix_stage_h0a_support_v1,aug04,50,60,unix_epoch_receive_time,121,119,2,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,aug04,100,60,unix_epoch_receive_time,121,119,2,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,aug04,250,60,unix_epoch_receive_time,121,119,2,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,aug04,500,60,unix_epoch_receive_time,121,119,2,0,0,0,true,,not_applicable_non_2000ms_row,true,true
skhynix_stage_h0a_support_v1,aug04,1000,60,unix_epoch_receive_time,121,119,2,0,0,0,true,,not_applicable_non_2000ms_row,true,false
skhynix_stage_h0a_support_v1,aug04,2000,60,unix_epoch_receive_time,121,119,2,0,0,0,true,6,diagnostic_stage2_structural_overlap_count,true,false
