session,segment_id,side,support_row_count,interval_likelihood_row_count,binary_row_count,event_observed_count,full_horizon_right_censor_count,horizon_straddle_count,geometric_exclusion_count,canonical_projection_sha256,first_grid_ts_ns,last_grid_ts_ns
jul30,segment_0001,maker_ask_risk,179978,179973,179973,2988,176985,0,5,99639898d66728f4ba5089d20a43fd061510e75d27fd6f5d4ea16f5f1741b71f,1785369289530000000,1785371089300000000
jul30,segment_0001,maker_bid_risk,179978,179973,179973,3007,176966,0,5,46bbc77a5d519d129360e16464b6fc5d60ea4078d0a6ebaba3b3d15020659221,1785369289530000000,1785371089300000000
jul30,segment_0002,maker_ask_risk,179982,179961,179961,3347,176614,0,21,af1b03459dde79138101e5ad50411ffe1d356d3ca29d66641e4f2a399aac9535,1785371090650000000,1785372890460000000
jul30,segment_0002,maker_bid_risk,179982,179961,179961,3424,176537,0,21,ca21d4fbbcc854093926c114da1e9ad248c5d49fadb8707c0fbef1fe8ed60616,1785371090650000000,1785372890460000000
jul30,segment_0003,maker_ask_risk,179980,179975,179975,2904,177071,0,5,83b6a1f559ed5d1e9f6ac8b338dfef8f90dc0413f3d267a9858b1a347c4cb08d,1785372891590000000,1785374691380000000
jul30,segment_0003,maker_bid_risk,179980,179975,179975,3087,176888,0,5,cc87f2aeaed8a0b97958b2f132116583c9680d2f4a386aec1397cc36f7db425d,1785372891590000000,1785374691380000000
jul30,segment_0004,maker_ask_risk,179976,179971,179971,3002,176969,0,5,1ea80db512791922d8e21d9621d851a0d31a6053cc9606ffc5556a203080ea8c,1785374692830000000,1785376492580000000
jul30,segment_0004,maker_bid_risk,179976,179971,179971,3155,176816,0,5,fd3941922d4e5dc69db0438ff4f420c030c735029834cc1b320a1accdba27dbc,1785374692830000000,1785376492580000000
jul30,segment_0005,maker_ask_risk,179982,179966,179966,2642,177324,0,16,b7876b8f44b7aa4bc2664098c92183c9b63447763fbd116d32f58c940b7deee6,1785376493680000000,1785378293490000000
jul30,segment_0005,maker_bid_risk,179982,179966,179966,2961,177005,0,16,2d8fac4416522c0f6f374ebabad332ea84aad6c49f279dcd09cd89cc2570d363,1785376493680000000,1785378293490000000
jul30,segment_0006,maker_ask_risk,179979,179974,179974,2521,177453,0,5,21353afd3436475a1e6635857302ef4286e13385fc6b44ab40f527f93da86dde,1785378294620000000,1785380094400000000
jul30,segment_0006,maker_bid_risk,179979,179974,179974,2814,177160,0,5,94bb4da5e256a920f77d7205703dd2e47451b49c26ff3dfe22dc35f2ba6d5e39,1785378294620000000,1785380094400000000
jul30,segment_0007,maker_ask_risk,179984,179977,179977,2226,177751,0,7,825a218e5e82e787aff6edc209cf753ed7602b6f56df34f3222eacb0fa359c91,1785380095490000000,1785381895320000000
jul30,segment_0007,maker_bid_risk,179984,179977,179977,2445,177532,0,7,8bc3e0936330f6417947b467a00cfb7cf1b1f7fdc759d0d528325e36148b1c32,1785380095490000000,1785381895320000000
jul30,segment_0008,maker_ask_risk,179979,179971,179971,2381,177590,0,8,9cc5498c5c5429932499779a3dd534a5575a806b9ae90772f987cda447a36f42,1785381896450000000,1785383696230000000
jul30,segment_0008,maker_bid_risk,179979,179971,179971,2740,177231,0,8,f9c9ea7507f6199fe5e8c42fd5b8e4e30df8ab465c96bc8ae905adbf79cc6265,1785381896450000000,1785383696230000000
aug03,segment_0001,maker_ask_risk,179973,179968,179968,1307,178661,0,5,c5d538a285604bd8ff2f810d8194aaf78637871e858be13b4339c65eb4a5cbd8,1785713591080000000,1785715390800000000
aug03,segment_0001,maker_bid_risk,179973,179968,179968,1254,178714,0,5,b1e150bdbcc50e3a4ac0405f937b640e60fad09e98ce8cc0abc6c827ed487e12,1785713591080000000,1785715390800000000
aug03,segment_0002,maker_ask_risk,179973,179968,179968,2796,177172,0,5,ce529140e79c1c60e15310906a1a0c8def4b1b1dcb5a2b6e422840a968417ca2,1785715391960000000,1785717191680000000
aug03,segment_0002,maker_bid_risk,179973,179968,179968,2996,176972,0,5,0d44408a6427b695880f059f0e0c077d0d08dde1249bf96d09b78c8d99690e41,1785715391960000000,1785717191680000000
aug03,segment_0003,maker_ask_risk,179977,179972,179972,2773,177199,0,5,43732e083a7345613bd84ccef2cab2cb565b8333453613204780a78401022746,1785717192840000000,1785718992600000000
aug03,segment_0003,maker_bid_risk,179977,179972,179972,2162,177810,0,5,3fdcadb962185a2714a393bc8d9e5c8427347881c4249c5f9e84ece857363ae7,1785717192840000000,1785718992600000000
aug03,segment_0004,maker_ask_risk,179981,179974,179974,1984,177990,0,7,f10457a47a3de521c9d190427f5f447f5bf3c8d983435bcc5d78ce6589f96a17,1785718993710000000,1785720793510000000
aug03,segment_0004,maker_bid_risk,179981,179974,179974,2160,177814,0,7,7801032e68d392fd14762d11ac5c765f81023d1b32d4ebb0b3e9595505b81e11,1785718993710000000,1785720793510000000
aug03,segment_0005,maker_ask_risk,179986,179981,179981,1952,178029,0,5,00b291848e1efba566365ca0bfb3560099ee86bed811875e576c36f215535e6a,1785720794630000000,1785722594480000000
aug03,segment_0005,maker_bid_risk,179986,179981,179981,1892,178089,0,5,97f206347bbbffab1f34d88178e28607e26c1c46aff2f20210644908bab9bd21,1785720794630000000,1785722594480000000
