session,segment_id,source_role,relative_path,bytes,sha256,header_sha256
,,accepted_h0a_support,local_live_analysis/skhynix_continuous_conditional_risk_v2_stage_h0a_support_only/frozen_h0a_contract.json,9882,b30238fad2d82ea697994f1d9adcdd54e0d29ebc490642b5598fa8de5a058c8a,
,,accepted_h0a_support,local_live_analysis/skhynix_continuous_conditional_risk_v2_stage_h0a_support_only/h0a_manifest.json,8873,fba6a52ea8edf2eebc525120186870078ce8776ffc8f38211b797930d48bc5b8,
,,accepted_h0a_support,local_live_analysis/skhynix_continuous_conditional_risk_v2_stage_h0a_support_only/input_bindings.csv,128556,7189a8aa0eb9be18022245dc934c61af67dda08d98694f57ade68f9a0c40385f,83906d63fa0526c872f561a9d2904f3aff1a31f166f95cb3ce44365276f715ec
,,accepted_h0a_support,local_live_analysis/skhynix_continuous_conditional_risk_v2_stage_h0a_support_only/primary_tuple_freeze.json,5409,e5d1b132248ff1a6933678c32a54e6b4147c1c6f47dab25103011ecbd7a68eca,
,,accepted_h0a_support,local_live_analysis/skhynix_continuous_conditional_risk_v2_stage_h0a_support_only/support_projection_commitments.csv,21265,a266184403a830fc422764e90c6dd48a5c1900af13333246ca7e220d664728df,57d89b5ff55375322e30a35633534f1e03f7ce7d82aa60422a7ab5ecc6abf7db
,,accepted_kernel_metadata,baselines/research_package_trust_kernel/accepted_versions.json,1178,5589631cff217a25b7e8c2bf13ad99862615e42be0d19e8088e1fc7459d450fe,
,,accepted_kernel_metadata,baselines/research_package_trust_kernel/v1/v1_acceptance_package/kernel_acceptance.json,4813,7c92e297fdc6e8b33bfe6f4ba67352b3ed604a8b15b1cb8bc1673737b7e9bf80,
,,accepted_latency_metadata,.workflow/reports/0822T002-controller-closure.md,3924,96523141ad541f64ce952db84ac9f7ee82502e20fe13f83367bbb6cb9d114cf7,
,,accepted_latency_metadata,.workflow/reports/0822T002-qa.md,3475,f8f8f534013ebeb0fcb7d5b6c87efa6e655e23065d0ae516ae3399436471fe86,
,,accepted_latency_metadata,local_live_analysis/skhynix_c6in_hyperliquid_execution_latency_0822T002/controller_latency_recommendation.json,390,5bb719926951128b87713504ccaaa5ea33935ffd3a057bcd8e1e01592eaa8c71,
,,accepted_latency_metadata,local_live_analysis/skhynix_c6in_hyperliquid_execution_latency_0822T002/measurement_manifest.json,944,8ac3b362e8d64cbd81232eaf7ed5856bada63ece20408e0d0b3fb5f84c562afd,
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/consumption_ledgers/aug07_access_ledger.json,19276,40deed8ba0756e85697ef81e107a211ab2f4fabca638c1b42ae14f8314f7426d,
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/channel_inventory.csv,2937,41a80972f0bf6407128bfcc89bc942a03e27aaeefc40b1f652d89dbd14eda333,ad47e17c1de18ad6f2958e20ba7de5da0acee96fca61744431b09a027612be3f
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/hyperliquid_feed_cadence.csv,7311,2e4060036155f80e6c1cebddd81143edce3c3b534dbc7f5c129d6c3f4ed81c0a,98ee13cbda28915228de991ba053d58cc0bcddcfce23aadac1de5c86daba56c9
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/input_manifest_bindings.csv,4098,c08c53f430398e8a68d6e2c8a83d32bd2a2fa889bc9a0fb5bc1c199b70fa59fc,6eaa0257205104354ded81acece092d2775a4780ed27c10842209bcc5f26ed6e
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/session_topology.csv,5657,b00f4eae599bba63099d3b8c629324c761ebdacd2481ac56ebd119b182016827,e988c1eb04f03f7f63aeafbe32f1666c35eeea178d7fd9c3fdfdac8100361de4
,,accepted_stage1_metadata,local_live_analysis/skhynix_trigger_aligned_episode_research_v1/data_admission/unavailable_fields.csv,2460,8ba7c2061ac587adbe5fe79ecf5adef120869dd20894f675bc8d16f8232c03e5,64f98f2950161cd3951bccd9867c0868d662ecc435851f44246ddd56518e6bc7
