schema_version,aggregation_level,session_id,segment_id,venue,channel,message_count,inter_arrival_count,inter_arrival_p01_ns,inter_arrival_p10_ns,inter_arrival_p50_ns,inter_arrival_p90_ns,inter_arrival_p99_ns,inter_arrival_max_ns,source_age_count,source_age_p01_ns,source_age_p10_ns,source_age_p50_ns,source_age_p90_ns,source_age_p99_ns,source_age_max_ns,no_message_calendar_grid_count,gate_latency_ms,gate_latency_window_count,gate_latency_window_with_new_message_count,gate_latency_window_with_new_message_fraction,gate_latency_inter_arrival_challenge,execution_latency_identified,availability,semantic_note
skhynix_stage_h0a_support_v1,session,aug03,,binance,skhynixusdt@bookTicker,2374254,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug03,,binance,skhynixusdt@depth@0ms,601539,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug03,,binance,skhynixusdt@trade,1935586,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug03,,hyperliquid,bbo,160776,160766,49430,19919549,88424350,216633757,457873122,2645521045,160776,168926443,184705145,212621645,284255776,455004866,1751776396,1652043,100,1799696,1173562,0.652089019479,false,false,direct_source_replay,"primary support cadence; silence is no_new_information, not an age censor"
skhynix_stage_h0a_support_v1,session,aug03,,hyperliquid,fast_l2,33135,33125,328825973,476360464,541065468,615207824,753047665,2071580926,33135,203687330,223514249,257441671,315681297,474302967,1818633728,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,session,aug03,,hyperliquid,trades,118802,45129,137079,49643774,218926128,951211021,2585953492,8061965467,118802,172178738,188957947,221516248,295718323,475470581,17437024604,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,session,aug04,,binance,skhynixusdt@bookTicker,1350618,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug04,,binance,skhynixusdt@depth@0ms,255284,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug04,,binance,skhynixusdt@trade,935905,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,aug04,,hyperliquid,bbo,73849,73848,58241,16266229,81505196,193061912,338324607,1573230707,73849,171724744,187340658,214068538,286694046,419103195,1688698738,651898,100,719971,518709,0.720458185121,false,false,direct_source_replay,"primary support cadence; silence is no_new_information, not an age censor"
skhynix_stage_h0a_support_v1,session,aug04,,hyperliquid,fast_l2,13250,13249,356705589,473452203,541044957,617993086,724412354,1876324639,13250,216347783,235495298,266787361,321452982,438211924,1645219204,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,session,aug04,,hyperliquid,trades,62388,20958,144269,47441709,219019449,785178195,1815646978,5448643362,62388,175409862,190726066,223577713,297587651,436942766,1654004104,,,,,,,false,accepted_stage1_prior,diagnostic accepted prior; does not enter primary horizon selection
skhynix_stage_h0a_support_v1,session,jul30,,binance,skhynixusdt@bookTicker,5626969,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,jul30,,binance,skhynixusdt@depth@0ms,527652,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
skhynix_stage_h0a_support_v1,session,jul30,,binance,skhynixusdt@trade,5117764,,,,,,,,,,,,,,,,,,,,,false,accepted_inventory_count_only,diagnostic count published; cadence values are not required by the target-BBO primary support gate
