session,fold_id,side,cross_spread_bin,dose_bin,row_count,binary_identified_count,event_count,realized_rate,mean_loss_h0,mean_loss_h1,positive_improvement,cell_share
jul30,1,maker_ask_risk,0,0,0,0,0,,,,0,0
jul30,1,maker_ask_risk,0,1,0,0,0,,,,0,0
jul30,1,maker_ask_risk,0,2,0,0,0,,,,0,0
jul30,1,maker_ask_risk,0,3,0,0,0,,,,0,0
jul30,1,maker_ask_risk,1,0,1227,1227,11,0.0089649551752241236,0.082293768432950498,0.082402551332896368,0,0.0033894707391735166
jul30,1,maker_ask_risk,1,1,10397,10397,44,0.0042319899971145526,0.044511096109282833,0.039079380864244451,56.473543402664021,0.085708073198585907
jul30,1,maker_ask_risk,1,2,7889,7889,28,0.0035492457852706301,0.032670900202025656,0.026884272730129138,45.650704125791606,0.056729637743185096
jul30,1,maker_ask_risk,1,3,7551,7551,33,0.0043702820818434648,0.041880526141485977,0.036205021694961648,42.855734075705264,0.051944183112163048
jul30,1,maker_ask_risk,2,0,1006,1006,12,0.011928429423459244,0.12499863116106028,0.11941925449075314,5.6128529303289776,0.0091175205867248619
jul30,1,maker_ask_risk,2,1,11201,11201,97,0.0086599410766895809,0.064691088245287284,0.062046488885267002,29.622157431587166,0.045763566540520523
jul30,1,maker_ask_risk,2,2,7063,7063,52,0.0073623106328755484,0.057564708776232223,0.056175634821278228,9.8110293438400351,0.018030001201138561
jul30,1,maker_ask_risk,2,3,7788,7788,60,0.0077041602465331279,0.059670582198672911,0.057864112485571807,14.068786125631307,0.014049089196055671
jul30,1,maker_ask_risk,3,0,891,891,12,0.013468013468013467,0.13030979277399396,0.12283479978502866,6.6602187531680297,0.0068361066543493505
jul30,1,maker_ask_risk,3,1,9859,9859,193,0.019576021908915713,0.12944784382591859,0.1270069040069805,24.065225674910675,0.038034166793754431
jul30,1,maker_ask_risk,3,2,6568,6568,98,0.014920828258221681,0.089715436434380819,0.088381379524890877,8.7620857815299509,0.027096007632017867
jul30,1,maker_ask_risk,3,3,7801,7801,64,0.0082040764004614793,0.05676578262389282,0.055062470385636282,13.287538770639232,0.026533494331039634
jul30,1,maker_ask_risk,4,0,575,575,9,0.015652173913043479,0.11509970831735826,0.11549330821253034,0,0.0027468037977976026
jul30,1,maker_ask_risk,4,1,8415,8415,187,0.022222222222222223,0.1466650341574986,0.143425225628589,27.262988770774143,0.061746580145727203
jul30,1,maker_ask_risk,4,2,6161,6161,192,0.031163772114916409,0.18640814643140202,0.18023697571922584,38.020582757717207,0.059952999313868695
jul30,1,maker_ask_risk,4,3,8716,8716,236,0.027076640660853604,0.1572508090826491,0.1519240002376841,46.428465892715082,0.057911824766519251
jul30,1,maker_ask_risk,5,0,78,78,0,0,0.01276398171408832,0.0200240634243487,0,0.00071272819209778075
jul30,1,maker_ask_risk,5,1,2819,2819,123,0.043632493792124867,0.25940510858709886,0.25565768978625808,10.563973599570012,0.091456348297037263
jul30,1,maker_ask_risk,5,2,3848,3848,123,0.031964656964656966,0.1808053847336491,0.17583322616199185,19.132866183737207,0.12911385597699243
jul30,1,maker_ask_risk,5,3,10097,10097,377,0.037337823115776964,0.24078276095494772,0.23063893108758304,102.42225017078151,0.21312754178125118
jul30,1,maker_bid_risk,0,0,0,0,0,,,,0,0
jul30,1,maker_bid_risk,0,1,0,0,0,,,,0,0
jul30,1,maker_bid_risk,0,2,0,0,0,,,,0,0
jul30,1,maker_bid_risk,0,3,0,0,0,,,,0,0
jul30,1,maker_bid_risk,1,0,534,534,0,0,0.016381522583165095,0.0074818000235798909,4.7524518468184969,0.0033894707391735166
jul30,1,maker_bid_risk,1,1,6339,6339,31,0.0048903612557185672,0.045988712609918637,0.039504844505464279,41.101239914136173,0.085708073198585907
jul30,1,maker_bid_risk,1,2,3979,3979,19,0.0047750691128424227,0.048222543939216912,0.04429602180056795,15.623631589684205,0.056729637743185096
jul30,1,maker_bid_risk,1,3,5188,5188,8,0.0015420200462606013,0.023334181206232776,0.020861698064489485,12.827242539364208,0.051944183112163048
jul30,1,maker_bid_risk,2,0,948,948,5,0.0052742616033755272,0.041090472402056981,0.035895335049799061,4.924990209940507,0.0091175205867248619
jul30,1,maker_bid_risk,2,1,9759,9759,100,0.010246951531919254,0.076775503073169465,0.074450431262031783,22.690375804892767,0.045763566540520523
jul30,1,maker_bid_risk,2,2,6314,6314,40,0.0063351282863477985,0.048248995803297827,0.046420794742152625,11.54326150007077,0.018030001201138561
