instance_type,instance_id,eligible,feed_eligible,local_pipeline_eligible,clock_before_bound_us,clock_after_bound_us,clock_max_bound_us,binance_feed_p50_ns,binance_feed_p99_ns,binance_tick_p50_ns,binance_tick_p99_ns,hyperliquid_tick_p50_ns,hyperliquid_tick_p99_ns,benchmark_p50_ns,benchmark_p99_ns
c7i.xlarge,i-0d152f9ce7ff07d1d,True,True,True,124.952,106.362,124.952,2304110.0,42612858.010000005,4587.0,38986.76000000001,32684.0,49184.04,550,1870
m7i.xlarge,i-09594e052a7481b63,True,True,True,120.062,121.016,121.016,2367141.0,4678923.149999999,4767.0,41524.0,34862.0,51574.32000000001,636,2036
c7a.xlarge,i-00f3802d0a10177c6,True,True,True,92.562,79.903,92.562,2158343.0,9235945.600000005,5550.0,27500.0,25220.0,37548.4,380,820
c6in.xlarge,i-0834e22413d7ebe71,True,True,True,493.036,337.19,493.036,2230567.0,7857057.0,6756.0,22110.25,19632.0,29151.04,524,1402
c5n.xlarge,i-0b7d066de17e10935,True,True,True,566.477,489.048,566.477,2294024.0,20874998.899999753,7079.0,25369.839999999967,24926.0,34918.840000000004,442,1924
m7a.xlarge,i-0e50dd7dc40dfa17b,True,True,True,153.486,86.913,153.486,2227195.0,9757358.90000002,5690.0,28220.0,25930.0,34945.200000000004,410,850
r7i.xlarge,i-0b92e8fcdac259620,True,True,True,349.743,138.347,349.743,2266162.0,10271669.059999995,4802.0,35852.23999999996,28931.0,50006.44,590,2039
r7a.xlarge,i-0edccbd5590e54638,True,True,True,131.273,106.501,131.273,2332174.5,36351850.0,5620.0,28640.0,26120.0,35968.92,380,800
m5zn.xlarge,i-09ccfd9dc530052bd,True,True,True,596.035,502.674,596.035,2393332.0,101820158.44,6369.0,17415.319999999963,15672.0,21558.72,388,1668
c6i.xlarge,i-05d7513256d76b0a7,True,True,True,363.492,312.484,363.492,2228821.0,37556120.46000025,6504.0,22125.400000000052,22901.0,34777.759999999995,498,1341
