field,source,status,metric_status
quote_update_intent,audit_csv,available,required_t006_field
quote_update_action,audit_csv,available,required_t006_field
quote_update_reason,audit_csv,available,required_t006_field
min_move_passed,audit_csv,available,required_t006_field
quote_age_ms,audit_csv,available,required_t006_field
join_age_ms,audit_csv,available,required_t006_field
anchor_age_ms,audit_csv,available,required_t006_field
latency_bucket,audit_csv,available,required_t006_field
throttle_state,audit_csv,available,required_t006_field
token_bucket_state,audit_csv,available,required_t006_field
cancel_readd_bucket,audit_csv,available,required_t006_field
reject_throttle_drop_cause,audit_csv,available,required_t006_field
post_only_pre_check,audit_csv,available,required_t006_field
post_only_post_check,audit_csv,available,required_t006_field
inventory_request_id,audit_csv,available,required_t006_field
stage5_execution_outcome_labels,/home/molly/project/hftbacktest/local_live_analysis/5-19-day-control-30min/stage5_execution_outcome_labels_0514T005/execution_outcome_labels.csv,available,supporting_artifact
stage5c_quote_anchor_safety,/home/molly/project/hftbacktest/local_live_analysis/5-19-day-control-30min/stage5c_quote_anchor_safety_0518T004/quote_anchor_safety_rows.csv,available,supporting_artifact
stage8b_planning_decision,/home/molly/project/hftbacktest/local_live_analysis/5-19-day-control-30min/stage8b_quote_update_diagnostic_0519T005/implementation_planning_decision.json,available,supporting_artifact
stage6_final_calibration_summary,/home/molly/project/hftbacktest/local_live_analysis/5-19-day-control-30min/stage6_final_calibration_0519T001/execution_calibration_summary.md,available,supporting_artifact
