fixture_case_id,purpose,expected_status,covered_validation_area,forbidden_current_interpretation
valid_complete_snapshot,valid_complete_snapshot,pass,valid_local_account_inventory_artifact,endpoint_runner_metric_strategy_or_inventory_proof
valid_account_observed_transition,valid_account_observed_transition,pass,valid_local_account_inventory_artifact,endpoint_runner_metric_strategy_or_inventory_proof
missing_required_field,missing_required_field,fail_closed,missing_required_field,endpoint_runner_metric_strategy_or_inventory_proof
unknown_enum_value,unknown_enum_value,fail_closed,unknown_enum_value,endpoint_runner_metric_strategy_or_inventory_proof
forbidden_endpoint_field,forbidden_endpoint_field,fail_closed,forbidden_endpoint_or_action_field,endpoint_runner_metric_strategy_or_inventory_proof
snapshot_fail_closed_label_accepted,snapshot_fail_closed_label_accepted,fail_closed,snapshot_fail_closed_label_accepted,endpoint_runner_metric_strategy_or_inventory_proof
transition_fail_closed_label_accepted,transition_fail_closed_label_accepted,fail_closed,transition_fail_closed_label_accepted,endpoint_runner_metric_strategy_or_inventory_proof
available_locked_total_nonconserving,available_locked_total_nonconserving,fail_closed,available_locked_total_nonconserving,endpoint_runner_metric_strategy_or_inventory_proof
before_after_delta_nonconserving,before_after_delta_nonconserving,fail_closed,before_after_delta_nonconserving,endpoint_runner_metric_strategy_or_inventory_proof
precision_policy_invalid,precision_policy_invalid,fail_closed,available_locked_total_nonconserving|precision_policy_invalid,endpoint_runner_metric_strategy_or_inventory_proof
duplicate_transition_identity,duplicate_transition_identity,fail_closed,duplicate_transition_identity,endpoint_runner_metric_strategy_or_inventory_proof
out_of_order_transition,out_of_order_transition,fail_closed,out_of_order_transition,endpoint_runner_metric_strategy_or_inventory_proof
order_fills_alone_inventory_proof_overclaim,order_fills_alone_inventory_proof_overclaim,fail_closed,order_fills_alone_inventory_proof_overclaim,endpoint_runner_metric_strategy_or_inventory_proof
inventory_lifecycle_proof_overclaim,inventory_lifecycle_proof_overclaim,fail_closed,inventory_lifecycle_proof_overclaim|unknown_enum_value,endpoint_runner_metric_strategy_or_inventory_proof
pnl_or_economics_overclaim,pnl_or_economics_overclaim,fail_closed,pnl_or_economics_overclaim,endpoint_runner_metric_strategy_or_inventory_proof
non_account_authority_inventory_overclaim,non_account_authority_inventory_overclaim,fail_closed,non_account_authority_inventory_overclaim|unsupported_source_policy,endpoint_runner_metric_strategy_or_inventory_proof
