field_name,required,field_type,source_contract,current_use,forbidden_current_interpretation
task_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
source_task_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
source_line_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
schema_version,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
source_artifact_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
artifact_source_class,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
source_policy,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
validation_gate_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
venue_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
account_scope_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
asset_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
instrument_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
quantity_unit,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
precision_policy_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
snapshot_type,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
state_completeness,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
transition_type,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
transition_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
transition_validation_status,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
available_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
locked_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
total_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
position_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
before_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
after_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
delta_quantity,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
delta_attribution,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
account_state_time,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
artifact_generated_time,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
validation_or_reconciliation_time,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
freshness_policy_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
ordering_policy_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
current_proof_status,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
overclaim_rejection_id,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
allowed_future_use,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
forbidden_current_interpretation,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
fail_closed_reason,yes,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
exchange_event_time,conditional,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
local_receive_time,conditional,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
related_future_opaque_order_ref_hash,conditional,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
row_sequence_index,conditional,string,0610T008,local_validation_only,endpoint_runner_metric_or_strategy_authorization
