fixture_case_id,source_artifact_id,row_index,reason_code,detail
valid_complete_snapshot,,,,pass
valid_account_observed_transition,,,,pass
missing_required_field,acct_missing_required,1,missing_required_field,account_scope_id
unknown_enum_value,acct_unknown_enum,1,unknown_enum_value,snapshot_type=live_snapshot
forbidden_endpoint_field,acct_forbidden,1,forbidden_endpoint_or_action_field,endpoint_url
snapshot_fail_closed_label_accepted,acct_snapshot_fail,1,snapshot_fail_closed_label_accepted,partial_snapshot_fail_closed
transition_fail_closed_label_accepted,acct_transition_fail,1,transition_fail_closed_label_accepted,unknown_transition_fail_closed
available_locked_total_nonconserving,acct_total_bad,1,available_locked_total_nonconserving,available+locked must equal total
before_after_delta_nonconserving,acct_delta_bad,1,before_after_delta_nonconserving,before+delta must equal after
precision_policy_invalid,acct_precision_bad,1,precision_policy_invalid,available_quantity scale>8
precision_policy_invalid,acct_precision_bad,1,available_locked_total_nonconserving,available+locked must equal total
duplicate_transition_identity,acct_dup_a,1,duplicate_transition_identity,transition_duplicate
duplicate_transition_identity,acct_dup_b,2,duplicate_transition_identity,transition_duplicate
out_of_order_transition,acct_order_a,1,out_of_order_transition,transition_order_a
out_of_order_transition,acct_order_b,2,out_of_order_transition,transition_order_b
order_fills_alone_inventory_proof_overclaim,acct_fill_overclaim,1,order_fills_alone_inventory_proof_overclaim,fill_derived_candidate_transition
inventory_lifecycle_proof_overclaim,acct_inventory_overclaim,1,unknown_enum_value,current_proof_status=inventory_lifecycle_proven
inventory_lifecycle_proof_overclaim,acct_inventory_overclaim,1,inventory_lifecycle_proof_overclaim,inventory_lifecycle_proven
pnl_or_economics_overclaim,acct_pnl_overclaim,1,pnl_or_economics_overclaim,pnl_proof
non_account_authority_inventory_overclaim,acct_non_account,1,unsupported_source_policy,artifact_source_class=private_order_response_artifact
non_account_authority_inventory_overclaim,acct_non_account,1,non_account_authority_inventory_overclaim,private_order_response_artifact
