fixture_case_id,fixture_path,row_count,expected_status,actual_status,issue_count,reason_codes
valid_complete_snapshot,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/valid_complete_snapshot.csv,1,pass,pass,0,
valid_account_observed_transition,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/valid_account_observed_transition.csv,1,pass,pass,0,
missing_required_field,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/missing_required_field.csv,1,fail_closed,fail_closed,1,missing_required_field
unknown_enum_value,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/unknown_enum_value.csv,1,fail_closed,fail_closed,1,unknown_enum_value
forbidden_endpoint_field,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/forbidden_endpoint_field.csv,1,fail_closed,fail_closed,1,forbidden_endpoint_or_action_field
snapshot_fail_closed_label_accepted,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/snapshot_fail_closed_label_accepted.csv,1,fail_closed,fail_closed,1,snapshot_fail_closed_label_accepted
transition_fail_closed_label_accepted,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/transition_fail_closed_label_accepted.csv,1,fail_closed,fail_closed,1,transition_fail_closed_label_accepted
available_locked_total_nonconserving,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/available_locked_total_nonconserving.csv,1,fail_closed,fail_closed,1,available_locked_total_nonconserving
before_after_delta_nonconserving,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/before_after_delta_nonconserving.csv,1,fail_closed,fail_closed,1,before_after_delta_nonconserving
precision_policy_invalid,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/precision_policy_invalid.csv,1,fail_closed,fail_closed,2,available_locked_total_nonconserving|precision_policy_invalid
duplicate_transition_identity,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/duplicate_transition_identity.csv,2,fail_closed,fail_closed,2,duplicate_transition_identity
out_of_order_transition,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/out_of_order_transition.csv,2,fail_closed,fail_closed,2,out_of_order_transition
order_fills_alone_inventory_proof_overclaim,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/order_fills_alone_inventory_proof_overclaim.csv,1,fail_closed,fail_closed,1,order_fills_alone_inventory_proof_overclaim
inventory_lifecycle_proof_overclaim,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/inventory_lifecycle_proof_overclaim.csv,1,fail_closed,fail_closed,2,inventory_lifecycle_proof_overclaim|unknown_enum_value
pnl_or_economics_overclaim,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/pnl_or_economics_overclaim.csv,1,fail_closed,fail_closed,1,pnl_or_economics_overclaim
non_account_authority_inventory_overclaim,local_live_analysis/basis_positive_account_inventory_source_artifact_skeleton_0611T004/fixtures/non_account_authority_inventory_overclaim.csv,1,fail_closed,fail_closed,2,non_account_authority_inventory_overclaim|unsupported_source_policy
