fixture_case_id,purpose,expected_status,covered_validation_area,forbidden_current_interpretation
valid_maker_fee_settlement,valid_maker_fee_settlement,pass,valid_local_economics_fee_rebate_artifact,endpoint_runner_metric_strategy_pnl_or_economics_proof
valid_maker_rebate_settlement,valid_maker_rebate_settlement,pass,valid_local_economics_fee_rebate_artifact,endpoint_runner_metric_strategy_pnl_or_economics_proof
missing_required_field,missing_required_field,fail_closed,missing_required_field,endpoint_runner_metric_strategy_pnl_or_economics_proof
unknown_enum_value,unknown_enum_value,fail_closed,unknown_enum_value,endpoint_runner_metric_strategy_pnl_or_economics_proof
forbidden_endpoint_field,forbidden_endpoint_field,fail_closed,forbidden_endpoint_or_action_field,endpoint_runner_metric_strategy_pnl_or_economics_proof
missing_settlement_authority,missing_settlement_authority,fail_closed,missing_required_field|missing_settlement_authority,endpoint_runner_metric_strategy_pnl_or_economics_proof
conflicting_settlement_authority,conflicting_settlement_authority,fail_closed,conflicting_settlement_authority,endpoint_runner_metric_strategy_pnl_or_economics_proof
unsupported_maker_taker_classification,unsupported_maker_taker_classification,fail_closed,unsupported_maker_taker_classification,endpoint_runner_metric_strategy_pnl_or_economics_proof
settlement_fail_closed_label_accepted,settlement_fail_closed_label_accepted,fail_closed,settlement_fail_closed_label_accepted,endpoint_runner_metric_strategy_pnl_or_economics_proof
spread_fail_closed_label_accepted,spread_fail_closed_label_accepted,fail_closed,spread_fail_closed_label_accepted,endpoint_runner_metric_strategy_pnl_or_economics_proof
fee_rebate_arithmetic_nonconserving,fee_rebate_arithmetic_nonconserving,fail_closed,currency_conversion_mismatch|fee_rebate_arithmetic_nonconserving,endpoint_runner_metric_strategy_pnl_or_economics_proof
currency_conversion_mismatch,currency_conversion_mismatch,fail_closed,currency_conversion_mismatch|tick_value_arithmetic_mismatch,endpoint_runner_metric_strategy_pnl_or_economics_proof
tick_value_arithmetic_mismatch,tick_value_arithmetic_mismatch,fail_closed,spread_capture_consistency_mismatch|tick_value_arithmetic_mismatch,endpoint_runner_metric_strategy_pnl_or_economics_proof
timestamp_domain_merged_or_invalid,timestamp_domain_merged_or_invalid,fail_closed,timestamp_domain_merged_or_invalid,endpoint_runner_metric_strategy_pnl_or_economics_proof
hypothetical_spread_overclaim,hypothetical_spread_overclaim,fail_closed,hypothetical_spread_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
fill_notional_alone_overclaim,fill_notional_alone_overclaim,fail_closed,fill_notional_alone_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
order_fills_alone_overclaim,order_fills_alone_overclaim,fail_closed,order_fills_alone_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
public_markout_alone_overclaim,public_markout_alone_overclaim,fail_closed,public_markout_alone_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
account_inventory_alone_overclaim,account_inventory_alone_overclaim,fail_closed,account_inventory_alone_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
replay_lifecycle_alone_overclaim,replay_lifecycle_alone_overclaim,fail_closed,replay_lifecycle_alone_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
pnl_proof_overclaim,pnl_proof_overclaim,fail_closed,pnl_proof_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
live_deployment_promotion_overclaim,live_deployment_promotion_overclaim,fail_closed,live_deployment_promotion_overclaim,endpoint_runner_metric_strategy_pnl_or_economics_proof
duplicate_settlement_identity,duplicate_settlement_identity,fail_closed,duplicate_settlement_identity,endpoint_runner_metric_strategy_pnl_or_economics_proof
