field_name,required,field_type,source_contract,current_use,forbidden_current_interpretation
task_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
source_task_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
source_line_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
schema_version,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_record_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_version,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
venue_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
instrument_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
account_scope_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_scope,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
source_artifact_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
artifact_source_class,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
source_policy,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_source_authority,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
prior_source_line_context,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
validation_gate_id,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
opaque_future_fill_ref,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fill_dependency_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fill_dependency_source_line,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
fill_validation_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
forbidden_fill_only_interpretation,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
maker_taker_label,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
classification_evidence_type,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
venue_rule_dependency_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
classification_validation_status,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
settlement_label,yes,string,0610T009,local_validation_only,endpoint_runner_metric_pnl_or_strategy_authorization
