fixture_case_id,fixture_path,row_count,expected_status,actual_status,issue_count,reason_codes
valid_maker_fee_settlement,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/valid_maker_fee_settlement.csv,1,pass,pass,0,
valid_maker_rebate_settlement,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/valid_maker_rebate_settlement.csv,1,pass,pass,0,
missing_required_field,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/missing_required_field.csv,1,fail_closed,fail_closed,1,missing_required_field
unknown_enum_value,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/unknown_enum_value.csv,1,fail_closed,fail_closed,1,unknown_enum_value
forbidden_endpoint_field,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/forbidden_endpoint_field.csv,1,fail_closed,fail_closed,1,forbidden_endpoint_or_action_field
missing_settlement_authority,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/missing_settlement_authority.csv,1,fail_closed,fail_closed,2,missing_required_field|missing_settlement_authority
conflicting_settlement_authority,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/conflicting_settlement_authority.csv,1,fail_closed,fail_closed,1,conflicting_settlement_authority
unsupported_maker_taker_classification,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/unsupported_maker_taker_classification.csv,1,fail_closed,fail_closed,1,unsupported_maker_taker_classification
settlement_fail_closed_label_accepted,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/settlement_fail_closed_label_accepted.csv,1,fail_closed,fail_closed,1,settlement_fail_closed_label_accepted
spread_fail_closed_label_accepted,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/spread_fail_closed_label_accepted.csv,1,fail_closed,fail_closed,1,spread_fail_closed_label_accepted
fee_rebate_arithmetic_nonconserving,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/fee_rebate_arithmetic_nonconserving.csv,1,fail_closed,fail_closed,2,currency_conversion_mismatch|fee_rebate_arithmetic_nonconserving
currency_conversion_mismatch,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/currency_conversion_mismatch.csv,1,fail_closed,fail_closed,2,currency_conversion_mismatch|tick_value_arithmetic_mismatch
tick_value_arithmetic_mismatch,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/tick_value_arithmetic_mismatch.csv,1,fail_closed,fail_closed,2,spread_capture_consistency_mismatch|tick_value_arithmetic_mismatch
timestamp_domain_merged_or_invalid,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/timestamp_domain_merged_or_invalid.csv,1,fail_closed,fail_closed,2,timestamp_domain_merged_or_invalid
hypothetical_spread_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/hypothetical_spread_overclaim.csv,1,fail_closed,fail_closed,1,hypothetical_spread_overclaim
fill_notional_alone_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/fill_notional_alone_overclaim.csv,1,fail_closed,fail_closed,1,fill_notional_alone_overclaim
order_fills_alone_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/order_fills_alone_overclaim.csv,1,fail_closed,fail_closed,1,order_fills_alone_overclaim
public_markout_alone_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/public_markout_alone_overclaim.csv,1,fail_closed,fail_closed,1,public_markout_alone_overclaim
account_inventory_alone_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/account_inventory_alone_overclaim.csv,1,fail_closed,fail_closed,1,account_inventory_alone_overclaim
replay_lifecycle_alone_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/replay_lifecycle_alone_overclaim.csv,1,fail_closed,fail_closed,1,replay_lifecycle_alone_overclaim
pnl_proof_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/pnl_proof_overclaim.csv,1,fail_closed,fail_closed,1,pnl_proof_overclaim
live_deployment_promotion_overclaim,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/live_deployment_promotion_overclaim.csv,1,fail_closed,fail_closed,1,live_deployment_promotion_overclaim
duplicate_settlement_identity,local_live_analysis/basis_positive_economics_fee_rebate_source_artifact_skeleton_0612T001/fixtures/duplicate_settlement_identity.csv,2,fail_closed,fail_closed,2,duplicate_settlement_identity
