time_field,authority,current_status,fail_closed_required,allowed_future_use,forbidden_current_interpretation,notes
fill_time,future_fill_observation,context_only,no,future_fill_dependency_context,exchange_settlement_time_alias,Separate from settlement time.
exchange_settlement_time,future_economics_settlement_artifact,design_label_only,no,future_settlement_time_context,fill_time_alias,Authoritative only after future accepted source.
local_receive_time,local_observation_clock,design_label_only,no,future_latency_or_ordering_context,exchange_event_time_alias,Local receive is not exchange time.
account_economics_reconciliation_time,future_reconciliation_policy,design_label_only,no,future_reconciliation_context,settlement_time_alias,Separate reconciliation time.
artifact_generated_time,local_artifact_generation_clock,metadata_only,no,audit_metadata,fill_or_settlement_time,Generation time is not event time.
validation_time,local_validation_clock,metadata_only,no,validation_metadata,fill_or_settlement_time,Validation time is not event time.
missing_time_fail_closed,required_time_missing,fail_closed,yes,none,economics_or_pnl_proof,Missing required time blocks proof.
delayed_time_fail_closed,settlement_or_receive_delay_unresolved,fail_closed,yes,none,current_settlement_metric,Delayed timing blocks current proof.
out_of_order_time_fail_closed,time_order_contradiction,fail_closed,yes,none,economics_or_pnl_proof,Out-of-order time blocks proof.
conflicting_time_fail_closed,conflicting_time_domains,fail_closed,yes,none,economics_or_pnl_proof,Conflicting time blocks proof.
unsupported_time_policy_fail_closed,unsupported_time_domain_or_fallback,fail_closed,yes,none,economics_or_pnl_proof,Unsupported fallback blocks proof.
