artifact_id,path,usage,required_status
t008_manifest,local_live_analysis/basis_positive_row_level_generator_0609T008/row_level_generator_manifest.json,source metadata,qa_accepted
t008_rows,local_live_analysis/basis_positive_row_level_generator_0609T008/row_level_read_only_cases.csv,primary row-level read-only source,qa_accepted
t008_source_manifest,local_live_analysis/basis_positive_row_level_generator_0609T008/source_artifact_manifest.csv,source lineage validation,qa_accepted
t008_schema_validation,local_live_analysis/basis_positive_row_level_generator_0609T008/row_level_schema_validation.csv,schema validation reference,qa_accepted
t008_future_label_check,local_live_analysis/basis_positive_row_level_generator_0609T008/future_label_leakage_check.csv,future-label guard reference,qa_accepted
t008_no_action_check,local_live_analysis/basis_positive_row_level_generator_0609T008/no_action_field_check.csv,no-action guard reference,qa_accepted
t008_lineage_summary,local_live_analysis/basis_positive_row_level_generator_0609T008/lineage_validation_summary.csv,lineage coverage reference,qa_accepted
t008_execution_gap_check,local_live_analysis/basis_positive_row_level_generator_0609T008/execution_gap_boundary_check.csv,execution-gap marker reference,qa_accepted
t006_design_artifacts,local_live_analysis/basis_positive_row_level_generator_design_0609T006/**,boundary reference only,qa_accepted
t007_validator_artifacts,local_live_analysis/basis_positive_row_level_preflight_validator_0609T007/**,boundary reference only,qa_accepted
