runner_output_row_id,task_id,source_chain_task_id,source_line_id,source_artifact_path,source_validator_status,source_policy,source_row_count,opaque_identity_ref,timestamp_domain_label,proof_limit_class,runner_output_status,fail_closed_reason,forbidden_interpretation
0615T007_private_order_response_source_line_1,0615T007,0615T006,private_order_response_source_line,local_live_analysis/basis_positive_private_order_response_read_only_collector_0615T003/collector_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,client_ref_sha256_6121de035ef4d825af1be555d7cba4a8adbe257bf189860398fe4d4a1c32ef2c|exchange_ref_sha256_36af278678a645433835d359fbd1f12d93f06e92a13ce241e968bd82f57f8406,local_receive_time|exchange_event_time|validation_or_reconciliation_time,proof_limited_local_artifact_only,proof_limited,,no_fill_probability_post_only_real_order_lifecycle_pnl_live_or_promotion_proof
0615T007_private_order_response_source_line_2,0615T007,0615T006,private_order_response_source_line,local_live_analysis/basis_positive_private_order_response_read_only_collector_0615T003/collector_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,client_ref_sha256_7c8570a2dbae8e29612d3ac1d38bb64f94420aa54a214a28b6de320e289ee443|exchange_ref_sha256_3a59ce6f83f7a0e605592d53f89b8e4888ce2afd3d21d512872313e73b39b3de,local_receive_time|exchange_event_time|validation_or_reconciliation_time,proof_limited_local_artifact_only,proof_limited,,no_fill_probability_post_only_real_order_lifecycle_pnl_live_or_promotion_proof
0615T007_replay_lifecycle_semantics_source_line_1,0615T007,0615T006,replay_lifecycle_semantics_source_line,local_live_analysis/basis_positive_replay_lifecycle_validation_gate_0611T003/fixtures/valid_same_order_cancel_lifecycle.csv,pass,local_read_only_no_endpoint_no_runner_no_live,4,order_cancel,decision_time|replay_time|validation_or_reconciliation_time,proof_limited_replay_regression_only,proof_limited,,no_queue_priority_cancel_fill_race_live_lifecycle_pnl_live_or_promotion_proof
0615T007_replay_lifecycle_semantics_source_line_2,0615T007,0615T006,replay_lifecycle_semantics_source_line,local_live_analysis/basis_positive_replay_lifecycle_validation_gate_0611T003/fixtures/valid_same_order_cancel_lifecycle.csv,pass,local_read_only_no_endpoint_no_runner_no_live,4,order_cancel,decision_time|replay_time|validation_or_reconciliation_time,proof_limited_replay_regression_only,proof_limited,,no_queue_priority_cancel_fill_race_live_lifecycle_pnl_live_or_promotion_proof
0615T007_replay_lifecycle_semantics_source_line_3,0615T007,0615T006,replay_lifecycle_semantics_source_line,local_live_analysis/basis_positive_replay_lifecycle_validation_gate_0611T003/fixtures/valid_same_order_cancel_lifecycle.csv,pass,local_read_only_no_endpoint_no_runner_no_live,4,order_cancel,decision_time|replay_time|validation_or_reconciliation_time,proof_limited_replay_regression_only,proof_limited,,no_queue_priority_cancel_fill_race_live_lifecycle_pnl_live_or_promotion_proof
0615T007_replay_lifecycle_semantics_source_line_4,0615T007,0615T006,replay_lifecycle_semantics_source_line,local_live_analysis/basis_positive_replay_lifecycle_validation_gate_0611T003/fixtures/valid_same_order_cancel_lifecycle.csv,pass,local_read_only_no_endpoint_no_runner_no_live,4,order_cancel,decision_time|replay_time|validation_or_reconciliation_time,proof_limited_replay_regression_only,proof_limited,,no_queue_priority_cancel_fill_race_live_lifecycle_pnl_live_or_promotion_proof
0615T007_account_inventory_source_line_1,0615T007,0615T006,account_inventory_source_line,local_live_analysis/basis_positive_account_inventory_read_only_source_0615T004/account_inventory_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,account_scope_sha256_1ebdf5ccf09772965e86c7d1eb77e6601250c7e648979ce377f2f83ba4b9baf7|future_order_sha256_f8ace60a19d82efeccd37e3b9c2e2e18cb4880f84e9b3ced6f0443b247206cfc,account_state_time|local_receive_time|validation_or_reconciliation_time,proof_limited_local_artifact_only,proof_limited,,no_inventory_lifecycle_pnl_live_or_promotion_proof
0615T007_account_inventory_source_line_2,0615T007,0615T006,account_inventory_source_line,local_live_analysis/basis_positive_account_inventory_read_only_source_0615T004/account_inventory_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,account_scope_sha256_1ebdf5ccf09772965e86c7d1eb77e6601250c7e648979ce377f2f83ba4b9baf7|future_order_sha256_a216481ab03c7048cf3fa739358c58e1889da8679c1e17a78f11df8fc0f5a65c,account_state_time|local_receive_time|validation_or_reconciliation_time,proof_limited_local_artifact_only,proof_limited,,no_inventory_lifecycle_pnl_live_or_promotion_proof
0615T007_economics_fee_rebate_source_line_1,0615T007,0615T006,economics_fee_rebate_source_line,local_live_analysis/basis_positive_economics_fee_rebate_read_only_source_0615T005/economics_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,account_scope_sha256_a643209cf38f88e78dfa8fa6642e9ce4696e8562fc3c6a0efd034082a323d418|future_fill_sha256_0a3c36c2624058771c5b9d5b9dcc4296adec1133d9ed45408f6d71673a110a32,fill_time|exchange_settlement_time|conversion_timestamp|validation_time,proof_limited_local_artifact_only,proof_limited,,no_fees_rebates_spread_capture_pnl_live_or_promotion_proof
0615T007_economics_fee_rebate_source_line_2,0615T007,0615T006,economics_fee_rebate_source_line,local_live_analysis/basis_positive_economics_fee_rebate_read_only_source_0615T005/economics_output_artifact.csv,pass,local_read_only_no_endpoint_no_runner_no_live,2,account_scope_sha256_a643209cf38f88e78dfa8fa6642e9ce4696e8562fc3c6a0efd034082a323d418|future_fill_sha256_0de78b3503485c94697682da206940a18af193a8b603c1cb46eacd0933df548f,fill_time|exchange_settlement_time|conversion_timestamp|validation_time,proof_limited_local_artifact_only,proof_limited,,no_fees_rebates_spread_capture_pnl_live_or_promotion_proof
