conditioning_dimension,conditioning_bucket,context_label,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_future_mid_move_ticks,median_future_mid_move_ticks,wrong_way_count,wrong_way_rate,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,max_sample_row_share,p95_wrong_way_improvement_vs_raw_ticks
spread_bucket,spread_10_20_ticks,basis_positive_raw_context,5529,7,2563,95,0.96425884,31.45957678,0,95,0.01718213,120,180,0.29354314,0
spread_bucket,spread_10_20_ticks,basis_positive_clean_context,3397,7,1905,36,0.98145286,40.80659405,10,36,0.01059759,90,120,0.32175449,30
spread_bucket,spread_10_20_ticks,basis_positive_tail_risk_context,2132,7,658,59,0.91771269,16.56660413,0,59,0.02767355,152,180,0.24859287,-32
spread_bucket,spread_gt_20_ticks,basis_positive_raw_context,197,7,191,6,0.96954315,96.92893401,75,6,0.03045685,25,30,0.2893401,95
spread_bucket,spread_gt_20_ticks,basis_positive_clean_context,148,7,146,2,0.98648649,102.80405405,87.5,2,0.01351351,9.75,10,0.28378378,110.25
spread_bucket,spread_gt_20_ticks,basis_positive_tail_risk_context,49,7,45,4,0.91836735,79.18367347,45,4,0.08163265,27,30,0.30612245,93
join_age_bucket,join_age_0_50ms,basis_positive_raw_context,5726,7,2754,101,0.96462347,33.71201537,0,101,0.01763884,120,180,0.28763535,0
join_age_bucket,join_age_0_50ms,basis_positive_clean_context,3545,7,2051,38,0.98180948,43.39492243,20,38,0.01071932,86,120,0.31480959,34
join_age_bucket,join_age_0_50ms,basis_positive_tail_risk_context,2181,7,703,63,0.91775457,17.97340669,0,63,0.02888583,147,180,0.2434663,-27
visible_movement_bucket,visible_movement_nonzero,basis_positive_raw_context,271,7,215,8,0.96412556,81.34686347,60,8,0.0295203,93,100,0.19926199,27
visible_movement_bucket,visible_movement_nonzero,basis_positive_clean_context,162,7,141,1,0.99295775,97.5617284,75,1,0.00617284,30,30,0.2037037,90
visible_movement_bucket,visible_movement_nonzero,basis_positive_tail_risk_context,109,7,74,7,0.91358025,57.24770642,30,7,0.06422018,94,100,0.24770642,26
visible_movement_bucket,visible_movement_unavailable,basis_positive_raw_context,1,1,0,0,,0,0,0,0,,,1,
visible_movement_bucket,visible_movement_unavailable,basis_positive_clean_context,1,1,0,0,,0,0,0,0,,,1,
visible_movement_bucket,visible_movement_unavailable,basis_positive_tail_risk_context,0,0,0,0,,,,0,,,,,
visible_movement_bucket,visible_movement_zero,basis_positive_raw_context,5454,7,2539,93,0.96466565,31.3513018,0,93,0.01705171,120,180,0.29372937,0
