horizon_ms,effective_future_row_delta_count,context_label,row_count,sample_count,positive_future_count,negative_future_count,direction_hit_rate,mean_future_mid_move_ticks,median_future_mid_move_ticks,wrong_way_count,wrong_way_rate,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,max_sample_row_share,p95_wrong_way_improvement_vs_raw_ticks
100,2,basis_positive_raw_context,5726,7,1994,49,0.97601566,16.93328676,0,49,0.00855746,110,130,0.28763535,10
100,2,basis_positive_clean_context,3545,7,1555,7,0.99551857,22.75317348,0,7,0.00197461,86,110,0.31480959,34
100,2,basis_positive_tail_risk_context,2181,7,439,42,0.91268191,7.47363595,0,42,0.01925722,109.5,130,0.2434663,10.5
250,2,basis_positive_raw_context,5726,7,2040,51,0.97560976,17.39783444,0,51,0.00890674,110,130,0.28763535,10
250,2,basis_positive_clean_context,3545,7,1584,8,0.99497487,23.26657264,0,8,0.0022567,82,110,0.31480959,38
250,2,basis_positive_tail_risk_context,2181,7,456,43,0.91382766,7.85878038,0,43,0.01971573,110,130,0.2434663,10
500,3,basis_positive_raw_context,5726,7,2270,51,0.97802671,22.08173245,0,51,0.00890674,110,130,0.28763535,10
500,3,basis_positive_clean_context,3545,7,1742,12,0.99315849,29.12834979,0,12,0.00338505,114.5,120,0.31480959,5.5
500,3,basis_positive_tail_risk_context,2181,7,528,39,0.93121693,10.62815222,0,39,0.01788171,110,130,0.2434663,10
1000,4,basis_positive_raw_context,5726,7,2754,101,0.96462347,33.71201537,0,101,0.01763884,120,180,0.28763535,0
1000,4,basis_positive_clean_context,3545,7,2051,38,0.98180948,43.39492243,20,38,0.01071932,86,120,0.31480959,34
1000,4,basis_positive_tail_risk_context,2181,7,703,63,0.91775457,17.97340669,0,63,0.02888583,147,180,0.2434663,-27
5000,5,basis_positive_raw_context,5723,7,3673,877,0.80725275,67.49519483,40,877,0.15324131,230,680,0.28778613,-110
5000,5,basis_positive_clean_context,3543,7,2463,491,0.8337847,81.24047417,60,491,0.13858312,200,390,0.3149873,-80
5000,5,basis_positive_tail_risk_context,2180,7,1210,386,0.75814536,45.1559633,20,386,0.17706422,230,680,0.24357798,-110
10000,6,basis_positive_raw_context,5719,7,3712,1404,0.72556685,75.13463892,60,1404,0.24549746,360,880,0.28798741,-240
10000,6,basis_positive_clean_context,3542,7,2376,848,0.7369727,87.61151892,70,848,0.23941276,360,640,0.31507623,-240
10000,6,basis_positive_tail_risk_context,2177,7,1336,556,0.70613108,54.83463482,40,556,0.25539734,351.25,880,0.24391364,-231.25
