source_sample_id,proxy_metric_id,proxy_row_count,numeric_mean_proxy_value,proof_class
cross_exchange_public_sample_xemm_0603_quiet_a_event,adverse_move_after_hypothetical_passive_quote,1116,22.53136201,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_a_event,clean_context_stability_summary,1116,,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_a_event,public_book_post_only_feasibility_proxy,1116,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_a_event,queue_priority_public_depth_proxy,1116,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_a_event,spread_capture_fee_rebate_proxy,1116,7.50000000,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_a_event,touch_proximity_opportunity_proxy,1116,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_b_event,adverse_move_after_hypothetical_passive_quote,293,116.55290102,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_b_event,clean_context_stability_summary,293,,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_b_event,public_book_post_only_feasibility_proxy,293,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_b_event,queue_priority_public_depth_proxy,293,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_b_event,spread_capture_fee_rebate_proxy,293,7.50000000,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_b_event,touch_proximity_opportunity_proxy,293,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_c_event,adverse_move_after_hypothetical_passive_quote,208,131.94711538,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_c_event,clean_context_stability_summary,208,,proxy_available_from_public_observation_rows
cross_exchange_public_sample_xemm_0603_quiet_c_event,public_book_post_only_feasibility_proxy,208,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_c_event,queue_priority_public_depth_proxy,208,,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_c_event,spread_capture_fee_rebate_proxy,208,7.50000000,proxy_available_with_strict_caveat
cross_exchange_public_sample_xemm_0603_quiet_c_event,touch_proximity_opportunity_proxy,208,,proxy_available_with_strict_caveat
xemm_0609_active_a_event,adverse_move_after_hypothetical_passive_quote,460,35.43478261,proxy_available_from_public_observation_rows
xemm_0609_active_a_event,clean_context_stability_summary,460,,proxy_available_from_public_observation_rows
xemm_0609_active_a_event,public_book_post_only_feasibility_proxy,460,,proxy_available_with_strict_caveat
xemm_0609_active_a_event,queue_priority_public_depth_proxy,460,,proxy_available_with_strict_caveat
xemm_0609_active_a_event,spread_capture_fee_rebate_proxy,460,7.50000000,proxy_available_with_strict_caveat
xemm_0609_active_a_event,touch_proximity_opportunity_proxy,460,,proxy_available_with_strict_caveat
xemm_0609_active_b_event,adverse_move_after_hypothetical_passive_quote,507,39.47731755,proxy_available_from_public_observation_rows
xemm_0609_active_b_event,clean_context_stability_summary,507,,proxy_available_from_public_observation_rows
xemm_0609_active_b_event,public_book_post_only_feasibility_proxy,507,,proxy_available_with_strict_caveat
xemm_0609_active_b_event,queue_priority_public_depth_proxy,507,,proxy_available_with_strict_caveat
xemm_0609_active_b_event,spread_capture_fee_rebate_proxy,507,7.50000000,proxy_available_with_strict_caveat
xemm_0609_active_b_event,touch_proximity_opportunity_proxy,507,,proxy_available_with_strict_caveat
xemm_0609_normal_a_event,adverse_move_after_hypothetical_passive_quote,309,49.44983819,proxy_available_from_public_observation_rows
xemm_0609_normal_a_event,clean_context_stability_summary,309,,proxy_available_from_public_observation_rows
xemm_0609_normal_a_event,public_book_post_only_feasibility_proxy,309,,proxy_available_with_strict_caveat
xemm_0609_normal_a_event,queue_priority_public_depth_proxy,309,,proxy_available_with_strict_caveat
xemm_0609_normal_a_event,spread_capture_fee_rebate_proxy,309,7.50000000,proxy_available_with_strict_caveat
xemm_0609_normal_a_event,touch_proximity_opportunity_proxy,309,,proxy_available_with_strict_caveat
xemm_0609_normal_b_event,adverse_move_after_hypothetical_passive_quote,652,23.77300613,proxy_available_from_public_observation_rows
xemm_0609_normal_b_event,clean_context_stability_summary,652,,proxy_available_from_public_observation_rows
xemm_0609_normal_b_event,public_book_post_only_feasibility_proxy,652,,proxy_available_with_strict_caveat
xemm_0609_normal_b_event,queue_priority_public_depth_proxy,652,,proxy_available_with_strict_caveat
xemm_0609_normal_b_event,spread_capture_fee_rebate_proxy,652,7.50000000,proxy_available_with_strict_caveat
xemm_0609_normal_b_event,touch_proximity_opportunity_proxy,652,,proxy_available_with_strict_caveat
