field_name,required,field_type,source_contract,current_use,forbidden_current_interpretation
task_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
source_task_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
source_line_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
venue,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
instrument,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
artifact_source_class,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
source_policy,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
artifact_event_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
event_sequence_index,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
local_receive_time,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
artifact_generated_time,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
validation_or_reconciliation_time,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
response_category,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
lifecycle_state_label,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
post_only_reject_class,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
terminal_state_marker,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
unknown_missing_conflicting_flag,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
validation_gate_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
validation_status,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
overclaim_rejection_id,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
allowed_future_use,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
forbidden_current_interpretation,yes,string,0610T006,local_validation_only,endpoint_or_metric_authorization
client_order_ref_hash,conditional,string,0610T006,local_validation_only,endpoint_or_metric_authorization
exchange_order_ref_hash,conditional,string,0610T006,local_validation_only,endpoint_or_metric_authorization
exchange_event_time,conditional,string,0610T006,local_validation_only,endpoint_or_metric_authorization
fail_closed_reason,conditional,string,0610T006,local_validation_only,endpoint_or_metric_authorization
