lifecycle_state_id,covered_gap,response_category,terminal_class,required_consistency_checks,fail_closed_condition,forbidden_current_interpretation
new_or_submitted_design_label,real_order_lifecycle,accepted,non_terminal,event_identity|timing_separation|source_policy,no accepted source policy or missing identity,submit behavior proof
accepted_ack_design_label,real_order_lifecycle,accepted,non_terminal,event_identity|local_receive_time|response_taxonomy,missing receive time or unsupported label,real order lifecycle proof
rejected_terminal_design_label,real_order_lifecycle|post_only_reject_behavior,rejected,terminal,event_identity|reject_taxonomy|terminal_marker,unknown missing or conflicting reject taxonomy,terminal proof without gates
filled_terminal_design_label,real_order_lifecycle|fill_probability,filled,terminal,event_identity|timing_separation|terminal_marker|no_conflict,missing timing or conflicting terminal state,fill probability proof
partially_filled_active_design_label,real_order_lifecycle|fill_probability,partially_filled,non_terminal,event_identity|timing_separation|state_sequence,missing sequence or unsupported transition,fill probability proof
partially_filled_terminal_design_label,real_order_lifecycle|fill_probability,partially_filled,terminal,event_identity|terminal_marker|state_sequence|no_conflict,terminal marker missing or conflict unresolved,fill probability proof
canceled_terminal_design_label,real_order_lifecycle,canceled,terminal,event_identity|terminal_marker|no_fill_cancel_conflict,fill cancel conflict unresolved,real order lifecycle proof
expired_terminal_design_label,real_order_lifecycle,expired,terminal,event_identity|terminal_marker|source_policy,missing terminal marker or unsupported source,real order lifecycle proof
unknown_state_fail_closed,real_order_lifecycle,unknown,unknown,fail_closed_reason,unknown or unsupported state,positive lifecycle proof
conflicting_state_fail_closed,real_order_lifecycle,conflicting,conflicting,conflict_report|fail_closed_reason,incompatible terminal states,positive lifecycle proof
