label_id,covered_gap,response_category,lifecycle_state_label,terminal_state_marker,fail_closed_required,current_metric_status,allowed_future_use,forbidden_current_interpretation
accepted_design_label,real_order_lifecycle,accepted,accepted_ack,non_terminal,no,design_label_only,future lifecycle schema input,real order lifecycle proof
rejected_design_label,post_only_reject_behavior,rejected,rejected_terminal,terminal,conditional,design_label_only,future reject taxonomy input,post-only reject behavior proof
filled_design_label,fill_probability,filled,filled_terminal,terminal,conditional,design_label_only,future fill outcome label input,fill probability proof
partially_filled_design_label,fill_probability,partially_filled,partially_filled_active_or_terminal,unknown,conditional,design_label_only,future fill outcome label input,fill probability proof
canceled_design_label,real_order_lifecycle,canceled,canceled_terminal,terminal,conditional,design_label_only,future lifecycle schema input,terminal proof without consistency gates
expired_design_label,real_order_lifecycle,expired,expired_terminal,terminal,conditional,design_label_only,future lifecycle schema input,terminal proof without consistency gates
terminal_design_label,real_order_lifecycle,terminal,terminal_state,terminal,conditional,design_label_only,future lifecycle consistency input,terminal proof from single label
unknown_design_label,fill_probability|post_only_reject_behavior|real_order_lifecycle,unknown,unknown,unknown,yes,fail_closed_design_label,future unsupported case reporting,positive metric proof
missing_design_label,fill_probability|post_only_reject_behavior|real_order_lifecycle,missing,missing,unknown,yes,fail_closed_design_label,future missing data reporting,positive metric proof
conflicting_design_label,fill_probability|post_only_reject_behavior|real_order_lifecycle,conflicting,conflicting,conflicting,yes,fail_closed_design_label,future conflict reporting,positive metric proof
