sample_id,decision_mode,canonical_status,horizon_ms,row_count,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max,effective_future_row_delta_min,effective_future_row_delta_mean,effective_future_row_delta_max,distinct_future_row_delta_count,distinct_effective_age_count,mean_age_alias_group,aliasing_status
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,100,3331,106.591118,541.7213585,1180.005781,1,1.00210147,2,2,3312,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,250,3331,250.277807,557.64365344,1424.094279,1,1.02791954,2,2,3312,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,500,3330,500.055202,705.65321174,1503.962994,1,1.28378378,3,3,3312,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,1000,3329,1000.081581,1170.18074536,2146.362373,1,2.16251126,3,3,3318,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,5000,3322,5000.039367,5365.10806331,6024.648116,8,9.90216737,11,4,3305,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_a_event,event,canonical_event_mode,10000,3313,10000.495481,10272.36577302,10901.976446,17,18.99185029,21,5,3302,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,100,3329,100.436304,550.13623952,1977.976295,1,1.01622109,2,2,3318,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,250,3329,250.528306,578.61702561,1977.976295,1,1.06308201,2,2,3318,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,500,3329,500.142562,776.7524494,2352.365861,1,1.40222289,3,3,3319,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,1000,3328,1000.171174,1245.8177746,2929.778321,1,2.27403846,4,4,3321,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,5000,3320,5000.45807,5336.71918187,6823.41575,7,9.82861446,12,6,3309,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_b_event,event,canonical_event_mode,10000,3310,10000.526508,10274.67071683,11146.062846,16,18.96616314,21,6,3306,10000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,100,3333,105.983831,574.11992143,1515.934482,1,1.05010501,2,2,3325,100,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,250,3333,250.119098,588.11407308,1696.435978,1,1.07680768,2,2,3325,250,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,500,3333,500.069107,813.22513068,1970.481354,1,1.48544854,3,3,3329,500,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,1000,3332,1000.157151,1298.15418307,2329.524936,1,2.35804322,4,4,3316,1000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,5000,3324,5000.010986,5339.59844098,6466.608254,8,9.81377858,12,5,3313,5000,distinct_mean_effective_age
cross_exchange_public_sample_xemm_0603_quiet_c_event,event,canonical_event_mode,10000,3314,10000.177376,10290.12495262,11455.139543,16,18.98672299,22,7,3303,10000,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,100,3341,100.476415,545.4468002,2203.651984,1,1.00808141,2,2,3335,100,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,250,3341,250.054258,593.32968262,2203.651984,1,1.08500449,2,2,3335,250,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,500,3341,500.158391,754.84101727,2595.836841,1,1.3720443,3,3,3333,500,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,1000,3340,1000.024214,1209.20850231,2595.836841,1,2.23323353,4,4,3325,1000,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,5000,3333,5000.278147,5352.89160578,6986.109996,7,9.88508851,12,6,3331,5000,distinct_mean_effective_age
xemm_0609_normal_a_event,event,canonical_event_mode,10000,3323,10000.140225,10248.23099654,11757.420137,17,18.99789347,22,6,3313,10000,distinct_mean_effective_age
xemm_0609_normal_b_event,event,canonical_event_mode,100,3340,101.301925,540.86286555,1257.757938,1,1.00269461,2,2,3330,100,distinct_mean_effective_age
xemm_0609_normal_b_event,event,canonical_event_mode,250,3340,250.50668,565.78764382,1486.507701,1,1.04011976,2,2,3330,250,distinct_mean_effective_age
xemm_0609_normal_b_event,event,canonical_event_mode,500,3339,500.004668,730.48752935,1579.173361,1,1.32075472,2,2,3328,500,distinct_mean_effective_age
xemm_0609_normal_b_event,event,canonical_event_mode,1000,3338,1000.143125,1181.23790841,1996.301938,1,2.18963451,4,4,3323,1000,distinct_mean_effective_age
xemm_0609_normal_b_event,event,canonical_event_mode,5000,3331,5000.288751,5358.63886489,6037.757593,8,9.90933654,11,4,3323,5000,distinct_mean_effective_age
