feature,horizon_ms,label,sample_count,eligible_sample_count,canonical_eligible_sample_count,canonical_independent_future_row_delta_count,majority_direction,direction_consistency_ratio,positive_sample_count,negative_sample_count,zero_sample_count,diagnostic_synthetic_sample_count,total_row_count,mean_high_minus_low_effect,std_high_minus_low_effect,mean_abs_corr,sample_effects,stability_verdict
binance_top5_imbalance,100,hyperliquid_future_mid_move_ticks,7,7,7,2,positive,1,7,0,0,0,23353,11.40183971,2.77887443,0.16716336,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:11.883683|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:7.02891762|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:16.6605177|xemm_0609_normal_a_event:canonical_event_mode:positive:10.08453415|xemm_0609_normal_b_event:canonical_event_mode:positive:9.58497537|xemm_0609_active_a_event:canonical_event_mode:positive:12.75947256|xemm_0609_active_b_event:canonical_event_mode:positive:11.81077755,stable_across_samples
binance_top5_imbalance,100,hyperliquid_future_microprice_minus_mid_change_ticks,7,7,7,2,positive,1,7,0,0,0,23353,1.78501516,0.40813219,0.12542837,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:1.14672497|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:2.14392679|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:2.22299327|xemm_0609_normal_a_event:canonical_event_mode:positive:1.95312775|xemm_0609_normal_b_event:canonical_event_mode:positive:1.41975553|xemm_0609_active_a_event:canonical_event_mode:positive:1.43312383|xemm_0609_active_b_event:canonical_event_mode:positive:2.17545399,stable_across_samples
binance_top5_imbalance,100,hyperliquid_future_top5_imbalance_change,7,7,7,2,positive,1,7,0,0,0,23353,0.27079466,0.0415282,0.22714798,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:0.22965184|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:0.33882149|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:0.24642448|xemm_0609_normal_a_event:canonical_event_mode:positive:0.28678574|xemm_0609_normal_b_event:canonical_event_mode:positive:0.21477044|xemm_0609_active_a_event:canonical_event_mode:positive:0.26653722|xemm_0609_active_b_event:canonical_event_mode:positive:0.31257144,stable_across_samples
binance_top5_imbalance,100,basis_future_mid_response_ticks,7,7,7,2,positive,1,7,0,0,0,23353,21.92377384,13.11871712,0.14339937,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:4.46929953|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:46.90213875|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:34.27463329|xemm_0609_normal_a_event:canonical_event_mode:positive:15.32421877|xemm_0609_normal_b_event:canonical_event_mode:positive:20.09884236|xemm_0609_active_a_event:canonical_event_mode:positive:13.8379973|xemm_0609_active_b_event:canonical_event_mode:positive:18.55928686,stable_across_samples
binance_top5_imbalance,100,basis_future_microprice_response_ticks,7,7,7,2,positive,1,7,0,0,0,23353,21.57037928,12.97291548,0.14077068,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:4.28416954|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:46.35745987|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:33.59511749|xemm_0609_normal_a_event:canonical_event_mode:positive:15.05546976|xemm_0609_normal_b_event:canonical_event_mode:positive:19.85361945|xemm_0609_active_a_event:canonical_event_mode:positive:13.56744196|xemm_0609_active_b_event:canonical_event_mode:positive:18.2793769,stable_across_samples
binance_top5_imbalance,250,hyperliquid_future_mid_move_ticks,7,7,7,2,positive,1,7,0,0,0,23353,11.7529339,2.68576356,0.17023987,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:12.44017122|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:7.50099822|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:16.68228801|xemm_0609_normal_a_event:canonical_event_mode:positive:10.53517798|xemm_0609_normal_b_event:canonical_event_mode:positive:9.82422003|xemm_0609_active_a_event:canonical_event_mode:positive:13.2969871|xemm_0609_active_b_event:canonical_event_mode:positive:11.99069473,stable_across_samples
binance_top5_imbalance,250,hyperliquid_future_microprice_minus_mid_change_ticks,7,7,7,2,positive,1,7,0,0,0,23353,1.87550459,0.41988753,0.13094395,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:1.18483213|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:2.23736436|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:2.29767322|xemm_0609_normal_a_event:canonical_event_mode:positive:2.08736628|xemm_0609_normal_b_event:canonical_event_mode:positive:1.5122708|xemm_0609_active_a_event:canonical_event_mode:positive:1.53747426|xemm_0609_active_b_event:canonical_event_mode:positive:2.27155109,stable_across_samples
binance_top5_imbalance,250,hyperliquid_future_top5_imbalance_change,7,7,7,2,positive,1,7,0,0,0,23353,0.28498203,0.04553035,0.23301848,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:0.23326753|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:0.36058852|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:0.24959413|xemm_0609_normal_a_event:canonical_event_mode:positive:0.31229253|xemm_0609_normal_b_event:canonical_event_mode:positive:0.2332735|xemm_0609_active_a_event:canonical_event_mode:positive:0.28287618|xemm_0609_active_b_event:canonical_event_mode:positive:0.32298184,stable_across_samples
binance_top5_imbalance,250,basis_future_mid_response_ticks,7,7,7,2,positive,1,7,0,0,0,23353,22.41720792,13.2197126,0.14427703,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:3.815055|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:47.23591232|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:34.70354695|xemm_0609_normal_a_event:canonical_event_mode:positive:16.63218469|xemm_0609_normal_b_event:canonical_event_mode:positive:20.47808703|xemm_0609_active_a_event:canonical_event_mode:positive:14.28503227|xemm_0609_active_b_event:canonical_event_mode:positive:19.77063722,stable_across_samples
binance_top5_imbalance,250,basis_future_microprice_response_ticks,7,7,7,2,positive,1,7,0,0,0,23353,22.05387295,13.07356153,0.14162073,cross_exchange_public_sample_xemm_0603_quiet_a_event:canonical_event_mode:positive:3.62576532|cross_exchange_public_sample_xemm_0603_quiet_b_event:canonical_event_mode:positive:46.67607408|cross_exchange_public_sample_xemm_0603_quiet_c_event:canonical_event_mode:positive:34.02056111|xemm_0609_normal_a_event:canonical_event_mode:positive:16.34236865|xemm_0609_normal_b_event:canonical_event_mode:positive:20.2239167|xemm_0609_active_a_event:canonical_event_mode:positive:14.00363755|xemm_0609_active_b_event:canonical_event_mode:positive:19.48478721,stable_across_samples
