horizon_ms,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,sample_count,row_count,mean_future_mid_move_ticks,sample_means,conditioning_status
100,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22352,-0.18231031,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.11750155|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.33603896|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20111732|xemm_0609_normal_a_event:0.61095722|xemm_0609_normal_b_event:-0.35714286|xemm_0609_active_a_event:-0.01230391|xemm_0609_active_b_event:-0.16857408,multi_sample_regime
100,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,387,2.01550388,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.2020202|cross_exchange_public_sample_xemm_0603_quiet_c_event:5|xemm_0609_normal_a_event:-6.33333333|xemm_0609_normal_b_event:0.13157895|xemm_0609_active_a_event:-4.30555556|xemm_0609_active_b_event:7.56097561,multi_sample_regime
100,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,614,0.65960912,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.1|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.36021505|xemm_0609_normal_a_event:6.53225806|xemm_0609_normal_b_event:7.625|xemm_0609_active_a_event:5.39215686|xemm_0609_active_b_event:3.65671642,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22352,-0.20892985,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.0742115|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.43344156|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.25369701|xemm_0609_normal_a_event:0.6232687|xemm_0609_normal_b_event:-0.36327406|xemm_0609_active_a_event:-0.04460166|xemm_0609_active_b_event:-0.14073616,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,387,1.78294574,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.80808081|cross_exchange_public_sample_xemm_0603_quiet_c_event:5|xemm_0609_normal_a_event:-6.33333333|xemm_0609_normal_b_event:-0.65789474|xemm_0609_active_a_event:-4.30555556|xemm_0609_active_b_event:7.56097561,multi_sample_regime
250,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,614,0.83876221,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.3|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.27956989|xemm_0609_normal_a_event:6.53225806|xemm_0609_normal_b_event:7.625|xemm_0609_active_a_event:5.29411765|xemm_0609_active_b_event:4.70149254,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22350,-0.36196868,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.32477575|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.04220779|cross_exchange_public_sample_xemm_0603_quiet_c_event:-2.29871837|xemm_0609_normal_a_event:0.95567867|xemm_0609_normal_b_event:-0.45231524|xemm_0609_active_a_event:-0.22147032|xemm_0609_active_b_event:0.04794309,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,387,0.69767442,cross_exchange_public_sample_xemm_0603_quiet_a_event:11.66666667|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.3030303|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20192308|xemm_0609_normal_a_event:-8|xemm_0609_normal_b_event:-3.15789474|xemm_0609_active_a_event:-1.66666667|xemm_0609_active_b_event:9.51219512,multi_sample_regime
500,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,614,-1.47394137,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.81034483|cross_exchange_public_sample_xemm_0603_quiet_b_event:5.36666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-8.27956989|xemm_0609_normal_a_event:5.56451613|xemm_0609_normal_b_event:3.125|xemm_0609_active_a_event:-3.23529412|xemm_0609_active_b_event:3.13432836,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22341,-0.69401549,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.00618812|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.96492368|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.67357002|xemm_0609_normal_a_event:1.55634236|xemm_0609_normal_b_event:-0.85276074|xemm_0609_active_a_event:-0.06463527|xemm_0609_active_b_event:-0.11296812,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,387,0.42635659,cross_exchange_public_sample_xemm_0603_quiet_a_event:10.51282051|cross_exchange_public_sample_xemm_0603_quiet_b_event:-9.04040404|cross_exchange_public_sample_xemm_0603_quiet_c_event:2.5|xemm_0609_normal_a_event:-4.33333333|xemm_0609_normal_b_event:-5.52631579|xemm_0609_active_a_event:0.97222222|xemm_0609_active_b_event:16.95121951,multi_sample_regime
1000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,614,0.22801303,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.29310345|cross_exchange_public_sample_xemm_0603_quiet_b_event:8.96666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.60215054|xemm_0609_normal_a_event:1.37096774|xemm_0609_normal_b_event:5|xemm_0609_active_a_event:-2.84313725|xemm_0609_active_b_event:-0.29850746,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22290,-1.35015702,cross_exchange_public_sample_xemm_0603_quiet_a_event:-0.27751938|cross_exchange_public_sample_xemm_0603_quiet_b_event:-2.92087268|cross_exchange_public_sample_xemm_0603_quiet_c_event:-11.74522083|xemm_0609_normal_a_event:6.07219994|xemm_0609_normal_b_event:-2.09498924|xemm_0609_active_a_event:0.44571252|xemm_0609_active_b_event:0.3396402,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,387,-7.37726098,cross_exchange_public_sample_xemm_0603_quiet_a_event:37.30769231|cross_exchange_public_sample_xemm_0603_quiet_b_event:-15.85858586|cross_exchange_public_sample_xemm_0603_quiet_c_event:-17.01923077|xemm_0609_normal_a_event:6.16666667|xemm_0609_normal_b_event:-39.47368421|xemm_0609_active_a_event:-7.63888889|xemm_0609_active_b_event:15.12195122,multi_sample_regime
5000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,614,-2.5732899,cross_exchange_public_sample_xemm_0603_quiet_a_event:5.0862069|cross_exchange_public_sample_xemm_0603_quiet_b_event:-4.16666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.85483871|xemm_0609_normal_a_event:12.66129032|xemm_0609_normal_b_event:-1.25|xemm_0609_active_a_event:-21.17647059|xemm_0609_active_b_event:-8.35820896,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_0_10_ticks,7,22226,-2.20102583,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.16013682|cross_exchange_public_sample_xemm_0603_quiet_b_event:-4.51976478|cross_exchange_public_sample_xemm_0603_quiet_c_event:-21.04297521|xemm_0609_normal_a_event:12.24543485|xemm_0609_normal_b_event:-4.39426634|xemm_0609_active_a_event:0.57377049|xemm_0609_active_b_event:0.27674129,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_10_20_ticks,7,385,-19.4025974,cross_exchange_public_sample_xemm_0603_quiet_a_event:30.25641026|cross_exchange_public_sample_xemm_0603_quiet_b_event:-37.52525253|cross_exchange_public_sample_xemm_0603_quiet_c_event:-41.77884615|xemm_0609_normal_a_event:-0.66666667|xemm_0609_normal_b_event:-45.78947368|xemm_0609_active_a_event:5.57142857|xemm_0609_active_b_event:24.375,multi_sample_regime
10000,primary_usable,fresh_0_50ms,spread_gt_20_ticks,7,613,-13.36867863,cross_exchange_public_sample_xemm_0603_quiet_a_event:-5.51724138|cross_exchange_public_sample_xemm_0603_quiet_b_event:-37.73333333|cross_exchange_public_sample_xemm_0603_quiet_c_event:-12.48648649|xemm_0609_normal_a_event:23.62903226|xemm_0609_normal_b_event:11.75|xemm_0609_active_a_event:-26.56862745|xemm_0609_active_b_event:-7.23880597,multi_sample_regime
