feature,outcome,horizon_ms,regime_bucket,row_count,eligible_min_rows,pearson_corr,high_z_minus_low_z_mean_effect,dominant_sign,threshold_met,outcome_unit,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max,contract_status,contract_role,runner_use
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_positive_high,455,true,0.06743052,10.61556647,positive,true,ticks,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_positive_low,456,true,0.12095372,13.70010941,positive,true,ticks,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,binance_vol_zero,2683,true,0.11206684,5.39281345,positive,true,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_mid_move_ticks,100,vol_missing,1,false,0,0,none,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_positive_high,455,true,-0.02209606,-0.38734315,negative,false,ticks,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_positive_low,456,true,-0.05734991,-1.91998478,negative,true,ticks,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,binance_vol_zero,2683,true,0.00890731,-0.05576663,negative,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_spread_change_ticks,100,vol_missing,1,false,0,0,none,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_positive_high,455,true,0.22477416,0.41166966,positive,true,unitless,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_positive_low,456,true,0.32349944,0.32302282,positive,true,unitless,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,binance_vol_zero,2683,true,0.12310755,0.09489604,positive,true,unitless,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_top5_imbalance_change,100,vol_missing,1,false,0,0,none,false,unitless,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_positive_high,455,true,0.10787409,2.47114119,positive,true,ticks,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_positive_low,456,true,0.09796319,2.10124012,positive,true,ticks,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,binance_vol_zero,2683,true,0.04899572,0.4484999,positive,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,hyperliquid_microprice_minus_mid_change_ticks,100,vol_missing,1,false,0,0,none,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_positive_high,455,true,0.14025461,32.75177305,positive,true,ticks,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_positive_low,456,true,0.10614339,14.69195091,positive,true,ticks,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_mid_response_ticks,100,binance_vol_zero,2683,true,0.0991708,14.37499195,positive,true,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_mid_response_ticks,100,vol_missing,1,false,0,0,none,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_positive_high,455,true,0.13534019,31.51250126,positive,true,ticks,500,502.1978022,1500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_positive_low,456,true,0.10406024,14.40217379,positive,true,ticks,500,501.09649123,1000,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_microprice_response_ticks,100,binance_vol_zero,2683,true,0.09687848,14.0900742,positive,true,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
binance_top5_imbalance,basis_microprice_response_ticks,100,vol_missing,1,false,0,0,none,false,ticks,500,500,500,primary_allowlist,lead_pricing_pressure,primary_allowlist_signal_conditioning
