horizon_ms,label,row_count,label_mean,label_std,label_p50,label_p90,effective_future_age_ms_min,effective_future_age_ms_mean,effective_future_age_ms_max
100,basis_future_microprice_response_ticks,3595,-0.03264664,54.53307888,0.0015838,40.26132962,500,500.41724618,1500
100,basis_future_mid_response_ticks,3595,-0.0325452,54.42049794,0,40,500,500.41724618,1500
100,hyperliquid_future_microprice_minus_mid_change_ticks,3595,-0.00126864,6.05672383,0,1.44111219,500,500.41724618,1500
100,hyperliquid_future_mid_move_ticks,3595,-0.55910987,30.82083444,0,0,500,500.41724618,1500
100,hyperliquid_future_top5_imbalance_change,3595,-0.00025373,0.37833448,0,0.2463464,500,500.41724618,1500
250,basis_future_microprice_response_ticks,3595,-0.03264664,54.53307888,0.0015838,40.26132962,500,500.41724618,1500
250,basis_future_mid_response_ticks,3595,-0.0325452,54.42049794,0,40,500,500.41724618,1500
250,hyperliquid_future_microprice_minus_mid_change_ticks,3595,-0.00126864,6.05672383,0,1.44111219,500,500.41724618,1500
250,hyperliquid_future_mid_move_ticks,3595,-0.55910987,30.82083444,0,0,500,500.41724618,1500
250,hyperliquid_future_top5_imbalance_change,3595,-0.00025373,0.37833448,0,0.2463464,500,500.41724618,1500
500,basis_future_microprice_response_ticks,3595,-0.03264664,54.53307888,0.0015838,40.26132962,500,500.41724618,1500
500,basis_future_mid_response_ticks,3595,-0.0325452,54.42049794,0,40,500,500.41724618,1500
500,hyperliquid_future_microprice_minus_mid_change_ticks,3595,-0.00126864,6.05672383,0,1.44111219,500,500.41724618,1500
500,hyperliquid_future_mid_move_ticks,3595,-0.55910987,30.82083444,0,0,500,500.41724618,1500
500,hyperliquid_future_top5_imbalance_change,3595,-0.00025373,0.37833448,0,0.2463464,500,500.41724618,1500
1000,basis_future_microprice_response_ticks,3594,-0.08399759,79.0457856,0.00700445,62.19309772,1000,1000.55648303,2000
1000,basis_future_mid_response_ticks,3594,-0.0837507,79.00934482,0,62,1000,1000.55648303,2000
1000,hyperliquid_future_microprice_minus_mid_change_ticks,3594,-0.0036254,6.52787981,0.00086082,3.04282999,1000,1000.55648303,2000
1000,hyperliquid_future_mid_move_ticks,3594,-1.11853088,47.30965584,0,30,1000,1000.55648303,2000
1000,hyperliquid_future_top5_imbalance_change,3594,-0.00072508,0.53862988,0.00018636,0.52460015,1000,1000.55648303,2000
5000,basis_future_microprice_response_ticks,3586,-0.35746353,113.74249826,0.08076655,100.7580704,5000,5000.55772448,6000
5000,basis_future_mid_response_ticks,3586,-0.35833798,113.6252396,0,101,5000,5000.55772448,6000
5000,hyperliquid_future_microprice_minus_mid_change_ticks,3586,-0.00350564,7.80054616,-0.00047317,7.43568719,5000,5000.55772448,6000
5000,hyperliquid_future_mid_move_ticks,3586,-5.85889571,134.73291069,0,130,5000,5000.55772448,6000
5000,hyperliquid_future_top5_imbalance_change,3586,-0.00014344,0.96197938,-0.00008693,1.40347102,5000,5000.55772448,6000
10000,basis_future_microprice_response_ticks,3576,-0.68172528,120.09081265,0.0864435,112.6877614,10000,10000.27964206,10500
10000,basis_future_mid_response_ticks,3576,-0.68288591,119.94627851,0,112,10000,10000.27964206,10500
10000,hyperliquid_future_microprice_minus_mid_change_ticks,3576,-0.00811152,8.17845663,0.00946268,7.98996989,10000,10000.27964206,10500
10000,hyperliquid_future_mid_move_ticks,3576,-12.04418345,202.12552514,0,200,10000,10000.27964206,10500
10000,hyperliquid_future_top5_imbalance_change,3576,-0.00106306,1.04500893,0.00021142,1.52392148,10000,10000.27964206,10500
