sample_id,source_row_index,binance_mid_px,hyperliquid_mid_px,context_basis_mid_ticks,source_basis_mid_ticks,recomputed_basis_mid_ticks,formula_abs_error,source_context_abs_error,lineage_status,basis_contract_caveat
cross_exchange_public_sample_xemm_0603_quiet_a_event,38,67008.85,67004,48.5,48.5,48.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,102,67019.95,67017,29.5,29.5,29.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,341,67049.95,67045,49.5,49.5,49.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,367,67147.15,67145,21.5,21.5,21.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,571,67059.35,67058,13.5,13.5,13.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,931,67003.05,67002,10.5,10.5,10.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1054,66969.95,66967,29.5,29.5,29.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1163,66968.45,66956,124.5,124.5,124.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1164,66968.45,66965,34.5,34.5,34.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1250,66968.65,66964,46.5,46.5,46.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1257,66977.25,66969,82.5,82.5,82.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1371,66959.75,66947,127.5,127.5,127.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1538,67068.85,67053,158.5,158.5,158.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,1542,67079.95,67071,89.5,89.5,89.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2046,67009.25,67007,22.5,22.5,22.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2119,67027.35,67007,203.5,203.5,203.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2132,67036.65,67031,56.5,56.5,56.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2251,67089.85,67085,48.5,48.5,48.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2281,67103.75,67098,57.5,57.5,57.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2414,67004.45,66998,64.5,64.5,64.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,2481,66983.05,66969,140.5,140.5,140.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
cross_exchange_public_sample_xemm_0603_quiet_a_event,3080,67002.95,66998,49.5,49.5,49.5,0,0,lineage_confirmed_decision_time_formula,diagnostic_only_binance_usdm_futures_BTCUSDT_vs_hyperliquid_BTC_contract_basis
