control_dimension,control_bucket,basis_group,row_count,sample_count,mean_future_mid_move_ticks,direction_hit_rate,basis_vs_nonpositive_delta_ticks,controlled_effect_classification
binance_momentum_bucket,binance_momentum_negative_large,basis_nonpositive,41,7,-60.97560976,0.17647059,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_large,3,2,168.33333333,1,229.30894309,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_large,basis_positive_medium,2,2,72.5,1,133.47560976,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_medium,basis_nonpositive,263,7,-44.56273764,0.16748768,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_large,10,5,154,1,198.56273764,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_medium,2,2,40,1,84.56273764,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_medium,basis_positive_small,10,4,-1,0.5,43.56273764,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_small,basis_nonpositive,83,7,-45.24096386,0.14754098,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_large,7,4,187.14285714,1,232.383821,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_medium,3,3,13.33333333,1,58.57429719,controlled_increment_supported
binance_momentum_bucket,binance_momentum_negative_small,basis_positive_small,3,2,10,1,55.24096386,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_large,basis_nonpositive,23,4,-11.08695652,0.68421053,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_large,20,7,139.25,1,150.33695652,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_medium,6,3,55,1,66.08695652,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_large,basis_positive_small,4,3,17.5,1,28.58695652,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_nonpositive,147,7,-4.72789116,0.53846154,,watch_or_insufficient
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_large,73,7,109.17808219,0.97183099,113.90597335,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_medium,40,7,37.75,0.89285714,42.47789116,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_medium,basis_positive_small,32,7,43.125,1,47.85289116,controlled_increment_supported
binance_momentum_bucket,binance_momentum_positive_small,basis_nonpositive,61,7,2.45901639,0.625,,watch_or_insufficient
