dimension,bucket,basis_positive_row_count,wrong_way_count,non_wrong_way_count,wrong_way_rate,wrong_way_share,sample_count,wrong_way_sample_count,mean_future_mid_move_ticks,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,concentration_vs_overall_wrong_rate
spread_bucket,spread_10_20_ticks,5529,95,5434,0.01718213,0.94059406,7,6,31.45957678,120,180,0.97410772
spread_bucket,spread_gt_20_ticks,197,6,191,0.03045685,0.05940594,7,4,96.92893401,25,30,1.72669247
basis_magnitude_bucket,basis_positive_large,1900,15,1885,0.00789474,0.14851485,7,3,64.93157895,58,100,0.44757686
basis_magnitude_bucket,basis_positive_medium,1915,35,1880,0.01827676,0.34653465,7,5,23.66057441,92,120,1.03616576
basis_magnitude_bucket,basis_positive_small,1911,51,1860,0.0266876,0.5049505,7,6,12.74463632,160,180,1.51300185
binance_momentum_bucket,binance_momentum_negative_large,5,0,5,0,0,3,0,130,,,0
binance_momentum_bucket,binance_momentum_negative_medium,22,2,20,0.09090909,0.01980198,7,2,73.18181818,19.5,20,5.15391539
binance_momentum_bucket,binance_momentum_negative_small,13,0,13,0,0,7,0,106.15384615,,,0
binance_momentum_bucket,binance_momentum_positive_large,30,0,30,0,0,7,0,106.16666667,,,0
binance_momentum_bucket,binance_momentum_positive_medium,145,5,140,0.03448276,0.04950495,7,3,74.89655172,96,100,1.95493342
binance_momentum_bucket,binance_momentum_positive_small,56,1,55,0.01785714,0.00990099,7,1,77.85714286,30,30,1.01237624
binance_momentum_bucket,binance_momentum_unavailable,1,0,1,0,0,1,0,0,,,0
binance_momentum_bucket,binance_momentum_zero,5454,93,5361,0.01705171,0.92079208,7,6,31.3513018,120,180,0.9667135
hl_top5_imbalance_bucket,hl_top5_imbalance_negative_small,501,35,466,0.06986028,0.34653465,7,5,32.21556886,156,180,3.96059366
hl_top5_imbalance_bucket,hl_top5_imbalance_positive_small,5225,66,5159,0.01263158,0.65346535,7,6,33.85550239,120,180,0.71612298
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_large,1,0,1,0,0,1,0,355,,,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_medium,10,2,8,0.2,0.01980198,4,2,133,29,30,11.33861386
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_negative_small,490,33,457,0.06734694,0.32673267,7,5,29.5,158,180,3.81810467
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_large,8,0,8,0,0,5,0,113.125,,,0
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_medium,172,2,170,0.01162791,0.01980198,7,2,92.00581395,9.75,10,0.65922174
hl_microprice_minus_mid_bucket,hl_microprice_minus_mid_positive_small,5045,64,4981,0.01268583,0.63366337,7,6,31.74727453,120,180,0.7191985
join_age_bucket,join_age_0_50ms,5726,101,5625,0.01763884,1,7,6,33.71201537,120,180,1
visible_movement_bucket,visible_movement_nonzero,271,8,263,0.0295203,0.07920792,7,4,81.34686347,93,100,1.67359614
visible_movement_bucket,visible_movement_unavailable,1,0,1,0,0,1,0,0,,,0
visible_movement_bucket,visible_movement_zero,5454,93,5361,0.01705171,0.92079208,7,6,31.3513018,120,180,0.9667135
sample_id,cross_exchange_public_sample_xemm_0603_quiet_a_event,1647,60,1587,0.03642987,0.59405941,1,1,16.63934426,121.5,180,2.06532129
sample_id,cross_exchange_public_sample_xemm_0603_quiet_b_event,444,4,440,0.00900901,0.03960396,1,1,99.42567568,77,80,0.51074837
