regime_id,feature,variant,gross_edge_ticks,fee_proxy_ticks,slippage_proxy_ticks,latency_decay_proxy_ticks,net_edge_proxy_ticks,cost_adjusted_viability,wrong_way_rate,mean_wrong_way_loss_ticks,p95_wrong_way_loss_ticks,max_wrong_way_loss_ticks,tail_risk_classification
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_positive,97.54385965,2,2,5,88.54385965,net_edge_plausible_proxy,0.05263158,15,24,25,tail_risk_acceptable_proxy
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,sign_negative,31.27027027,2,2,5,22.27027027,net_edge_plausible_proxy,0.37837838,42.92857143,139.75,255,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_basis_mid_ticks,abs_top_quartile,80.40983607,2,2,5,71.40983607,net_edge_plausible_proxy,0.08196721,166,399,420,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_positive,51.91729323,2,2,5,42.91729323,net_edge_plausible_proxy,0.15789474,45,125,165,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,sign_negative,65.41284404,2,2,5,56.41284404,net_edge_plausible_proxy,0.11009174,63.33333333,144.25,180,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_top5_imbalance,abs_top_quartile,12.70491803,2,2,5,3.70491803,net_edge_marginal_proxy,0.45901639,77.67857143,205,225,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_positive,51.91729323,2,2,5,42.91729323,net_edge_plausible_proxy,0.15789474,45,125,165,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,sign_negative,65.41284404,2,2,5,56.41284404,net_edge_plausible_proxy,0.11009174,63.33333333,144.25,180,tail_risk_reject
regime_011_1000_spread_10_20_ticks,context_hyperliquid_microprice_minus_mid_ticks,abs_top_quartile,12.70491803,2,2,5,3.70491803,net_edge_marginal_proxy,0.45901639,77.67857143,205,225,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_positive,31.21848739,2,2,5,22.21848739,net_edge_plausible_proxy,0.34453782,60.97560976,155,200,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,sign_negative,32.03252033,2,2,5,23.03252033,net_edge_plausible_proxy,0.37398374,52.06521739,146.25,180,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_imbalance,abs_top_quartile,6.14754098,2,2,5,-2.85245902,net_edge_negative_proxy,0.49180328,84,236,375,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_positive,31.21848739,2,2,5,22.21848739,net_edge_plausible_proxy,0.34453782,60.97560976,155,200,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,sign_negative,32.03252033,2,2,5,23.03252033,net_edge_plausible_proxy,0.37398374,52.06521739,146.25,180,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_microprice_minus_mid_ticks,abs_top_quartile,6.14754098,2,2,5,-2.85245902,net_edge_negative_proxy,0.49180328,84,236,375,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_positive,74,2,2,5,65,net_edge_plausible_proxy,0.2,55,55,55,tail_risk_watch
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,sign_negative,65.83333333,2,2,5,56.83333333,net_edge_plausible_proxy,0.25,40,57.5,60,tail_risk_watch
regime_011_1000_spread_10_20_ticks,input_binance_mid_move_ticks_from_prev,abs_top_quartile,0,2,2,5,-9,net_edge_negative_proxy,,,,,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_positive,0.92975207,2,2,5,-8.07024793,net_edge_negative_proxy,0.48760331,74.87288136,205.75,275,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,sign_negative,0,2,2,5,-9,net_edge_negative_proxy,,,,,tail_risk_reject
regime_011_1000_spread_10_20_ticks,input_binance_top5_bid_qty,abs_top_quartile,53.68852459,2,2,5,44.68852459,net_edge_plausible_proxy,0.24590164,59,120,155,tail_risk_reject
