left_feature,right_feature,paired_row_count,pearson_corr,abs_corr,redundancy_classification
context_basis_mid_ticks,context_hyperliquid_top5_imbalance,242,0.55636216,0.55636216,low_redundancy
context_basis_mid_ticks,context_hyperliquid_microprice_minus_mid_ticks,242,0.55636216,0.55636216,low_redundancy
context_basis_mid_ticks,input_binance_top5_imbalance,242,0.25384804,0.25384804,low_redundancy
context_basis_mid_ticks,input_binance_microprice_minus_mid_ticks,242,0.23653039,0.23653039,low_redundancy
context_basis_mid_ticks,input_binance_mid_move_ticks_from_prev,242,0.18402672,0.18402672,low_redundancy
context_basis_mid_ticks,input_binance_top5_bid_qty,242,0.16198039,0.16198039,low_redundancy
context_hyperliquid_top5_imbalance,context_hyperliquid_microprice_minus_mid_ticks,242,1,1,high_redundancy
context_hyperliquid_top5_imbalance,input_binance_top5_imbalance,242,0.23287685,0.23287685,low_redundancy
context_hyperliquid_top5_imbalance,input_binance_microprice_minus_mid_ticks,242,0.22136132,0.22136132,low_redundancy
context_hyperliquid_top5_imbalance,input_binance_mid_move_ticks_from_prev,242,0.02600279,0.02600279,low_redundancy
context_hyperliquid_top5_imbalance,input_binance_top5_bid_qty,242,0.06773907,0.06773907,low_redundancy
context_hyperliquid_microprice_minus_mid_ticks,input_binance_top5_imbalance,242,0.23287685,0.23287685,low_redundancy
context_hyperliquid_microprice_minus_mid_ticks,input_binance_microprice_minus_mid_ticks,242,0.22136132,0.22136132,low_redundancy
context_hyperliquid_microprice_minus_mid_ticks,input_binance_mid_move_ticks_from_prev,242,0.02600279,0.02600279,low_redundancy
context_hyperliquid_microprice_minus_mid_ticks,input_binance_top5_bid_qty,242,0.06773907,0.06773907,low_redundancy
input_binance_top5_imbalance,input_binance_microprice_minus_mid_ticks,242,0.99476462,0.99476462,high_redundancy
input_binance_top5_imbalance,input_binance_mid_move_ticks_from_prev,242,0.24706032,0.24706032,low_redundancy
input_binance_top5_imbalance,input_binance_top5_bid_qty,242,0.46013026,0.46013026,low_redundancy
input_binance_microprice_minus_mid_ticks,input_binance_mid_move_ticks_from_prev,242,0.25453864,0.25453864,low_redundancy
input_binance_microprice_minus_mid_ticks,input_binance_top5_bid_qty,242,0.45345165,0.45345165,low_redundancy
input_binance_mid_move_ticks_from_prev,input_binance_top5_bid_qty,242,0.09169439,0.09169439,low_redundancy
