regime_key,horizon_ms,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,sample_count,row_count,mean_future_mid_move_ticks,majority_effect_direction,direction_consistency_ratio,positive_sample_count,negative_sample_count,zero_sample_count,effect_concentration_ratio,row_concentration_proxy,horizon_support_status,horizon_independence_status,horizon_feature_row_count,horizon_stable_feature_row_count,horizon_direction_consistency_mean,horizon_mean_abs_corr_mean,horizon_mean_abs_corr_max,support_status,caveat,sample_means
100|primary_usable|fresh_0_50ms|spread_0_10_ticks,100,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9357,-0.46061772,negative,0.66666667,1,2,0,0.72590073,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08558158,0.19925582,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.11750155|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.33603896|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20111732
100|primary_usable|fresh_0_50ms|spread_10_20_ticks,100,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,3.34710744,positive,0.66666667,2,1,0,0.60443131,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08558158,0.19925582,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.2020202|cross_exchange_public_sample_xemm_0603_quiet_c_event:5
100|primary_usable|fresh_0_50ms|spread_gt_20_ticks,100,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-2.09390863,negative,0.66666667,1,2,0,0.63961221,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08558158,0.19925582,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.1|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.36021505
250|primary_usable|fresh_0_50ms|spread_0_10_ticks,250,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9357,-0.52474084,negative,0.66666667,1,2,0,0.71178185,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08587242,0.20190788,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.0742115|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.43344156|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.25369701
250|primary_usable|fresh_0_50ms|spread_10_20_ticks,250,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,3.09917355,positive,0.66666667,2,1,0,0.57780288,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08587242,0.20190788,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:7.94871795|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.80808081|cross_exchange_public_sample_xemm_0603_quiet_c_event:5
250|primary_usable|fresh_0_50ms|spread_gt_20_ticks,250,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-1.97969543,negative,0.66666667,1,2,0,0.63538165,0.33333333,watch_needs_more_samples,weak_short_horizon_watch,20,17,0.95,0.08587242,0.20190788,watch_needs_more_samples,horizon_is_watch_only,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.46551724|cross_exchange_public_sample_xemm_0603_quiet_b_event:3.3|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.27956989
500|primary_usable|fresh_0_50ms|spread_0_10_ticks,500,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9356,-0.97851646,negative,0.66666667,1,2,0,0.62708819,0.33333333,diagnostic_supported,independent_enough_for_formal_diagnostic,20,19,0.98333333,0.08706694,0.22456942,diagnostic_supported,watch_only_diagnostic_support_not_final_regime_selection,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.32477575|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.04220779|cross_exchange_public_sample_xemm_0603_quiet_c_event:-2.29871837
500|primary_usable|fresh_0_50ms|spread_10_20_ticks,500,primary_usable,fresh_0_50ms,spread_10_20_ticks,3,242,1.23966942,negative,0.66666667,1,2,0,0.88574273,0.33333333,diagnostic_supported,independent_enough_for_formal_diagnostic,20,19,0.98333333,0.08706694,0.22456942,reject_aliased_or_concentrated,sample_effect_concentration_too_high,cross_exchange_public_sample_xemm_0603_quiet_a_event:11.66666667|cross_exchange_public_sample_xemm_0603_quiet_b_event:-0.3030303|cross_exchange_public_sample_xemm_0603_quiet_c_event:-1.20192308
500|primary_usable|fresh_0_50ms|spread_gt_20_ticks,500,primary_usable,fresh_0_50ms,spread_gt_20_ticks,3,394,-3.60406091,negative,0.66666667,1,2,0,0.46394073,0.33333333,diagnostic_supported,independent_enough_for_formal_diagnostic,20,19,0.98333333,0.08706694,0.22456942,diagnostic_supported,watch_only_diagnostic_support_not_final_regime_selection,cross_exchange_public_sample_xemm_0603_quiet_a_event:-11.81034483|cross_exchange_public_sample_xemm_0603_quiet_b_event:5.36666667|cross_exchange_public_sample_xemm_0603_quiet_c_event:-8.27956989
1000|primary_usable|fresh_0_50ms|spread_0_10_ticks,1000,primary_usable,fresh_0_50ms,spread_0_10_ticks,3,9353,-1.83951673,negative,0.66666667,1,2,0,0.65080196,0.33333333,diagnostic_supported,independent_enough_for_formal_diagnostic,20,14,0.9,0.09068927,0.24602866,diagnostic_supported,watch_only_diagnostic_support_not_final_regime_selection,cross_exchange_public_sample_xemm_0603_quiet_a_event:0.00618812|cross_exchange_public_sample_xemm_0603_quiet_b_event:-1.96492368|cross_exchange_public_sample_xemm_0603_quiet_c_event:-3.67357002
