diagnostic_type,item_key,horizon_ms,support_status,watch_reason,no_promotion_boundary
horizon,100,100,watch_needs_more_samples,100_250ms_horizons_are_weakly_independent_under_public_l2book_cadence,watch_only_no_final_regime_selection_no_strategy_no_live
horizon,250,250,watch_needs_more_samples,100_250ms_horizons_are_weakly_independent_under_public_l2book_cadence,watch_only_no_final_regime_selection_no_strategy_no_live
horizon,500,500,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
horizon,1000,1000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
horizon,5000,5000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
horizon,10000,10000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,100|primary_usable|fresh_0_50ms|spread_0_10_ticks,100,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,100|primary_usable|fresh_0_50ms|spread_10_20_ticks,100,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,100|primary_usable|fresh_0_50ms|spread_gt_20_ticks,100,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,250|primary_usable|fresh_0_50ms|spread_0_10_ticks,250,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,250|primary_usable|fresh_0_50ms|spread_10_20_ticks,250,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,250|primary_usable|fresh_0_50ms|spread_gt_20_ticks,250,watch_needs_more_samples,horizon_is_watch_only,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,500|primary_usable|fresh_0_50ms|spread_0_10_ticks,500,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,500|primary_usable|fresh_0_50ms|spread_10_20_ticks,500,reject_aliased_or_concentrated,sample_effect_concentration_too_high,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,500|primary_usable|fresh_0_50ms|spread_gt_20_ticks,500,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,1000|primary_usable|fresh_0_50ms|spread_0_10_ticks,1000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,1000|primary_usable|fresh_0_50ms|spread_10_20_ticks,1000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,1000|primary_usable|fresh_0_50ms|spread_gt_20_ticks,1000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,5000|primary_usable|fresh_0_50ms|spread_0_10_ticks,5000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,5000|primary_usable|fresh_0_50ms|spread_10_20_ticks,5000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,5000|primary_usable|fresh_0_50ms|spread_gt_20_ticks,5000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,10000|primary_usable|fresh_0_50ms|spread_0_10_ticks,10000,reject_aliased_or_concentrated,sample_effect_concentration_too_high,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,10000|primary_usable|fresh_0_50ms|spread_10_20_ticks,10000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
regime_bucket,10000|primary_usable|fresh_0_50ms|spread_gt_20_ticks,10000,diagnostic_supported,diagnostic_supported_but_not_final_regime_or_maker_action,watch_only_no_final_regime_selection_no_strategy_no_live
