regime_id,classification,primary_anchor_feature,primary_anchor_bucket,primary_anchor_condition,secondary_context_features,context_fields,decision_time_visible_definition,horizon_ms,horizon_support_class,hyperliquid_context_quality,hyperliquid_join_age_bucket,hyperliquid_spread_bucket,row_count,sample_count,anchor_majority_direction,context_majority_direction,per_sample_future_move_direction,direction_consistency_ratio,anchor_sample_direction_consistency_ratio,mean_future_move_ticks,anchor_mean_high_minus_low_effect_ticks,anchor_mean_abs_corr,sample_concentration_ratio,effective_future_row_delta_support,regime_support_status,horizon_support_status,reason,no_maker_action_boundary
regime_001_100_spread_0_10_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_0_10_ticks,100,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_0_10_ticks,9357,3,positive,negative,positive:3,0.66666667,1,-0.46061772,14.8404435,0.02956301,0.72590073,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_002_100_spread_10_20_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_10_20_ticks,100,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_10_20_ticks,242,3,positive,positive,positive:3,0.66666667,1,3.34710744,14.8404435,0.02956301,0.60443131,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_003_100_spread_gt_20_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_gt_20_ticks,100,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_gt_20_ticks,394,3,positive,negative,positive:3,0.66666667,1,-2.09390863,14.8404435,0.02956301,0.63961221,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_004_250_spread_0_10_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_0_10_ticks,250,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_0_10_ticks,9357,3,positive,negative,positive:3,0.66666667,1,-0.52474084,15.998734,0.02688229,0.71178185,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_005_250_spread_10_20_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_10_20_ticks,250,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_10_20_ticks,242,3,positive,positive,positive:3,0.66666667,1,3.09917355,15.998734,0.02688229,0.57780288,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_006_250_spread_gt_20_ticks,watch_needs_more_samples,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_gt_20_ticks,250,short_horizon_watch_only,primary_usable,fresh_0_50ms,spread_gt_20_ticks,394,3,positive,negative,positive:3,0.66666667,1,-1.97969543,15.998734,0.02688229,0.63538165,2,watch_needs_more_samples,watch_needs_more_samples,100_250ms_short_horizon_watch_only,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_007_500_spread_0_10_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_0_10_ticks,500,diagnostic_500ms_plus,primary_usable,fresh_0_50ms,spread_0_10_ticks,9356,3,positive,negative,positive:3,0.66666667,1,-0.97851646,30.57434116,0.04907661,0.62708819,3,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_008_500_spread_10_20_ticks,reject_concentrated_or_aliased,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_10_20_ticks,500,diagnostic_500ms_plus,primary_usable,fresh_0_50ms,spread_10_20_ticks,242,3,positive,negative,positive:3,0.66666667,1,1.23966942,30.57434116,0.04907661,0.88574273,3,reject_aliased_or_concentrated,diagnostic_supported,horizon_or_regime_not_independent_enough,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_009_500_spread_gt_20_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_gt_20_ticks,500,diagnostic_500ms_plus,primary_usable,fresh_0_50ms,spread_gt_20_ticks,394,3,positive,negative,positive:3,0.66666667,1,-3.60406091,30.57434116,0.04907661,0.46394073,3,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_010_1000_spread_0_10_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_0_10_ticks,1000,preferred_1000ms_plus,primary_usable,fresh_0_50ms,spread_0_10_ticks,9353,3,positive,negative,positive:3,0.66666667,1,-1.83951673,82.83682671,0.11312296,0.65080196,3,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_011_1000_spread_10_20_ticks,candidate_for_milestone3_executability,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_10_20_ticks,1000,preferred_1000ms_plus,primary_usable,fresh_0_50ms,spread_10_20_ticks,242,3,positive,positive,positive:3,0.66666667,1,-0.92975207,82.83682671,0.11312296,0.47670219,3,diagnostic_supported,diagnostic_supported,primary_anchor_and_context_supported_at_1000ms_plus,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_012_1000_spread_gt_20_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_gt_20_ticks,1000,preferred_1000ms_plus,primary_usable,fresh_0_50ms,spread_gt_20_ticks,394,3,positive,negative,positive:3,0.66666667,1,0.05076142,82.83682671,0.11312296,0.47326884,3,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_013_5000_spread_0_10_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_0_10_ticks,5000,preferred_1000ms_plus,primary_usable,fresh_0_50ms,spread_0_10_ticks,9330,3,positive,negative,positive:3,1,1,-4.87674169,166.83054347,0.09284385,0.78596929,4,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
regime_014_5000_spread_10_20_ticks,reject_unstable_direction,binance_mid_move_ticks_from_prev,keep_for_read_only_research,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket,binance_top5_imbalance|binance_top5_bid_qty|binance_microprice_minus_mid_ticks,hyperliquid_context_quality|hyperliquid_join_age_bucket|hyperliquid_spread_bucket,binance_mid_move_ticks_from_prev=high_or_positive_impulse_bucket; hyperliquid_context_quality=primary_usable; hyperliquid_join_age_bucket=fresh_0_50ms; hyperliquid_spread_bucket=spread_10_20_ticks,5000,preferred_1000ms_plus,primary_usable,fresh_0_50ms,spread_10_20_ticks,242,3,positive,negative,positive:3,0.66666667,1,-7.7892562,166.83054347,0.09284385,0.53155834,4,diagnostic_supported,diagnostic_supported,anchor_direction_disagrees_with_context_regime_direction,no_maker_side_no_quote_behavior_no_order_behavior_no_strategy_no_live
