attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,43,pre_open_orders_public_gate,1784187103229,buy,64454.0,1000,21,0.08352,0.00495,0.00495,0.00495,0.08352,True,0.28403,3,4,14,16.87272727272727,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,194,pre_open_orders_public_gate,1784187149004,buy,64441.0,1000,3,0.00023,0.00077,0.00077,0.00077,0.00023,False,0.06333,1,1,1,0.2987012987012987,0.01,2.0,pass,
1,194,post_open_orders_pre_submit_gate,1784187149004,buy,64439.0,1000,3,0,0.00023,0.00023,0.00023,0,False,0.0641,1,0,2,,0.01,2.0,pass,
1,277,pre_open_orders_public_gate,1784187177601,buy,64441.0,1000,8,0.00143,0.00077,0.00077,0.00077,0.00143,True,0.11235,1,3,4,1.8571428571428572,0.01,2.0,pass,
1,277,post_open_orders_pre_submit_gate,1784187177601,buy,64438.0,1000,8,0,0.00111,0.00111,0.00111,0,True,0.11344,1,0,7,,0.01,2.0,pass,
1,410,pre_open_orders_public_gate,1784187206463,buy,64440.0,1000,3,0.18925,0.00594,0.00594,0.00594,0.18925,False,0.0035,1,1,1,31.86026936026936,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,410,post_open_orders_pre_submit_gate,1784187206463,buy,64436.0,1000,3,0,0.18925,0.18925,0.18925,0,False,0.00944,1,0,2,,0.01,2.0,pass,
1,429,pre_open_orders_public_gate,1784187211227,buy,64436.0,1000,30,4.32683,0.17334,0.17334,0.17334,4.32683,False,0.00019,3,26,1,24.961520710741894,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,429,post_open_orders_pre_submit_gate,1784187211227,buy,64427.0,1000,30,0,3.71907,3.71907,3.71907,0,False,0.78129,4,0,26,,0.01,2.0,pass,
1,540,pre_open_orders_public_gate,1784187243504,buy,64435.0,1000,6,0.03036,0.18628,0.18628,0.18628,0.03036,False,0.00275,2,3,1,0.16298045952329826,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,540,post_open_orders_pre_submit_gate,1784187243504,buy,64426.0,1000,6,0,0,0,0,0,False,0.21939,0,0,6,,0.01,2.0,pass,
1,808,pre_open_orders_public_gate,1784187323092,buy,64462.0,1000,5,0.0003,0.00579,0.00579,0.00579,0.0003,False,0.00754,1,1,3,0.05181347150259067,0.01,2.0,pass,
1,808,post_open_orders_pre_submit_gate,1784187323092,buy,64457.0,1000,5,0,0,0,0,0,False,0.01363,0,0,5,,0.01,2.0,pass,
1,833,pre_open_orders_public_gate,1784187329083,buy,64457.0,1000,13,0.13446,0.10141,0.10141,0.10141,0.13446,False,0,3,10,0,1.3259047431219801,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,833,post_open_orders_pre_submit_gate,1784187329083,buy,64446.0,1000,13,0,0,0,0,0,False,0.23587,0,0,13,,0.01,2.0,pass,
1,850,pre_open_orders_public_gate,1784187334261,buy,64444.0,1000,3,0.39561,0.01473,0.01473,0.01473,0.39561,False,0.00035,1,1,1,26.85743380855397,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,850,post_open_orders_pre_submit_gate,1784187334261,buy,64443.0,1000,3,0,0.39561,0.39561,0.39561,0,False,0.01508,1,0,2,,0.01,2.0,pass,
1,878,pre_open_orders_public_gate,1784187344276,buy,64440.0,1000,6,0.00049,0.12868,0.12868,0.12868,0.00049,False,0,4,2,0,0.003807895554864781,0.01,2.0,pass,
1,878,post_open_orders_pre_submit_gate,1784187344276,buy,64434.0,1000,6,0,0,0,0,0,False,0.12917,0,0,6,,0.01,2.0,pass,
1,926,pre_open_orders_public_gate,1784187358989,buy,64416.0,1000,18,0.25199,0.15853,0.15853,0.15853,0.25199,True,0.61459,2,7,9,1.5895414117201792,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,926,post_open_orders_pre_submit_gate,1784187358989,buy,64407.0,1000,18,0,0,0,0,0,True,1.02511,0,0,18,,0.01,2.0,pass,
1,944,pre_open_orders_public_gate,1784187362375,buy,64367.0,1000,27,2.56861,0.02387,0.02387,0.02387,2.56861,True,0.03952,6,18,3,107.60829493087557,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,945,pre_open_orders_public_gate,1784187362492,buy,64367.0,1000,39,3.23759,0.02387,0.02387,0.02387,3.23759,True,0.04425,6,28,5,135.6342689568496,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,958,pre_open_orders_public_gate,1784187363908,buy,64321.0,1000,60,0.95,0.00746,0.00746,0.00746,0.95,True,0.66361,5,28,27,127.34584450402144,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,959,pre_open_orders_public_gate,1784187364045,buy,64321.0,1000,61,0.95,0.00746,0.00746,0.00746,0.95,True,0.66397,5,28,28,127.34584450402144,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,963,pre_open_orders_public_gate,1784187364584,buy,64309.0,1000,765,54.80148,6.31817,6.31817,6.31817,54.80148,True,16.25003,30,407,328,8.673631763627759,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,979,pre_open_orders_public_gate,1784187366328,buy,64314.0,1000,11,0,0.84522,0.84522,0.84522,0,False,0.00366,6,0,5,,0.01,2.0,pass,
1,979,post_open_orders_pre_submit_gate,1784187366328,buy,64309.0,1000,11,0,0,0,0,0,False,0.84888,0,0,11,,0.01,2.0,pass,
1,1009,pre_open_orders_public_gate,1784187371044,buy,64300.0,1000,25,0.00066,0.08554,0.08554,0.08554,0.00066,True,0.377,8,1,16,0.007715688566752397,0.01,2.0,pass,
1,1009,post_open_orders_pre_submit_gate,1784187371044,buy,64292.0,1000,25,0,0.00066,0.00066,0.00066,0,True,0.46254,1,0,24,,0.01,2.0,pass,
1,1019,pre_open_orders_public_gate,1784187373405,buy,64283.0,1000,20,0.26467,0.00077,0.00077,0.00077,0.26467,True,0.15534,1,11,8,343.72727272727275,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
1,1020,pre_open_orders_public_gate,1784187373555,buy,64283.0,1000,18,0.2838,0.00077,0.00077,0.00077,0.2838,False,0.02664,1,12,5,368.57142857142856,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,1020,post_open_orders_pre_submit_gate,1784187373555,buy,64276.0,1000,18,0,0,0,0,0,False,0.31121,0,0,18,,0.01,2.0,pass,
1,1143,pre_open_orders_public_gate,1784187400000,buy,64282.0,1000,7,0.00904,0.11364,0.11364,0.11364,0.00904,False,0.15545,3,3,1,0.07954945441745864,0.01,2.0,pass,
1,1143,post_open_orders_pre_submit_gate,1784187400000,buy,64281.0,1000,7,0,0.00904,0.00904,0.00904,0,False,0.26909,3,0,4,,0.01,2.0,pass,
1,1185,pre_open_orders_public_gate,1784187410369,buy,64300.0,1000,3,0,0.00037,0.00037,0.00037,0,False,2.19082,1,0,2,,0.01,2.0,pass,
1,1185,post_open_orders_pre_submit_gate,1784187410369,buy,64304.0,1000,3,0.19119,0,0,0,0.19119,False,2,0,2,1,inf,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
