attempt,event_sequence,phase,source_channel,source_event_exchange_time_ms,side,limit_px,current_bid,current_ask,status,reason,touch_stability_ms,min_stable_ms,bbo_lookback_ms,recent_bbo_count,last_adverse_bbo_ms,elapsed_since_adverse_bbo_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,adverse_flow_ratio,adverse_flow_status,current_cross_risk,inference_scope
1,43,pre_open_orders_public_gate,trades,1784187103229,buy,64454.0,64454.0,64458.0,block,adverse_trade_pressure_with_recent_adverse_bbo,463,250,750,1,1784187102766,463,1,0,0,0,0.08352,0.00495,0.00495,0.00495,0.08352,True,0.28403,16.87272727272727,block,False,public_microstructure_gate_not_exchange_validation_guarantee
1,194,pre_open_orders_public_gate,trades,1784187149004,buy,64441.0,64441.0,64442.0,pass,,693,250,750,2,,,0,0,2,0,0.00023,0.00077,0.00077,0.00077,0.00023,False,0.06333,0.2987012987012987,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,194,post_open_orders_pre_submit_gate,trades,1784187149004,buy,64439.0,64439.0,64440.0,pass,,693,250,750,2,,,0,0,2,0,0,0.00023,0.00023,0.00023,0,False,0.0641,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,277,pre_open_orders_public_gate,trades,1784187177601,buy,64441.0,64441.0,64442.0,pass,,332,250,750,1,1784187177269,332,0,0,0,1,0.00143,0.00077,0.00077,0.00077,0.00143,True,0.11235,1.8571428571428572,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,277,post_open_orders_pre_submit_gate,trades,1784187177601,buy,64438.0,64438.0,64439.0,pass,,332,250,750,1,1784187177269,332,0,0,0,1,0,0.00111,0.00111,0.00111,0,True,0.11344,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,410,pre_open_orders_public_gate,trades,1784187206463,buy,64440.0,64440.0,64441.0,pass,,497,250,750,1,,,0,0,1,0,0.18925,0.00594,0.00594,0.00594,0.18925,False,0.0035,31.86026936026936,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,410,post_open_orders_pre_submit_gate,trades,1784187206463,buy,64436.0,64436.0,64437.0,pass,,497,250,750,1,,,0,0,1,0,0,0.18925,0.18925,0.18925,0,False,0.00944,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,429,pre_open_orders_public_gate,trades,1784187211227,buy,64436.0,64436.0,64437.0,pass,,733,250,750,2,,,0,0,2,0,4.32683,0.17334,0.17334,0.17334,4.32683,False,0.00019,24.961520710741894,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,429,post_open_orders_pre_submit_gate,trades,1784187211227,buy,64427.0,64427.0,64428.0,pass,,733,250,750,2,,,0,0,2,0,0,3.71907,3.71907,3.71907,0,False,0.78129,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,540,pre_open_orders_public_gate,trades,1784187243504,buy,64435.0,64435.0,64436.0,pass,,405,250,750,1,,,0,0,1,0,0.03036,0.18628,0.18628,0.18628,0.03036,False,0.00275,0.16298045952329826,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,540,post_open_orders_pre_submit_gate,trades,1784187243504,buy,64426.0,64426.0,64427.0,pass,,405,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.21939,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,808,pre_open_orders_public_gate,trades,1784187323092,buy,64462.0,64462.0,64463.0,pass,,264,250,750,1,,,0,0,1,0,0.0003,0.00579,0.00579,0.00579,0.0003,False,0.00754,0.05181347150259067,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,808,post_open_orders_pre_submit_gate,trades,1784187323092,buy,64457.0,64457.0,64458.0,pass,,264,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.01363,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,833,pre_open_orders_public_gate,trades,1784187329083,buy,64457.0,64457.0,64458.0,pass,,336,250,750,1,,,0,0,1,0,0.13446,0.10141,0.10141,0.10141,0.13446,False,0,1.3259047431219801,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
