attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,194,trades,1784187149004,1784187149257424584,1784187149.2574246,1784187149.2579901,0.000566,,,0.25399,194,193,
1,open_orders_elapsed,194,trades,1784187149004,1784187149257424584,1784187149.2579901,1784187149.5318637,0.273874,64441.0,64442.0,0.527864,194,193,
1,open_orders_end_to_public_state,194,trades,1784187149004,1784187149257424584,1784187149.5318637,1784187149.658953,0.127089,64439.0,64440.0,0.654953,195,195,True
1,open_orders_end_to_reprice,194,trades,1784187149004,1784187149257424584,1784187149.5318637,1784187149.6590393,0.127176,64439.0,64440.0,0.655039,195,195,True
1,trigger_to_open_orders_start,277,trades,1784187177601,1784187178007607536,1784187178.0076075,1784187178.0082378,0.00063,,,0.407238,278,276,
1,open_orders_elapsed,277,trades,1784187177601,1784187178007607536,1784187178.0082378,1784187178.0243309,0.016093,64441.0,64442.0,0.423331,278,276,
1,open_orders_end_to_public_state,277,trades,1784187177601,1784187178007607536,1784187178.0243309,1784187178.0396113,0.01528,64438.0,64439.0,0.438611,279,279,True
1,open_orders_end_to_reprice,277,trades,1784187177601,1784187178007607536,1784187178.0243309,1784187178.039658,0.015327,64438.0,64439.0,0.438658,279,279,True
1,trigger_to_open_orders_start,410,trades,1784187206463,1784187206656915558,1784187206.6569154,1784187206.657496,0.000581,,,0.194496,412,410,
1,open_orders_elapsed,410,trades,1784187206463,1784187206656915558,1784187206.657496,1784187206.672918,0.015422,64440.0,64441.0,0.209918,412,410,
1,open_orders_end_to_public_state,410,trades,1784187206463,1784187206656915558,1784187206.672918,1784187206.7490158,0.076098,64436.0,64437.0,0.286016,413,413,True
1,open_orders_end_to_reprice,410,trades,1784187206463,1784187206656915558,1784187206.672918,1784187206.74907,0.076152,64436.0,64437.0,0.28607,413,413,True
1,trigger_to_open_orders_start,429,trades,1784187211227,1784187211396651183,1784187211.3966513,1784187211.3972104,0.000559,,,0.17021,432,429,
1,open_orders_elapsed,429,trades,1784187211227,1784187211396651183,1784187211.3972104,1784187211.4122865,0.015076,64436.0,64437.0,0.185287,432,429,
1,open_orders_end_to_public_state,429,trades,1784187211227,1784187211396651183,1784187211.4122865,1784187211.7727385,0.360452,64427.0,64428.0,0.545738,434,434,True
1,open_orders_end_to_reprice,429,trades,1784187211227,1784187211396651183,1784187211.4122865,1784187211.7727895,0.360503,64427.0,64428.0,0.545789,434,434,True
1,trigger_to_open_orders_start,540,trades,1784187243504,1784187243704723109,1784187243.7047231,1784187243.7054965,0.000773,,,0.201497,545,542,
1,open_orders_elapsed,540,trades,1784187243504,1784187243704723109,1784187243.7054965,1784187243.7820132,0.076517,64435.0,64436.0,0.278013,545,542,
1,open_orders_end_to_public_state,540,trades,1784187243504,1784187243704723109,1784187243.7820132,1784187243.9771013,0.195088,64426.0,64427.0,0.473101,546,546,True
1,open_orders_end_to_reprice,540,trades,1784187243504,1784187243704723109,1784187243.7820132,1784187243.9771786,0.195165,64426.0,64427.0,0.473179,546,546,True
1,trigger_to_open_orders_start,808,trades,1784187323092,1784187323323143145,1784187323.3231432,1784187323.3238783,0.000735,,,0.231878,814,811,
1,open_orders_elapsed,808,trades,1784187323092,1784187323323143145,1784187323.3238783,1784187323.339228,0.01535,64462.0,64463.0,0.247228,814,811,
1,open_orders_end_to_public_state,808,trades,1784187323092,1784187323323143145,1784187323.339228,1784187323.589422,0.250194,64457.0,64458.0,0.497422,817,817,True
1,open_orders_end_to_reprice,808,trades,1784187323092,1784187323323143145,1784187323.339228,1784187323.5895019,0.250274,64457.0,64458.0,0.497502,817,817,True
1,trigger_to_open_orders_start,833,trades,1784187329083,1784187329260460998,1784187329.260461,1784187329.2612388,0.000778,,,0.178239,842,840,
1,open_orders_elapsed,833,trades,1784187329083,1784187329260460998,1784187329.2612388,1784187329.2762988,0.01506,64457.0,64458.0,0.193299,842,840,
1,open_orders_end_to_public_state,833,trades,1784187329083,1784187329260460998,1784187329.2762988,1784187329.5056806,0.229382,64446.0,64447.0,0.422681,843,843,True
1,open_orders_end_to_reprice,833,trades,1784187329083,1784187329260460998,1784187329.2762988,1784187329.5057943,0.229496,64446.0,64447.0,0.422794,843,843,True
1,trigger_to_open_orders_start,850,trades,1784187334261,1784187334465351063,1784187334.465351,1784187334.466054,0.000703,,,0.205054,860,859,
1,open_orders_elapsed,850,trades,1784187334261,1784187334465351063,1784187334.466054,1784187334.4813588,0.015305,64444.0,64445.0,0.220359,860,859,
1,open_orders_end_to_public_state,850,trades,1784187334261,1784187334465351063,1784187334.4813588,1784187334.914663,0.433304,64443.0,64444.0,0.653663,862,862,True
1,open_orders_end_to_reprice,850,trades,1784187334261,1784187334465351063,1784187334.4813588,1784187334.9147582,0.433399,64443.0,64444.0,0.653758,862,862,True
1,trigger_to_open_orders_start,878,trades,1784187344276,1784187344469803621,1784187344.4698036,1784187344.4705658,0.000762,,,0.194566,890,889,
1,open_orders_elapsed,878,trades,1784187344276,1784187344469803621,1784187344.4705658,1784187344.4852147,0.014649,64440.0,64441.0,0.209215,890,889,
1,open_orders_end_to_public_state,878,trades,1784187344276,1784187344469803621,1784187344.4852147,1784187344.7527404,0.267526,64434.0,64435.0,0.47674,891,891,True
1,open_orders_end_to_reprice,878,trades,1784187344276,1784187344469803621,1784187344.4852147,1784187344.7528567,0.267642,64434.0,64435.0,0.476857,891,891,True
1,trigger_to_open_orders_start,926,trades,1784187358989,1784187359316591182,1784187359.316591,1784187359.3173316,0.000741,,,0.328331,939,938,
1,open_orders_elapsed,926,trades,1784187358989,1784187359316591182,1784187359.3173316,1784187359.3560848,0.038753,64416.0,64417.0,0.367085,939,938,
1,open_orders_end_to_public_state,926,trades,1784187358989,1784187359316591182,1784187359.3560848,1784187359.6369038,0.280819,64407.0,64408.0,0.647904,941,941,True
1,open_orders_end_to_reprice,926,trades,1784187358989,1784187359316591182,1784187359.3560848,1784187359.6369889,0.280904,64407.0,64408.0,0.647989,941,941,True
1,trigger_to_open_orders_start,979,l2Book,1784187366328,1784187366579180688,1784187366.5791807,1784187366.5802839,0.001103,,,0.252284,994,994,
1,open_orders_elapsed,979,l2Book,1784187366328,1784187366579180688,1784187366.5802839,1784187366.6294537,0.04917,64314.0,64315.0,0.301454,994,994,
1,open_orders_end_to_public_state,979,l2Book,1784187366328,1784187366579180688,1784187366.6294537,1784187367.1086144,0.479161,64309.0,64310.0,0.780614,996,996,True
1,open_orders_end_to_reprice,979,l2Book,1784187366328,1784187366579180688,1784187366.6294537,1784187367.1086977,0.479244,64309.0,64310.0,0.780698,996,996,True
1,trigger_to_open_orders_start,1009,trades,1784187371044,1784187371418102823,1784187371.4181027,1784187371.418864,0.000761,,,0.374864,1026,1021,
1,open_orders_elapsed,1009,trades,1784187371044,1784187371418102823,1784187371.418864,1784187371.4849703,0.066106,64300.0,64304.0,0.44097,1026,1021,
1,open_orders_end_to_public_state,1009,trades,1784187371044,1784187371418102823,1784187371.4849703,1784187371.5133593,0.028389,64292.0,64293.0,0.469359,1027,1027,True
1,open_orders_end_to_reprice,1009,trades,1784187371044,1784187371418102823,1784187371.4849703,1784187371.513494,0.028524,64292.0,64293.0,0.469494,1027,1027,True
1,trigger_to_open_orders_start,1020,trades,1784187373555,1784187373761313651,1784187373.7613134,1784187373.7621179,0.000804,,,0.207118,1038,1036,
1,open_orders_elapsed,1020,trades,1784187373555,1784187373761313651,1784187373.7621179,1784187373.7772577,0.01514,64283.0,64284.0,0.222258,1038,1036,
1,open_orders_end_to_public_state,1020,trades,1784187373555,1784187373761313651,1784187373.7772577,1784187374.0555308,0.278273,64276.0,64277.0,0.500531,1041,1041,True
1,open_orders_end_to_reprice,1020,trades,1784187373555,1784187373761313651,1784187373.7772577,1784187374.0556467,0.278389,64276.0,64277.0,0.500647,1041,1041,True
1,trigger_to_open_orders_start,1143,trades,1784187400000,1784187400255871703,1784187400.2558718,1784187400.2566428,0.000771,,,0.256643,1164,1162,
1,open_orders_elapsed,1143,trades,1784187400000,1784187400255871703,1784187400.2566428,1784187400.2714815,0.014839,64282.0,64283.0,0.271482,1164,1162,
1,open_orders_end_to_public_state,1143,trades,1784187400000,1784187400255871703,1784187400.2714815,1784187400.490408,0.218926,64281.0,64282.0,0.490408,1165,1165,True
1,open_orders_end_to_reprice,1143,trades,1784187400000,1784187400255871703,1784187400.2714815,1784187400.4904802,0.218999,64281.0,64282.0,0.49048,1165,1165,True
1,trigger_to_open_orders_start,1185,trades,1784187410369,1784187410575590877,1784187410.5755908,1784187410.576312,0.000721,,,0.207312,1207,1204,
1,open_orders_elapsed,1185,trades,1784187410369,1784187410575590877,1784187410.576312,1784187410.5913222,0.01501,64300.0,64301.0,0.222322,1207,1204,
1,open_orders_end_to_public_state,1185,trades,1784187410369,1784187410575590877,1784187410.5913222,1784187410.8067596,0.215437,64304.0,64305.0,0.43776,1209,1209,True
1,open_orders_end_to_reprice,1185,trades,1784187410369,1784187410575590877,1784187410.5913222,1784187410.8068385,0.215516,64304.0,64305.0,0.437839,1209,1209,True
1,trigger_to_open_orders_start,1223,trades,1784187421446,1784187421633344441,1784187421.6333444,1784187421.6341128,0.000768,,,0.188113,1247,1244,
1,open_orders_elapsed,1223,trades,1784187421446,1784187421633344441,1784187421.6341128,1784187421.6492448,0.015132,64300.0,64301.0,0.203245,1247,1244,
1,open_orders_end_to_public_state,1223,trades,1784187421446,1784187421633344441,1784187421.6492448,1784187421.9279943,0.278749,64284.0,64285.0,0.481994,1248,1248,True
1,open_orders_end_to_reprice,1223,trades,1784187421446,1784187421633344441,1784187421.6492448,1784187421.9281168,0.278872,64284.0,64285.0,0.482117,1248,1248,True
1,trigger_to_open_orders_start,1239,trades,1784187425883,1784187426096550141,1784187426.0965502,1784187426.0972998,0.00075,,,0.2143,1264,1263,
1,open_orders_elapsed,1239,trades,1784187425883,1784187426096550141,1784187426.0972998,1784187426.1122684,0.014969,64284.0,64285.0,0.229269,1264,1263,
1,open_orders_end_to_public_state,1239,trades,1784187425883,1784187426096550141,1784187426.1122684,1784187426.5816352,0.469367,64274.0,64275.0,0.698635,1265,1265,True
1,open_orders_end_to_reprice,1239,trades,1784187425883,1784187426096550141,1784187426.1122684,1784187426.5817401,0.469472,64274.0,64275.0,0.69874,1265,1265,True
1,trigger_to_open_orders_start,1499,trades,1784187486047,1784187486323517513,1784187486.3235173,1784187486.3243086,0.000791,,,0.277309,1525,1523,
1,open_orders_elapsed,1499,trades,1784187486047,1784187486323517513,1784187486.3243086,1784187486.3416789,0.01737,64261.0,64263.0,0.294679,1525,1523,
1,open_orders_end_to_public_state,1499,trades,1784187486047,1784187486323517513,1784187486.3416789,1784187486.4575598,0.115881,64268.0,64269.0,0.41056,1527,1527,True
1,open_orders_end_to_reprice,1499,trades,1784187486047,1784187486323517513,1784187486.3416789,1784187486.4576354,0.115957,64268.0,64269.0,0.410635,1527,1527,True
1,trigger_to_open_orders_start,1540,l2Book,1784187498731,1784187498959454535,1784187498.9594545,1784187498.9601989,0.000744,,,0.229199,1568,1568,
1,open_orders_elapsed,1540,l2Book,1784187498731,1784187498959454535,1784187498.9601989,1784187498.9771054,0.016906,64261.0,64262.0,0.246105,1568,1568,
1,open_orders_end_to_public_state,1540,l2Book,1784187498731,1784187498959454535,1784187498.9771054,1784187499.4900563,0.512951,64261.0,64262.0,0.759056,1570,1570,True
1,open_orders_end_to_reprice,1540,l2Book,1784187498731,1784187498959454535,1784187498.9771054,1784187499.4901776,0.513072,64261.0,64262.0,0.759178,1570,1570,True
1,trigger_to_open_orders_start,1541,trades,1784187499399,1784187499595167771,1784187499.5951676,1784187499.5959127,0.000745,,,0.196913,1571,1570,
1,open_orders_elapsed,1541,trades,1784187499399,1784187499595167771,1784187499.5959127,1784187499.6104171,0.014504,64261.0,64262.0,0.211417,1571,1570,
