event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,trigger_found,guard_status,guard_reason,event_to_guard_start_seconds,target_event_to_guard_seconds,live_window_called,private_or_order_endpoint_called_before_trigger
1,l2Book,1784187093177,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
2,trades,1784187092034,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
3,l2Book,1784187093717,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
4,trades,1784187094053,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
5,l2Book,1784187094255,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
6,l2Book,1784187094792,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
7,l2Book,1784187095304,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
8,trades,1784187095528,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
9,l2Book,1784187095840,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
10,l2Book,1784187096346,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
11,l2Book,1784187096880,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
12,l2Book,1784187097399,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
13,trades,1784187097399,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
14,trades,1784187097457,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
15,trades,1784187097555,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
16,trades,1784187097804,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
17,trades,1784187097864,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
18,l2Book,1784187097921,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
19,trades,1784187098007,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
