attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,pass,,post_open_orders_inline_reprice,1784187149004,0.655,1.0,1784187149004,0.655,buy,64441,0.005,quality_a,pass,,True,,1784187149004,0.655,buy,64439.0,64439.0,64440.0,0.005,0.005,quality_a,0.08794,1,17.588,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187177601,0.438,1.0,1784187177601,0.438,buy,64441,0.00055,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784187177601,0.438,,,64438.0,64439.0,,0.005,,3.81223,26,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187206463,0.286,1.0,1784187206463,0.286,buy,64440,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784187206463,0.286,,,64436.0,64437.0,,0.005,,5.35871,29,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187211227,0.545,1.0,1784187211227,0.545,buy,64436,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784187211227,0.545,,,64427.0,64428.0,,0.005,,0.64956,6,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187243504,0.473,1.0,1784187243504,0.473,buy,64435,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784187243504,0.473,,,64426.0,64427.0,,0.005,,1.15828,3,,Alo,False,False,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187323092,0.497,1.0,1784187323092,0.497,buy,64462,0.00171,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784187323092,0.497,,,64457.0,64458.0,,0.005,,0.59761,1,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784187329083,0.422,1.0,1784187329083,0.422,buy,64457,0.002,quality_b,pass,,True,,1784187329083,0.422,buy,64446.0,64446.0,64447.0,0.005,0.005,quality_a,0.0063,2,1.26,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187334261,0.653,1.0,1784187334261,0.653,buy,64444,0.005,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784187334261,0.653,,,64443.0,64444.0,,0.005,,0.65437,1,,Alo,False,False,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784187344276,0.476,1.0,1784187344276,0.476,buy,64440,0.002,quality_b,pass,,True,,1784187344276,0.476,buy,64434.0,64434.0,64435.0,0.005,0.005,quality_a,0.0082,2,1.64,Alo,True,True,inline_reprice_current_candidate_guard
1,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784187358989,0.647,1.0,1784187358989,0.647,buy,64416,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784187358989,0.647,,,64407.0,64408.0,,0.005,,0.22047,1,,Alo,False,False,inline_reprice_current_candidate_guard
