event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1784187093177,64479,64480,0,0,0,0,0,3.0
2,trades,1784187092034,64479,64480,4,0.00018,0,0.00018,0.02967,3.0
3,l2Book,1784187093717,64479,64480,2,0.00018,0,0.00018,0.02931,3.0
4,trades,1784187094053,64479,64480,2,0,0,0,0.02967,3.0
5,l2Book,1784187094255,64479,64480,2,0,0,0,0.02967,3.0
6,l2Book,1784187094792,64479,64480,2,0,0,0,0.02967,3.0
7,l2Book,1784187095304,64479,64480,1,0,0,0,0.00036,3.0
8,trades,1784187095528,64479,64480,3,0,0,0,0.0634,3.0
9,l2Book,1784187095840,64479,64480,3,0,0,0,0.0634,3.0
10,l2Book,1784187096346,64479,64480,3,0,0,0,0.0634,3.0
11,l2Book,1784187096880,64479,64480,3,0,0,0,0.0634,3.0
12,l2Book,1784187097399,64479,64480,2,0,0,0,0.06304,3.0
13,trades,1784187097399,64479,64480,4,0.16332,0,0.16332,0.06304,3.0
14,trades,1784187097457,64479,64480,6,1.42998,0,1.42998,0.06304,3.0
15,trades,1784187097555,64479,64480,7,1.69664,0,1.69664,0.06304,3.0
16,trades,1784187097804,64479,64480,8,1.9633,0,1.9633,0.06304,3.0
17,trades,1784187097864,64479,64480,9,2.9633,0,2.9633,0.06304,3.0
18,l2Book,1784187097921,64479,64480,9,2.9633,0,2.9633,0.06304,3.0
19,trades,1784187098007,64479,64480,10,3.02875,0,3.02875,0.06304,3.0
20,trades,1784187098067,64479,64480,11,3.11689,0,3.11689,0.06304,3.0
21,l2Book,1784187098470,64479,64480,11,3.11689,0,3.11689,0.06304,3.0
22,l2Book,1784187099019,64479,64480,9,3.11689,0,3.11689,0,3.0
23,l2Book,1784187099557,64479,64480,9,3.11689,0,3.11689,0,3.0
24,trades,1784187100027,64479,64480,10,3.11793,0,3.11793,0,3.0
25,l2Book,1784187100091,64479,64480,10,3.11793,0,3.11793,0,3.0
26,l2Book,1784187100616,64479,64480,5,1.42129,0,1.42129,0,3.0
27,trades,1784187100840,64479,64480,6,1.57246,0,1.57246,0,3.0
28,trades,1784187100963,64479,64480,29,4.90089,0,4.90089,0,3.0
29,trades,1784187101044,64479,64480,67,6.995,0.28665,7.28165,0,3.0
30,l2Book,1784187101172,64467,64470,66,0,0,0,7.19351,3.0
31,trades,1784187101172,64467,64470,70,0,0,0,7.29399,3.0
32,trades,1784187101244,64467,64470,71,0.0056,0,0.0056,7.29399,3.0
33,l2Book,1784187101700,64466,64467,71,0,0,0,7.29959,3.0
34,trades,1784187101755,64466,64467,73,0.37873,0,0.37873,7.29959,3.0
35,trades,1784187101812,64466,64467,80,0.53368,0.11025,0.64393,7.29959,3.0
36,trades,1784187101957,64466,64467,84,0.53368,0.12622,0.6599,7.29959,3.0
37,l2Book,1784187102218,64459,64460,84,0.01346,0,0.01346,7.94603,3.0
38,trades,1784187102565,64459,64460,85,0.02121,0,0.02121,7.94603,3.0
39,trades,1784187102623,64459,64460,86,0.04021,0,0.04021,7.94603,3.0
40,trades,1784187102707,64459,64460,87,0.1031,0,0.1031,7.94603,3.0
41,l2Book,1784187102766,64454,64458,87,0,0,0,8.04913,3.0
42,trades,1784187102766,64454,64458,97,0,0,0,8.07452,3.0
43,trades,1784187103229,64454,64458,104,0.00495,0.08352,0.08847,8.24248,3.0
44,l2Book,1784187103309,64451,64452,104,0.08162,0,0.08162,8.24933,3.0
45,trades,1784187103432,64451,64452,105,0.26077,0,0.26077,8.24933,3.0
46,l2Book,1784187103832,64451,64452,105,0.26077,0,0.26077,8.24933,3.0
47,trades,1784187103920,64451,64452,104,0.26077,0,0.26077,7.83461,3.0
48,l2Book,1784187104383,64451,64452,36,0.26077,0,0.26077,0.95389,3.0
49,trades,1784187104534,64451,64452,37,0.27179,0,0.27179,0.95389,3.0
50,l2Book,1784187104925,64451,64452,28,0.27179,0,0.27179,0.30996,3.0
51,l2Book,1784187105455,64451,64452,24,0.27179,0,0.27179,0.29399,3.0
52,l2Book,1784187106002,64451,64452,11,0.27179,0,0.27179,0.17896,3.0
53,trades,1784187106225,64451,64452,47,0.63347,2.62462,3.25809,0.2426,3.0
54,trades,1784187106406,64451,64452,40,0.55185,2.62562,3.17747,0.06675,3.0
55,l2Book,1784187106568,64441,64442,39,0.14514,0,0.14514,2.91993,3.0
56,l2Book,1784187107075,64441,64442,38,0.14514,0,0.14514,2.91682,3.0
57,trades,1784187107075,64441,64442,39,0.14514,0,0.14514,2.91698,3.0
58,l2Book,1784187107576,64441,64442,38,0.14514,0,0.14514,2.90596,3.0
59,trades,1784187107576,64441,64442,41,0.14514,0,0.14514,3.4588,3.0
60,l2Book,1784187108177,64441,64442,41,0.14514,0,0.14514,3.4588,3.0
61,trades,1784187108177,64441,64442,42,0.14514,0,0.14514,3.45916,3.0
62,l2Book,1784187108605,64441,64442,42,0.14514,0,0.14514,3.45916,3.0
63,trades,1784187109009,64441,64442,79,4.28253,0,4.28253,3.50954,3.0
64,l2Book,1784187109156,64441,64442,79,4.28253,0,4.28253,3.50954,3.0
65,trades,1784187109241,64441,64442,45,4.13839,0,4.13839,0.60415,3.0
66,trades,1784187109292,64441,64442,46,4.13839,0,4.13839,0.60507,3.0
67,l2Book,1784187109704,64441,64442,45,4.13739,0,4.13739,0.60507,3.0
68,l2Book,1784187110209,64441,64442,44,4.13739,0,4.13739,0.60491,3.0
69,trades,1784187110499,64441,64442,46,4.26615,0,4.26615,0.60491,3.0
70,trades,1784187110555,64441,64442,48,4.28251,0,4.28251,0.60609,3.0
71,l2Book,1784187110757,64441,64442,45,4.28251,0,4.28251,0.05325,3.0
72,trades,1784187110901,64441,64442,46,4.28251,0,4.28251,0.06005,3.0
73,l2Book,1784187111304,64441,64442,45,4.28251,0,4.28251,0.05969,3.0
74,l2Book,1784187111825,64441,64442,45,4.28251,0,4.28251,0.05969,3.0
75,l2Book,1784187112376,64441,64442,5,0.14512,0,0.14512,0.00798,3.0
76,trades,1784187112780,64441,64442,6,0.14512,0,0.14512,0.00847,3.0
77,trades,1784187112832,64441,64442,21,0.14512,0,0.14512,3.00847,3.0
78,l2Book,1784187112912,64441,64442,21,0.14512,0,0.14512,3.00847,3.0
79,l2Book,1784187113442,64441,64442,21,0.14512,0,0.14512,3.00847,3.0
80,trades,1784187113442,64441,64442,31,0.14512,0,0.14512,5.00847,3.0
81,trades,1784187113646,64441,64442,28,0.0005,0,0.0005,5.00729,3.0
82,l2Book,1784187113996,64441,64442,27,0.0005,0,0.0005,5.00049,3.0
83,trades,1784187114199,64441,64442,28,0.02569,0,0.02569,5.00049,3.0
84,l2Book,1784187114520,64441,64442,28,0.02569,0,0.02569,5.00049,3.0
85,trades,1784187114602,64441,64442,29,0.02987,0,0.02987,5.00049,3.0
86,trades,1784187115007,64441,64442,30,0.03006,0,0.03006,5.00049,3.0
87,l2Book,1784187115060,64441,64442,30,0.03006,0,0.03006,5.00049,3.0
88,trades,1784187115124,64441,64442,31,0.03006,0,0.03006,5.00068,3.0
89,l2Book,1784187115615,64441,64442,31,0.03006,0,0.03006,5.00068,3.0
90,trades,1784187115927,64441,64442,19,0.10186,0,0.10186,2.00019,3.0
91,l2Book,1784187116129,64441,64442,19,0.10186,0,0.10186,2.00019,3.0
92,l2Book,1784187116680,64441,64442,8,0.10136,0,0.10136,0.00019,3.0
93,l2Book,1784187117232,64441,64442,7,0.07617,0,0.07617,0.00019,3.0
94,trades,1784187117232,64441,64442,8,0.07617,0,0.07617,0.00056,3.0
95,trades,1784187117691,64441,64442,10,0.11234,0,0.11234,0.00056,3.0
96,l2Book,1784187117774,64441,64442,10,0.11234,0,0.11234,0.00056,3.0
97,trades,1784187117774,64441,64442,11,0.11234,0,0.11234,0.00831,3.0
98,l2Book,1784187118375,64441,64442,9,0.11215,0,0.11215,0.00812,3.0
99,l2Book,1784187118905,64441,64442,9,0.11215,0,0.11215,0.00812,3.0
100,l2Book,1784187119449,64441,64442,5,0.04035,0,0.04035,0.00812,3.0
101,l2Book,1784187119988,64441,64442,5,0.04035,0,0.04035,0.00812,3.0
102,l2Book,1784187120525,64441,64442,4,0.04035,0,0.04035,0.00775,3.0
103,l2Book,1784187121069,64441,64442,0,0,0,0,0,3.0
104,l2Book,1784187121618,64441,64442,0,0,0,0,0,3.0
105,trades,1784187122018,64441,64442,1,0,0,0,0.01923,3.0
106,l2Book,1784187122221,64441,64442,1,0,0,0,0.01923,3.0
107,l2Book,1784187122753,64441,64442,1,0,0,0,0.01923,3.0
108,trades,1784187123027,64441,64442,3,0.02,0,0.02,0.01923,3.0
109,trades,1784187123229,64441,64442,9,0.02,0,0.02,3.25726,3.0
110,l2Book,1784187123293,64442,64445,9,0,0.02,0.02,3.25726,3.0
111,trades,1784187123293,64442,64445,10,0,0.02,0.02,3.25742,3.0
112,l2Book,1784187123830,64447,64448,10,0,0.02,0.02,3.25742,3.0
113,trades,1784187124029,64447,64448,12,0.01,0.02,0.03,3.25777,3.0
114,trades,1784187124298,64447,64448,13,0.01,0.02,0.03,3.25803,3.0
115,l2Book,1784187124372,64447,64448,13,0.01,0.02,0.03,3.25803,3.0
116,l2Book,1784187124899,64447,64448,13,0.01,0.02,0.03,3.25803,3.0
117,l2Book,1784187125450,64447,64448,12,0.01,0.02,0.03,3.2388,3.0
118,l2Book,1784187125986,64447,64448,12,0.01,0.02,0.03,3.2388,3.0
119,trades,1784187126320,64447,64448,5,0.01545,0,0.01545,0.00578,3.0
120,l2Book,1784187126496,64447,64448,5,0.01545,0,0.01545,0.00578,3.0
121,l2Book,1784187127044,64447,64448,3,0.00545,0,0.00545,0.00543,3.0
122,trades,1784187127191,64447,64448,4,0.0555,0,0.0555,0.00543,3.0
123,l2Book,1784187127593,64447,64448,3,0.0555,0,0.0555,0.00517,3.0
124,trades,1784187127710,64447,64448,4,0.0555,0,0.0555,0.00538,3.0
125,trades,1784187127794,64447,64448,5,0.0586,0,0.0586,0.00538,3.0
126,trades,1784187128056,64447,64448,6,0.1272,0,0.1272,0.00538,3.0
127,l2Book,1784187128116,64447,64448,6,0.1272,0,0.1272,0.00538,3.0
128,l2Book,1784187128666,64447,64448,6,0.1272,0,0.1272,0.00538,3.0
129,trades,1784187128666,64447,64448,8,0.1272,0,0.1272,0.65991,3.0
130,l2Book,1784187129203,64447,64448,8,0.1272,0,0.1272,0.65991,3.0
131,trades,1784187129405,64447,64448,7,0.12175,0,0.12175,0.65574,3.0
132,l2Book,1784187129734,64447,64448,7,0.12175,0,0.12175,0.65574,3.0
133,trades,1784187130007,64447,64448,8,0.12279,0,0.12279,0.65574,3.0
134,l2Book,1784187130286,64447,64448,7,0.07274,0,0.07274,0.65574,3.0
135,l2Book,1784187130811,64447,64448,5,0.06964,0,0.06964,0.65553,3.0
136,trades,1784187131011,64447,64448,6,0.07034,0,0.07034,0.65553,3.0
137,l2Book,1784187131414,64447,64448,5,0.00174,0,0.00174,0.65553,3.0
138,l2Book,1784187131960,64443,64447,3,0,0,0,0.00274,3.0
139,l2Book,1784187132514,64442,64443,2,0,0,0,0.00174,3.0
140,l2Book,1784187133043,64442,64443,1,0,0,0,0.0007,3.0
141,l2Book,1784187133656,64442,64443,1,0,0,0,0.0007,3.0
142,trades,1784187134057,64442,64443,1,0.00597,0,0.00597,0,3.0
