event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,candidate_age_seconds_at_eval,side,quote_px,bid,ask,spread_ticks,order_size_btc,same_side_top_qty_btc,same_side_top_order_count,top_depth_multiple_of_order,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,required_depletion_qty_btc,queue_depletion_multiple,public_depletion_status,quality_bucket,dynamic_size_btc,allowed,skip_reason,bbo_history_count,bbo_history_span_ms,last_l2_age_ms,same_touch_bbo_count,bbo_history_status,freshness_source,touch_stability_ms,last_touch_change_ms,previous_top_qty,current_top_qty,reset_qty_delta,previous_order_count,current_order_count,reset_order_count_delta,top_reset_status,top_reset_reason,fresh_touch_evidence_status,fresh_touch_evidence_reason,fresh_touch_block_reason,queue_reset_block_reason,local_receive_ordering_status,exchange_time_ordering_status,inference_scope
1,l2Book,1784187093177,1784187093387538576,0.210689,buy,64479,64479,64480,1,0.005,20.30093,57,4060.186,0,0,0,0,20.30593,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,1,0,0,1,bbo_history_too_sparse,synthetic_current_event_only,,,,20.30093,,,57,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
2,trades,1784187092034,1784187093429483402,1.395701,buy,64479,64479,64480,1,0.005,20.30093,57,4060.186,4,0.00018,0,0.00018,20.30593,0.000008864405619442202351726810838,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,1,0,-1143,1,bbo_history_too_sparse,synthetic_current_event_only,,,,20.30093,,,57,,missing,bbo_history_too_sparse,block,bbo_history_too_sparse,bbo_history_too_sparse,bbo_history_too_sparse,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_after_candidate_visible_by_local_receive,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
3,l2Book,1784187093717,1784187093930883192,0.214045,buy,64479,64479,64480,1,0.005,20.54895,63,4109.79,2,0.00018,0,0.00018,20.55395,0.000008757440783888255055597585865,touched_quote_without_depletion,,4e-05,False,missing_same_side_strict_through_support,2,540,0,2,same_touch_stable_enough,real_bbo_history_touch_stability,540,1784187093177,20.30093,20.54895,0.24802,57,63,6,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
4,trades,1784187094053,1784187094274792186,0.221935,buy,64479,64479,64480,1,0.005,20.54895,63,4109.79,2,0,0,0,20.55395,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,2,540,336,2,same_touch_stable_enough,real_bbo_history_touch_stability,876,1784187093177,20.30093,20.54895,0.24802,57,63,6,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
5,l2Book,1784187094255,1784187094478874867,0.22402,buy,64479,64479,64480,1,0.005,19.81276,56,3962.552,2,0,0,0,19.81776,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,3,1078,0,3,same_touch_stable_enough,real_bbo_history_touch_stability,1078,1784187093177,20.54895,19.81276,-0.73619,63,56,-7,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
6,l2Book,1784187094792,1784187095021847266,0.23001,buy,64479,64479,64480,1,0.005,20.34371,63,4068.742,2,0,0,0,20.34871,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,4,1615,0,4,same_touch_stable_enough,real_bbo_history_touch_stability,1615,1784187093177,20.54895,20.34371,-0.20524,63,63,0,not_reset,history_present_no_reset,pass,,,history_present_no_reset,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
7,l2Book,1784187095304,1784187095529444035,0.225592,buy,64479,64479,64480,1,0.005,19.81986,59,3963.972,1,0,0,0,19.82486,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,5,2127,0,5,same_touch_stable_enough,real_bbo_history_touch_stability,2127,1784187093177,20.54895,19.81986,-0.72909,63,59,-4,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
8,trades,1784187095528,1784187095706527942,0.17867,buy,64479,64479,64480,1,0.005,19.81986,59,3963.972,3,0,0,0,19.82486,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,5,2127,224,5,same_touch_stable_enough,real_bbo_history_touch_stability,2351,1784187093177,20.54895,19.81986,-0.72909,63,59,-4,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_before_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
9,l2Book,1784187095840,1784187096047719913,0.20787,buy,64479,64479,64480,1,0.005,19.81986,59,3963.972,3,0,0,0,19.82486,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,6,2663,0,6,same_touch_stable_enough,real_bbo_history_touch_stability,2663,1784187093177,20.54895,19.81986,-0.72909,63,59,-4,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
10,l2Book,1784187096346,1784187096570218374,0.224376,buy,64479,64479,64480,1,0.005,19.46555,55,3893.11,3,0,0,0,19.47055,0,not_depleted,,0.0,False,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,7,3169,0,7,same_touch_stable_enough,real_bbo_history_touch_stability,3169,1784187093177,20.54895,19.46555,-1.0834,63,55,-8,reset_supported,same_touch_top_qty_or_order_count_reduced,pass,,,,latest_l2_received_before_or_at_candidate,latest_l2_exchange_time_equal_candidate,event_driven_current_l2_plus_rolling_public_trades_proxy_not_exact_queue_or_fill_probability
