attempt,event_sequence,retry_after_post_only_reject,source_channel,source_event_exchange_time_ms,open_orders_before_count,post_open_orders_public_state_seq,post_open_orders_l2_state_seq,post_open_orders_state_observed_after_end,guard_status,guard_reason,fair_mid_px,quote_px,edge_ticks,signal_age_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,edge_gate_status,edge_gate_reason,submit_intent_bid,submit_intent_ask,side,limit_px,size_btc,notional_usdc,post_only_tif,order_endpoint_called,order_status_types,post_only_reject,fill_count_after_attempt,maker_fill_count_after_attempt,tracked_ref_count,cancel_endpoint_called,final_open_orders_count_after_attempt,shutdown_proof_status,quote_aging_guard_status,quote_aging_guard_reason,skip_reason
1,194,False,trades,1784187149004,0,195,195,True,edge_gate_block,edge_below_required_buffer,64439.5,64439.0,0.5,21,2.0,5.0,block,edge_below_required_buffer,64439.0,64440.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,edge_below_required_buffer
1,277,False,trades,1784187177601,0,279,279,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64438.0,64439.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,410,False,trades,1784187206463,0,413,413,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64436.0,64437.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,429,False,trades,1784187211227,0,434,434,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64427.0,64428.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,540,False,trades,1784187243504,0,546,546,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64426.0,64427.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,808,False,trades,1784187323092,0,817,817,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64457.0,64458.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,833,False,trades,1784187329083,0,843,843,True,edge_gate_block,fair_mid_source_stale,,64446.0,,,2.0,5.0,block,fair_mid_source_stale,64446.0,64447.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,850,False,trades,1784187334261,0,862,862,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64443.0,64444.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
1,878,False,trades,1784187344276,0,891,891,True,edge_gate_block,fair_mid_source_stale,,64434.0,,,2.0,5.0,block,fair_mid_source_stale,64434.0,64435.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,fair_mid_source_stale
1,926,False,trades,1784187358989,0,941,941,True,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,,,,,,,,,64407.0,64408.0,,,,,Alo,False,skipped,False,0,0,0,False,,no_order_submitted,not_submitted,,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket
