attempt,event_sequence,phase,source_event_exchange_time_ms,side,limit_px,flow_lookback_ms,trade_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,fill_support_touch_count,adverse_strict_through_count,neutral_or_opposite_flow_count,adverse_flow_ratio,min_pressure_qty_btc,pressure_ratio_threshold,status,reason
1,28,pre_open_orders_public_gate,1784188306406,buy,64146.0,1000,12,0.09321,0.60877,0.60877,0.60877,0.09321,False,0.00382,7,4,1,0.15311201274701447,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
1,28,post_open_orders_pre_submit_gate,1784188306406,buy,64142.0,1000,12,0,0,0,0,0,False,0.7058,0,0,12,,0.01,2.0,pass,
1,85,pre_open_orders_public_gate,1784188323282,buy,64176.0,1000,2,0.0022,0,0,0,0.0022,True,0.00016,0,1,1,inf,0.01,2.0,pass,
1,85,post_open_orders_pre_submit_gate,1784188323282,buy,64169.0,1000,2,0,0,0,0,0,True,0.00236,0,0,2,,0.01,2.0,pass,
2,91,pre_open_orders_public_gate,1784188324282,buy,64167.0,1000,24,0.75648,0.28468,0.28468,0.28468,0.75648,True,0.01171,7,13,4,2.6572994239145706,0.01,2.0,block,adverse_trade_pressure_with_recent_adverse_bbo
2,116,pre_open_orders_public_gate,1784188331244,buy,64160.0,1000,9,0.00296,0.04891,0.04891,0.04891,0.00296,True,0,4,5,0,0.06051932120220814,0.01,2.0,pass,
2,116,post_open_orders_pre_submit_gate,1784188331244,buy,64148.0,1000,9,0,0,0,0,0,True,0.05187,0,0,9,,0.01,2.0,pass,
2,334,pre_open_orders_public_gate,1784188396960,buy,64092.0,1000,35,0.97539,0.91138,0.91138,0.91138,0.97539,True,0.12581,14,7,14,1.0702341504092694,0.01,2.0,watch,adverse_trade_pressure_without_recent_adverse_bbo
2,334,post_open_orders_pre_submit_gate,1784188396960,buy,64090.0,1000,35,0,0,0,0,0,True,2.01258,0,0,35,,0.01,2.0,pass,
2,336,pre_open_orders_public_gate,1784188397487,buy,64090.0,1000,23,0.0078,0.01946,0.01946,0.01946,0.0078,True,1.84356,5,1,17,0.40082219938335045,0.01,2.0,pass,
2,336,post_open_orders_pre_submit_gate,1784188397487,buy,64085.0,1000,23,0,0,0,0,0,True,1.87082,0,0,23,,0.01,2.0,pass,
