attempt,event_sequence,phase,source_channel,source_event_exchange_time_ms,side,limit_px,current_bid,current_ask,status,reason,touch_stability_ms,min_stable_ms,bbo_lookback_ms,recent_bbo_count,last_adverse_bbo_ms,elapsed_since_adverse_bbo_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,adverse_trade_qty_btc,favorable_trade_qty_btc,fill_support_touch_qty_btc,fill_support_visible_queue_depletion_qty_btc,adverse_strict_through_qty_btc,adverse_bbo_move,neutral_or_opposite_flow_qty_btc,adverse_flow_ratio,adverse_flow_status,current_cross_risk,inference_scope
1,28,pre_open_orders_public_gate,trades,1784188306406,buy,64146.0,64146.0,64147.0,pass,,407,250,750,1,,,0,0,1,0,0.09321,0.60877,0.60877,0.60877,0.09321,False,0.00382,0.15311201274701447,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
1,28,post_open_orders_pre_submit_gate,trades,1784188306406,buy,64142.0,64142.0,64143.0,pass,,407,250,750,1,,,0,0,1,0,0,0,0,0,0,False,0.7058,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,85,pre_open_orders_public_gate,trades,1784188323282,buy,64176.0,64176.0,64177.0,pass,,485,250,750,1,1784188322797,485,1,0,0,0,0.0022,0,0,0,0.0022,True,0.00016,inf,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
1,85,post_open_orders_pre_submit_gate,trades,1784188323282,buy,64169.0,64169.0,64170.0,pass,,485,250,750,1,1784188322797,485,1,0,0,0,0,0,0,0,0,True,0.00236,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
2,91,pre_open_orders_public_gate,trades,1784188324282,buy,64167.0,64167.0,64168.0,block,adverse_trade_pressure_with_recent_adverse_bbo,406,250,750,1,1784188323876,406,1,0,0,0,0.75648,0.28468,0.28468,0.28468,0.75648,True,0.01171,2.6572994239145706,block,False,public_microstructure_gate_not_exchange_validation_guarantee
2,116,pre_open_orders_public_gate,trades,1784188331244,buy,64160.0,64160.0,64161.0,pass,,295,250,750,1,1784188330949,295,1,0,0,0,0.00296,0.04891,0.04891,0.04891,0.00296,True,0,0.06051932120220814,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
2,116,post_open_orders_pre_submit_gate,trades,1784188331244,buy,64148.0,64148.0,64149.0,pass,,295,250,750,1,1784188330949,295,1,0,0,0,0,0,0,0,0,True,0.05187,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
2,334,pre_open_orders_public_gate,trades,1784188396960,buy,64092.0,64092.0,64093.0,pass,,341,250,750,1,1784188396619,341,1,0,0,0,0.97539,0.91138,0.91138,0.91138,0.97539,True,0.12581,1.0702341504092694,watch,False,public_microstructure_gate_not_exchange_validation_guarantee
2,334,post_open_orders_pre_submit_gate,trades,1784188396960,buy,64090.0,64090.0,64091.0,pass,,341,250,750,1,1784188396619,341,1,0,0,0,0,0,0,0,0,True,2.01258,,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
2,336,pre_open_orders_public_gate,trades,1784188397487,buy,64090.0,64090.0,64091.0,pass,,363,250,750,1,1784188397124,363,1,0,0,0,0.0078,0.01946,0.01946,0.01946,0.0078,True,1.84356,0.40082219938335045,pass,False,public_microstructure_gate_not_exchange_validation_guarantee
