attempt,event_sequence,phase,fresh_touch_allowed,anti_drift_status,anti_drift_reason,immediate_guard_status,immediate_guard_reason,order_endpoint_called,skip_reason,retry_after_post_only_reject,remaining_submission_budget
1,28,post_open_orders_pre_submit_gate,True,pass,,pass,,False,edge_below_required_buffer,False,2
1,85,post_open_orders_pre_submit_gate,True,pass,,pass,,False,,False,2
2,91,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,116,post_open_orders_pre_submit_gate,True,pass,,pass,,False,edge_below_required_buffer,True,1
2,334,post_open_orders_pre_submit_gate,True,pass,,pass,,False,edge_below_required_buffer,True,1
2,336,post_open_orders_pre_submit_gate,True,pass,,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,False,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,True,1
2,347,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,348,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,479,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,602,post_open_orders_pre_submit_gate,True,pass,,pass,,False,fair_mid_source_stale,True,1
2,603,post_open_orders_pre_submit_gate,True,pass,,pass,,False,fair_mid_source_stale,True,1
2,651,post_open_orders_pre_submit_gate,True,pass,,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,False,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,True,1
2,1168,post_open_orders_pre_submit_gate,True,pass,,pass,,False,fair_mid_source_stale,True,1
2,1306,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,1767,pre_open_orders_public_gate,True,block,adverse_trade_pressure_with_recent_adverse_bbo,not_evaluated,,False,adverse_trade_pressure_with_recent_adverse_bbo,True,1
2,1844,post_open_orders_pre_submit_gate,True,pass,,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,False,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,True,1
2,1865,post_open_orders_pre_submit_gate,True,pass,,pass,,False,,True,1
