attempt,phase,event_sequence,source_channel,source_event_exchange_time_ms,source_local_receive_ts_ns,start_unix_seconds,end_unix_seconds,elapsed_seconds,current_bid,current_ask,candidate_age_seconds_at_phase_end,public_state_seq,l2_state_seq,state_observed_after_open_orders_end
1,trigger_to_open_orders_start,28,trades,1784188306406,1784188306941728800,1784188306.9417288,1784188306.942187,0.000458,,,0.536187,28,27,
1,open_orders_elapsed,28,trades,1784188306406,1784188306941728800,1784188306.942187,1784188307.2087111,0.266524,64146.0,64147.0,0.802711,28,27,
1,open_orders_end_to_public_state,28,trades,1784188306406,1784188306941728800,1784188307.2087111,1784188307.208952,0.000241,64142.0,64143.0,0.802952,29,29,True
1,open_orders_end_to_reprice,28,trades,1784188306406,1784188306941728800,1784188307.2087111,1784188307.209076,0.000365,64142.0,64143.0,0.803076,29,29,True
1,trigger_to_open_orders_start,85,trades,1784188323282,1784188323588006394,1784188323.5880065,1784188323.5885334,0.000527,,,0.306533,86,85,
1,open_orders_elapsed,85,trades,1784188323282,1784188323588006394,1784188323.5885334,1784188323.6123338,0.0238,64176.0,64177.0,0.330334,86,85,
1,open_orders_end_to_public_state,85,trades,1784188323282,1784188323588006394,1784188323.6123338,1784188323.6125734,0.00024,64169.0,64170.0,0.330573,87,87,True
1,open_orders_end_to_reprice,85,trades,1784188323282,1784188323588006394,1784188323.6123338,1784188323.612672,0.000338,64169.0,64170.0,0.330672,87,87,True
1,reprice_to_order_submit,85,trades,1784188323282,1784188323588006394,1784188323.612672,1784188323.6237245,0.011052,64169.0,64170.0,0.341724,87,87,True
1,exchange_order_response,85,trades,1784188323282,1784188323588006394,1784188323.6237245,1784188324.0719845,0.44826,64169.0,64170.0,0.789984,87,87,True
2,trigger_to_open_orders_start,116,trades,1784188331244,1784188331443152771,1784188331.443153,1784188331.4437575,0.000605,,,0.199758,118,115,
2,open_orders_elapsed,116,trades,1784188331244,1784188331443152771,1784188331.4437575,1784188331.4594963,0.015739,64160.0,64161.0,0.215496,118,115,
2,open_orders_end_to_public_state,116,trades,1784188331244,1784188331443152771,1784188331.4594963,1784188331.9785237,0.519027,64148.0,64149.0,0.734524,120,120,True
2,open_orders_end_to_reprice,116,trades,1784188331244,1784188331443152771,1784188331.4594963,1784188331.9786534,0.519157,64148.0,64149.0,0.734653,120,120,True
2,trigger_to_open_orders_start,334,trades,1784188396960,1784188397586685106,1784188397.5866852,1784188397.587665,0.00098,,,0.627665,338,335,
2,open_orders_elapsed,334,trades,1784188396960,1784188397586685106,1784188397.587665,1784188397.6313553,0.04369,64092.0,64093.0,0.671355,338,335,
2,open_orders_end_to_public_state,334,trades,1784188396960,1784188397586685106,1784188397.6313553,1784188397.631591,0.000236,64090.0,64091.0,0.671591,339,339,True
2,open_orders_end_to_reprice,334,trades,1784188396960,1784188397586685106,1784188397.6313553,1784188397.6316884,0.000333,64090.0,64091.0,0.671688,339,339,True
2,trigger_to_open_orders_start,336,trades,1784188397487,1784188397744283393,1784188397.7442834,1784188397.7448745,0.000591,,,0.257874,341,339,
2,open_orders_elapsed,336,trades,1784188397487,1784188397744283393,1784188397.7448745,1784188397.7596493,0.014775,64090.0,64091.0,0.272649,341,339,
2,open_orders_end_to_public_state,336,trades,1784188397487,1784188397744283393,1784188397.7596493,1784188398.0640728,0.304424,64085.0,64086.0,0.577073,343,343,True
2,open_orders_end_to_reprice,336,trades,1784188397487,1784188397744283393,1784188397.7596493,1784188398.064152,0.304503,64085.0,64086.0,0.577152,343,343,True
2,trigger_to_open_orders_start,602,trades,1784188456426,1784188456632805069,1784188456.632805,1784188456.6336105,0.000805,,,0.20761,609,608,
2,open_orders_elapsed,602,trades,1784188456426,1784188456632805069,1784188456.6336105,1784188456.717316,0.083705,64118.0,64119.0,0.291316,609,608,
2,open_orders_end_to_public_state,602,trades,1784188456426,1784188456632805069,1784188456.717316,1784188457.038539,0.321223,64117.0,64118.0,0.612539,610,610,True
2,open_orders_end_to_reprice,602,trades,1784188456426,1784188456632805069,1784188456.717316,1784188457.038659,0.321343,64117.0,64118.0,0.612659,610,610,True
2,trigger_to_open_orders_start,603,trades,1784188457164,1784188457377652513,1784188457.3776524,1784188457.3783593,0.000707,,,0.214359,611,610,
2,open_orders_elapsed,603,trades,1784188457164,1784188457377652513,1784188457.3783593,1784188457.3994262,0.021067,64117.0,64118.0,0.235426,611,610,
2,open_orders_end_to_public_state,603,trades,1784188457164,1784188457377652513,1784188457.3994262,1784188457.6824632,0.283037,64114.0,64115.0,0.518463,612,612,True
2,open_orders_end_to_reprice,603,trades,1784188457164,1784188457377652513,1784188457.3994262,1784188457.6825986,0.283172,64114.0,64115.0,0.518599,612,612,True
2,trigger_to_open_orders_start,651,trades,1784188468132,1784188468375217724,1784188468.3752177,1784188468.3757129,0.000495,,,0.243713,660,659,
2,open_orders_elapsed,651,trades,1784188468132,1784188468375217724,1784188468.3757129,1784188468.3923502,0.016637,64114.0,64115.0,0.26035,660,659,
2,open_orders_end_to_public_state,651,trades,1784188468132,1784188468375217724,1784188468.3923502,1784188468.9198124,0.527462,64100.0,64101.0,0.787812,663,663,True
2,open_orders_end_to_reprice,651,trades,1784188468132,1784188468375217724,1784188468.3923502,1784188468.9198866,0.527536,64100.0,64101.0,0.787887,663,663,True
2,trigger_to_open_orders_start,1168,trades,1784188607238,1784188607448872670,1784188607.4488728,1784188607.4495914,0.000719,,,0.211591,1180,1177,
2,open_orders_elapsed,1168,trades,1784188607238,1784188607448872670,1784188607.4495914,1784188607.4643447,0.014753,64168.0,64169.0,0.226345,1180,1177,
2,open_orders_end_to_public_state,1168,trades,1784188607238,1784188607448872670,1784188607.4643447,1784188607.874956,0.410611,64151.0,64152.0,0.636956,1183,1183,True
2,open_orders_end_to_reprice,1168,trades,1784188607238,1784188607448872670,1784188607.4643447,1784188607.8750715,0.410727,64151.0,64152.0,0.637072,1183,1183,True
2,trigger_to_open_orders_start,1844,trades,1784188807940,1784188808157187026,1784188808.157187,1784188808.157876,0.000689,,,0.217876,1859,1857,
2,open_orders_elapsed,1844,trades,1784188807940,1784188808157187026,1784188808.157876,1784188808.1897202,0.031844,64211.0,64212.0,0.24972,1859,1857,
2,open_orders_end_to_public_state,1844,trades,1784188807940,1784188808157187026,1784188808.1897202,1784188808.479168,0.289448,64206.0,64207.0,0.539168,1860,1860,True
2,open_orders_end_to_reprice,1844,trades,1784188807940,1784188808157187026,1784188808.1897202,1784188808.4792838,0.289564,64206.0,64207.0,0.539284,1860,1860,True
2,trigger_to_open_orders_start,1865,trades,1784188812855,1784188813068630411,1784188813.0686305,1784188813.0693374,0.000707,,,0.214337,1881,1880,
2,open_orders_elapsed,1865,trades,1784188812855,1784188813068630411,1784188813.0693374,1784188813.1037536,0.034416,64215.0,64216.0,0.248754,1881,1880,
2,open_orders_end_to_public_state,1865,trades,1784188812855,1784188813068630411,1784188813.1037536,1784188813.4127073,0.308954,64212.0,64213.0,0.557707,1882,1882,True
2,open_orders_end_to_reprice,1865,trades,1784188812855,1784188813068630411,1784188813.1037536,1784188813.412831,0.309078,64212.0,64213.0,0.557831,1882,1882,True
2,reprice_to_order_submit,1865,trades,1784188812855,1784188813068630411,1784188813.412831,1784188813.4260938,0.013263,64212.0,64213.0,0.571094,1882,1882,True
2,exchange_order_response,1865,trades,1784188812855,1784188813068630411,1784188813.4260938,1784188813.763871,0.337777,64212.0,64213.0,0.908871,1882,1882,True
