event_sequence,source_channel,source_event_exchange_time_ms,fresh_touch_allowed,trigger_found,guard_status,guard_reason,event_to_guard_start_seconds,target_event_to_guard_seconds,live_window_called,private_or_order_endpoint_called_before_trigger
1,l2Book,1784188297180,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
2,trades,1784188297180,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,False
3,l2Book,1784188297647,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
4,l2Book,1784188298170,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
5,l2Book,1784188298697,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
6,trades,1784188298893,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
7,l2Book,1784188299322,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,False
8,l2Book,1784188299849,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,False
9,trades,1784188300125,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
10,l2Book,1784188300364,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
11,trades,1784188300809,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
12,l2Book,1784188300941,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
13,trades,1784188301009,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
14,l2Book,1784188301545,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
15,trades,1784188301813,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
16,trades,1784188301948,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
17,l2Book,1784188302147,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
18,trades,1784188302147,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
19,l2Book,1784188302681,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
20,l2Book,1784188303225,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
21,l2Book,1784188303763,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
22,l2Book,1784188304285,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
23,trades,1784188304499,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
24,l2Book,1784188304836,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
25,l2Book,1784188305365,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
26,trades,1784188305511,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
27,l2Book,1784188305999,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,False
28,trades,1784188306406,True,True,edge_gate_block,edge_below_required_buffer,0.000389,0.5,False,False
29,trades,1784188306521,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
30,l2Book,1784188307072,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
31,l2Book,1784188307615,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
32,trades,1784188308086,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
33,l2Book,1784188308140,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
34,trades,1784188308222,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
35,trades,1784188308490,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
36,l2Book,1784188308693,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
37,trades,1784188309028,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
38,l2Book,1784188309229,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
39,l2Book,1784188309756,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
40,l2Book,1784188310304,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
41,l2Book,1784188310919,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
42,trades,1784188311037,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
43,trades,1784188311093,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
44,l2Book,1784188311456,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
45,trades,1784188311456,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
46,l2Book,1784188312042,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
47,trades,1784188312042,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
48,l2Book,1784188312558,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
49,l2Book,1784188313090,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
50,l2Book,1784188313623,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
51,trades,1784188313764,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
52,l2Book,1784188314167,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
53,trades,1784188314505,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
54,l2Book,1784188314702,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
55,trades,1784188314773,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
56,trades,1784188315039,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
57,l2Book,1784188315241,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
58,trades,1784188315445,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
59,trades,1784188315718,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
60,l2Book,1784188315778,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
61,l2Book,1784188316324,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
62,l2Book,1784188316859,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
63,trades,1784188316859,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
64,l2Book,1784188317389,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
65,l2Book,1784188317942,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
66,l2Book,1784188318480,False,False,not_evaluated,missing_same_side_strict_through_support;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
67,trades,1784188318623,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
68,l2Book,1784188319024,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
69,trades,1784188319024,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
70,trades,1784188319155,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
71,l2Book,1784188319559,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
72,trades,1784188319760,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
73,trades,1784188320036,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
74,l2Book,1784188320100,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
75,l2Book,1784188320637,False,False,not_evaluated,missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
76,trades,1784188320903,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
77,trades,1784188320973,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
78,l2Book,1784188321173,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
79,trades,1784188321306,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
80,l2Book,1784188321724,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
81,trades,1784188321724,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
82,l2Book,1784188322250,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
83,trades,1784188322595,False,False,not_evaluated,outside_quality_a_b_queue_bands,,0.5,False,True
84,l2Book,1784188322797,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
85,trades,1784188323282,True,True,pass,,0.000475,0.5,True,False
86,trades,1784188323349,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
87,trades,1784188323540,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
88,l2Book,1784188323876,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
89,trades,1784188324077,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence;missing_recent_same_side_at_or_through_throughput,,0.5,False,True
90,trades,1784188324150,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
91,trades,1784188324282,True,True,anti_drift_block,adverse_trade_pressure_with_recent_adverse_bbo,0.000263,0.5,False,True
92,l2Book,1784188324418,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
93,trades,1784188324418,False,False,not_evaluated,missing_same_side_strict_through_support;missing_touch_freshness_or_queue_reset_evidence,,0.5,False,True
94,l2Book,1784188324974,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
95,l2Book,1784188325520,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
96,trades,1784188325887,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
97,l2Book,1784188326088,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
98,trades,1784188326392,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
99,l2Book,1784188326595,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
100,trades,1784188326871,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
101,trades,1784188326936,False,False,not_evaluated,missing_same_side_strict_through_support,,0.5,False,True
