attempt,status,reason,handoff_phase,candidate_source_exchange_time_ms,candidate_age_seconds,max_age_seconds,trigger_candidate_source_exchange_time_ms,trigger_candidate_age_seconds,trigger_candidate_side,trigger_candidate_quote_px,trigger_candidate_size_btc,trigger_candidate_quality_bucket,trigger_candidate_freshness_status,trigger_candidate_skip_reason,current_reprice_allowed,current_reprice_skip_reason,current_reprice_candidate_source_exchange_time_ms,current_reprice_candidate_age_seconds,selected_side,selected_quote_px,current_bid,current_ask,selected_size_btc,max_order_size_btc,quality_bucket,current_same_side_top_qty_btc,current_same_side_top_order_count,current_top_depth_multiple_of_order,post_only_tif,post_only_non_crossing,current_touch_match,source
1,pass,,post_open_orders_inline_reprice,1784188306406,0.803,1.0,1784188306406,0.803,buy,64146,0.002,quality_b,pass,,True,,1784188306406,0.803,buy,64142.0,64142.0,64143.0,0.005,0.005,quality_a,0.00926,2,1.852,Alo,True,True,inline_reprice_current_candidate_guard
1,pass,,post_open_orders_inline_reprice,1784188323282,0.33,1.0,1784188323282,0.33,buy,64176,0.00055,quality_a,pass,,True,,1784188323282,0.33,buy,64169.0,64169.0,64170.0,0.00055,0.005,quality_a,0.00779,1,14.16363636,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188331244,0.734,1.0,1784188331244,0.734,buy,64160,0.005,quality_a,pass,,True,,1784188331244,0.734,buy,64148.0,64148.0,64149.0,0.005,0.005,quality_a,0.07956,3,15.912,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188396960,0.671,1.0,1784188396960,0.671,buy,64092,0.002,quality_b,pass,,True,,1784188396960,0.671,buy,64090.0,64090.0,64091.0,0.002,0.005,quality_b,0.11876,6,59.38,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784188397487,0.577,1.0,1784188397487,0.577,buy,64090,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784188397487,0.577,,,64085.0,64086.0,,0.005,,0.72335,5,,Alo,False,False,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188456426,0.612,1.0,1784188456426,0.612,buy,64118,0.002,quality_b,pass,,True,,1784188456426,0.612,buy,64117.0,64117.0,64118.0,0.005,0.005,quality_a,0.00031,1,0.062,Alo,True,True,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188457164,0.518,1.0,1784188457164,0.518,buy,64117,0.005,quality_a,pass,,True,,1784188457164,0.518,buy,64114.0,64114.0,64115.0,0.005,0.005,quality_a,0.01661,3,3.322,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784188468132,0.787,1.0,1784188468132,0.787,buy,64114,0.002,quality_b,pass,,False,outside_quality_a_b_queue_bands,1784188468132,0.787,,,64100.0,64101.0,,0.005,,2.81001,3,,Alo,False,False,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188607238,0.637,1.0,1784188607238,0.637,buy,64168,0.005,quality_a,pass,,True,,1784188607238,0.637,buy,64151.0,64151.0,64152.0,0.005,0.005,quality_a,0.01379,2,2.758,Alo,True,True,inline_reprice_current_candidate_guard
2,fail_closed,outside_quality_a_b_queue_bands;missing_intent_limit_px;missing_or_nonpositive_intent_size;missing_quality_bucket,post_open_orders_inline_reprice,1784188807940,0.539,1.0,1784188807940,0.539,buy,64211,0.00209,quality_a,pass,,False,outside_quality_a_b_queue_bands,1784188807940,0.539,,,64206.0,64207.0,,0.005,,0.5762,6,,Alo,False,False,inline_reprice_current_candidate_guard
2,pass,,post_open_orders_inline_reprice,1784188812855,0.557,1.0,1784188812855,0.557,buy,64215,0.00223,quality_a,pass,,True,,1784188812855,0.557,buy,64212.0,64212.0,64213.0,0.002,0.005,quality_b,0.08057,5,40.285,Alo,True,True,inline_reprice_current_candidate_guard
