event_sequence,source_channel,source_event_exchange_time_ms,current_bid,current_ask,rolling_trade_count_last_3s,touch_trade_qty_btc,strict_trade_through_qty_btc,at_or_through_trade_qty_btc,opposite_trade_qty_btc,rolling_window_seconds
1,l2Book,1784188297180,64146,64147,0,0,0,0,0,3.0
2,trades,1784188297180,64146,64147,30,1.0123,0.9928,2.0051,1.1638,3.0
3,l2Book,1784188297647,64146,64147,30,1.0123,0.9928,2.0051,1.1638,3.0
4,l2Book,1784188298170,64146,64147,30,1.0123,0.9928,2.0051,1.1638,3.0
5,l2Book,1784188298697,64146,64147,30,1.0123,0.9928,2.0051,1.1638,3.0
6,trades,1784188298893,64146,64147,31,1.0123,0.9928,2.0051,1.18075,3.0
7,l2Book,1784188299322,64146,64147,31,1.0123,0.9928,2.0051,1.18075,3.0
8,l2Book,1784188299849,64146,64147,3,0,0,0,0.02618,3.0
9,trades,1784188300125,64146,64147,5,0.04733,0,0.04733,0.02081,3.0
10,l2Book,1784188300364,64146,64147,4,0.04733,0,0.04733,0.01695,3.0
11,trades,1784188300809,64146,64147,5,0.0584,0,0.0584,0.01695,3.0
12,l2Book,1784188300941,64146,64147,5,0.0584,0,0.0584,0.01695,3.0
13,trades,1784188301009,64146,64147,6,0.05887,0,0.05887,0.01695,3.0
14,l2Book,1784188301545,64146,64147,6,0.05887,0,0.05887,0.01695,3.0
15,trades,1784188301813,64146,64147,8,0.05904,0,0.05904,0.05695,3.0
16,trades,1784188301948,64146,64147,8,0.05935,0,0.05935,0.04,3.0
17,l2Book,1784188302147,64146,64147,8,0.05935,0,0.05935,0.04,3.0
18,trades,1784188302147,64146,64147,9,0.05966,0,0.05966,0.04,3.0
19,l2Book,1784188302681,64146,64147,9,0.05966,0,0.05966,0.04,3.0
20,l2Book,1784188303225,64146,64147,6,0.01233,0,0.01233,0.04,3.0
21,l2Book,1784188303763,64146,64147,6,0.01233,0,0.01233,0.04,3.0
22,l2Book,1784188304285,64146,64147,4,0.00079,0,0.00079,0.04,3.0
23,trades,1784188304499,64146,64147,5,0.00804,0,0.00804,0.04,3.0
24,l2Book,1784188304836,64146,64147,3,0.00787,0,0.00787,0,3.0
25,l2Book,1784188305365,64146,64147,1,0.00725,0,0.00725,0,3.0
26,trades,1784188305511,64146,64147,2,0.00725,0,0.00725,0.00382,3.0
27,l2Book,1784188305999,64146,64147,2,0.00725,0,0.00725,0.00382,3.0
28,trades,1784188306406,64146,64147,13,0.61602,0.09321,0.70923,0.00382,3.0
29,trades,1784188306521,64142,64143,15,0.00035,0,0.00035,0.71305,3.0
30,l2Book,1784188307072,64146,64147,15,0.61602,0.09356,0.70958,0.00382,3.0
31,l2Book,1784188307615,64146,64147,14,0.60877,0.09356,0.70233,0.00382,3.0
32,trades,1784188308086,64146,64147,15,0.60877,0.09356,0.70233,0.00413,3.0
33,l2Book,1784188308140,64146,64147,15,0.60877,0.09356,0.70233,0.00413,3.0
34,trades,1784188308222,64146,64147,16,0.60877,0.09356,0.70233,0.00444,3.0
35,trades,1784188308490,64146,64147,18,0.60877,0.09356,0.70233,0.0066,3.0
36,l2Book,1784188308693,64147,64148,17,0,0.70233,0.70233,0.00278,3.0
37,trades,1784188309028,64147,64148,18,0,0.70233,0.70233,0.01271,3.0
38,l2Book,1784188309229,64152,64153,18,0,0.71226,0.71226,0.00278,3.0
39,l2Book,1784188309756,64152,64153,5,0,0.00993,0.00993,0.00278,3.0
40,l2Book,1784188310304,64153,64154,5,0,0.00993,0.00993,0.00278,3.0
41,l2Book,1784188310919,64154,64155,5,0,0.00993,0.00993,0.00278,3.0
42,trades,1784188311037,64154,64155,7,0,0.00993,0.00993,0.00296,3.0
43,trades,1784188311093,64154,64155,10,0,0.00993,0.00993,0.94686,3.0
44,l2Book,1784188311456,64161,64162,9,0,0.40993,0.40993,0.54655,3.0
45,trades,1784188311456,64161,64162,13,0,0.43297,0.43297,0.56242,3.0
46,l2Book,1784188312042,64161,64162,10,0,0.42304,0.42304,0.56026,3.0
47,trades,1784188312042,64161,64162,13,0,0.42304,0.42304,0.66026,3.0
