attempt,event_sequence,phase,source_event_exchange_time_ms,current_bid,current_ask,bbo_lookback_ms,recent_bbo_count,last_bbo_change_ms,touch_stability_ms,bbo_down_count,bbo_up_count,bbo_flat_count,bbo_mixed_count,last_direction,status
1,88,pre_open_orders_public_gate,1784188829909,64232.0,64233.0,750,2,1784188829429,480,0,0,2,0,flat,pass
1,88,post_open_orders_pre_submit_gate,1784188829909,64231.0,64232.0,750,2,1784188829429,480,0,0,2,0,flat,pass
1,746,pre_open_orders_public_gate,1784188986805,64236.0,64237.0,750,1,1784188986333,472,1,0,0,0,down,pass
1,746,post_open_orders_pre_submit_gate,1784188986805,64229.0,64230.0,750,1,1784188986333,472,1,0,0,0,down,pass
1,778,pre_open_orders_public_gate,1784188997134,64220.0,64221.0,750,1,1784188996664,470,1,0,0,0,down,pass
1,778,post_open_orders_pre_submit_gate,1784188997134,64215.0,64216.0,750,1,1784188996664,470,1,0,0,0,down,pass
1,880,pre_open_orders_public_gate,1784189026407,64192.0,64193.0,750,2,1784189025798,609,1,0,1,0,flat,block
1,881,pre_open_orders_public_gate,1784189026539,64192.0,64193.0,750,2,1784189025798,741,1,0,1,0,flat,block
1,882,pre_open_orders_public_gate,1784189026608,64192.0,64193.0,750,1,1784189026337,271,0,0,1,0,flat,pass
1,882,post_open_orders_pre_submit_gate,1784189026608,64186.0,64187.0,750,1,1784189026337,271,0,0,1,0,flat,pass
1,896,pre_open_orders_public_gate,1784189029811,64185.0,64186.0,750,2,1784189029070,741,1,0,1,0,flat,pass
1,896,post_open_orders_pre_submit_gate,1784189029811,64161.0,64162.0,750,2,1784189029070,741,1,0,1,0,flat,pass
1,969,pre_open_orders_public_gate,1784189048670,64144.0,64145.0,750,1,1784189048400,270,1,0,0,0,down,pass
1,969,post_open_orders_pre_submit_gate,1784189048670,64126.0,64131.0,750,1,1784189048400,270,1,0,0,0,down,pass
1,1202,pre_open_orders_public_gate,1784189111560,64189.0,64190.0,750,1,1784189111100,460,1,0,0,0,down,block
1,1213,pre_open_orders_public_gate,1784189114836,64179.0,64180.0,750,1,1784189114432,404,1,0,0,0,down,pass
1,1213,post_open_orders_pre_submit_gate,1784189114836,64176.0,64177.0,750,1,1784189114432,404,1,0,0,0,down,pass
2,1317,pre_open_orders_public_gate,1784189146567,64174.0,64175.0,750,1,1784189146170,397,1,0,0,0,down,block
2,1394,pre_open_orders_public_gate,1784189170686,64188.0,64189.0,750,1,1784189170486,200,0,0,1,0,flat,block
2,1497,pre_open_orders_public_gate,1784189204643,64187.0,64188.0,750,1,1784189204244,399,0,0,1,0,flat,pass
2,1497,post_open_orders_pre_submit_gate,1784189204643,64184.0,64185.0,750,1,1784189204244,399,0,0,1,0,flat,pass
2,1504,pre_open_orders_public_gate,1784189205980,64184.0,64185.0,750,2,1784189205302,678,0,0,2,0,flat,pass
2,1504,post_open_orders_pre_submit_gate,1784189205980,64171.0,64172.0,750,2,1784189205302,678,0,0,2,0,flat,pass
2,1509,pre_open_orders_public_gate,1784189207845,64170.0,64171.0,750,1,1784189207444,401,0,0,1,0,flat,pass
2,1509,post_open_orders_pre_submit_gate,1784189207845,64165.0,64166.0,750,1,1784189207444,401,0,0,1,0,flat,pass
2,1514,pre_open_orders_public_gate,1784189209282,64165.0,64166.0,750,2,1784189208541,741,0,0,2,0,flat,pass
2,1514,post_open_orders_pre_submit_gate,1784189209282,64153.0,64154.0,750,2,1784189208541,741,0,0,2,0,flat,pass
2,1676,pre_open_orders_public_gate,1784189251728,64183.0,64184.0,750,1,1784189251330,398,1,0,0,0,down,block
2,1694,pre_open_orders_public_gate,1784189256403,64168.0,64169.0,750,1,1784189256142,261,0,0,1,0,flat,pass
2,1694,post_open_orders_pre_submit_gate,1784189256403,64162.0,64163.0,750,1,1784189256142,261,0,0,1,0,flat,pass
2,1703,pre_open_orders_public_gate,1784189259639,64161.0,64163.0,750,1,1784189259370,269,1,0,0,0,down,pass
2,1703,post_open_orders_pre_submit_gate,1784189259639,64157.0,64158.0,750,1,1784189259370,269,1,0,0,0,down,pass
2,1732,pre_open_orders_public_gate,1784189268837,64150.0,64151.0,750,1,1784189268558,279,0,0,1,0,flat,pass
2,1732,post_open_orders_pre_submit_gate,1784189268837,64146.0,64147.0,750,1,1784189268558,279,0,0,1,0,flat,pass
