attempt,event_sequence,phase,symbol,signal_symbol,side,fair_mid_px,quote_px,edge_ticks,signal_age_ms,signal_ts_ms,max_signal_age_ms,horizon_ms,required_horizon_ms,fee_buffer_ticks,adverse_selection_buffer_ticks,required_edge_ticks,edge_gate_status,edge_gate_reason,source,inference_scope
1,88,pre_submit_edge_gate,BTC,,buy,,64231.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
1,746,pre_submit_edge_gate,BTC,BTC,buy,64225.600000000006,64229.0,-3.4,93,1784188987079,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,896,pre_submit_edge_gate,BTC,BTC,buy,64136.5,64161.0,-24.5,50,1784189030349,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
1,1213,pre_submit_edge_gate,BTC,BTC,buy,64185.7,64176.0,9.7,30,1784189115339,250,1000,1000,2.0,5.0,7.0,pass,,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,1497,pre_submit_edge_gate,BTC,,buy,,64184.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,1504,pre_submit_edge_gate,BTC,,buy,,64171.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,1694,pre_submit_edge_gate,BTC,,buy,,64162.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,1703,pre_submit_edge_gate,BTC,,buy,,64157.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,1732,pre_submit_edge_gate,BTC,BTC,buy,64127.40000000001,64146.0,-18.6,77,1784189269333,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,1734,pre_submit_edge_gate,BTC,BTC,buy,64143.0,64145.0,-2.0,58,1784189270081,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,1870,pre_submit_edge_gate,BTC,,buy,,64132.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,2062,pre_submit_edge_gate,BTC,BTC,buy,64117.100000000006,64124.0,-6.9,228,1784189367604,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,2190,pre_submit_edge_gate,BTC,BTC,buy,64113.7,64119.0,-5.3,249,1784189404378,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,2245,pre_submit_edge_gate,BTC,BTC,buy,64070.5,64095.0,-24.5,227,1784189417269,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,2247,pre_submit_edge_gate,BTC,,buy,,64090.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,2249,pre_submit_edge_gate,BTC,BTC,buy,64088.7,64089.0,-0.3,32,1784189419093,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,2504,pre_submit_edge_gate,BTC,,buy,,64061.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,2747,pre_submit_edge_gate,BTC,,buy,,64084.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,2750,pre_submit_edge_gate,BTC,,buy,,64080.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,2890,pre_submit_edge_gate,BTC,BTC,buy,64036.2,64057.0,-20.8,222,1784189553170,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,3842,pre_submit_edge_gate,BTC,BTC,buy,63871.5,63896.0,-24.5,213,1784189758974,250,1000,1000,2.0,5.0,7.0,block,edge_below_required_buffer,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
2,3864,pre_submit_edge_gate,BTC,,buy,,63887.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,4045,pre_submit_edge_gate,BTC,,buy,,63907.0,,,,250,,1000,2.0,5.0,7.0,block,fair_mid_source_stale,,decision_time_fair_value_edge_gate_not_pnl_proof
2,4124,pre_submit_edge_gate,BTC,BTC,buy,63922.0,63913.0,9.0,83,1784189823076,250,1000,1000,2.0,5.0,7.0,pass,,m2_decision_time_public_fair_mid_provider_v1,decision_time_fair_value_edge_gate_not_pnl_proof
